COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72,COL73,COL74,COL75,COL76,COL77,COL78,COL79,COL80,COL81,COL82,COL83,COL84,COL85,COL86,COL87,COL88,COL89,COL90,COL91,COL92,COL93,COL94,COL95,COL96,COL97,COL98,COL99,COL100,COL101,COL102,COL103,COL104,COL105,COL106,COL107,COL108,COL109,COL110,COL111,COL112,COL113,COL114,COL115,COL116,COL117,COL118,COL119,COL120,COL121,COL122,COL123,COL124,COL125,COL126,COL127,COL128,COL129,COL130
1,64,1,3,9,7,2,5,1,5,3,2,4,2,4,7,3,1,3,3,1,1,1,3,3,2,1,2,4,2,4,4,4,9,4,4,2,3,2,2,3,6,3,1,1,2,3,3,1,2,2,3,3,1,1,2,3,2,1,1,1,2,1,1,2,2,,206,4000,1,1,1,1,1,2,2,2,1,2,1,1,3,4,3,3,3,4,2,1,4,4,5,5,4,5,1,3,3,2,1,1,3,3,2,2,4,1,10,3,4,4,0,0,0,0,3,3,30,0,1,0,1,6,1,0,4,1,1,0,9
1,64,2,5,9,7,2,5,4,2,2,2,6,2,2,8,9,3,3,3,1,1,1,2,2,2,1,3,5,2,1,4,4,9,4,4,3,1,1,2,2,4,1,1,1,2,3,3,3,2,4,2,4,1,1,3,4,1,2,2,3,2,1,1,2,1,,206,4000,2,1,1,2,2,3,2,1,1,2,1,1,3,4,1,4,1,3,2,1,4,4,4,5,4,5,4,1,4,3,1,1,3,4,1,2,3,3,11,0,3,5,0,2,3,1,0,1,20,10,1,2,3,3,2,0,7,2,2,0,6
1,64,3,3,10,7,3,3,1,5,3,1,6,3,5,14,6,5,1,1,1,1,1,1,2,1,2,3,2,2,3,3,1,6,2,1,2,1,1,2,2,3,2,3,1,2,4,2,2,1,2,4,1,1,4,4,2,1,1,3,1,1,2,1,1,1,,206,4000,3,1,1,1,3,3,1,1,1,1,1,1,2,2,1,1,1,1,1,3,2,2,2,2,2,2,3,2,1,2,2,2,1,1,1,1,3,1,21,1,3,1,1,1,3,5,4,5,10,60,9,3,3,1,5,2,6,2,2,5,29
1,64,4,4,9,7,7,1,1,5,3,3,6,2,2,8,9,3,2,2,1,2,1,2,2,2,4,2,2,2,2,3,2,9,5,2,2,4,3,1,2,3,3,3,1,1,1,1,4,2,4,3,1,1,2,3,2,1,1,1,1,1,2,1,2,1,,206,4000,4,1,2,1,2,2,1,2,1,1,1,1,2,2,1,1,2,3,2,1,2,3,2,3,2,2,3,2,2,2,3,3,2,1,2,3,4,6,30,3,2,6,3,3,3,3,5,5,30,50,8,1,2,2,4,2,2,1,2,3,16
1,64,5,4,9,7,2,5,1,5,3,1,5,2,4,16,3,4,2,1,1,2,1,1,2,2,1,2,1,2,2,3,2,3,4,4,1,3,6,5,3,6,2,1,1,1,3,3,3,2,4,1,1,1,2,3,2,1,1,1,1,1,2,1,2,2,,206,4000,5,2,2,1,1,1,1,1,1,1,1,1,2,3,1,4,1,4,4,2,2,2,3,4,4,4,1,2,1,2,1,4,2,1,2,2,4,6,20,2,1,1,0,3,4,1,6,5,40,50,3,2,1,4,5,2,3,1,0,0,24
1,64,6,4,9,7,9,4,1,5,3,1,5,2,4,7,7,2,4,3,3,1,3,2,3,2,3,2,4,3,3,3,5,0,4,4,3,4,11,11,2,3,2,1,1,2,3,1,3,2,2,4,5,1,2,5,3,1,2,3,3,2,1,1,2,2,,206,4000,6,2,1,1,2,3,1,1,2,2,2,2,3,4,3,3,3,2,2,4,2,2,3,2,2,2,3,4,4,2,3,3,2,3,6,2,4,6,30,2,2,4,2,0,3,0,1,2,20,50,9,0,2,1,2,0,2,0,0,0,10
1,64,7,3,8,7,8,3,4,1,2,1,4,2,2,5,9,8,3,1,1,2,1,2,2,2,3,2,2,2,1,4,3,9,4,4,3,2,3,2,3,4,3,2,1,2,3,2,2,2,4,2,3,2,2,1,2,1,1,1,2,1,2,1,2,1,,206,4000,7,1,2,2,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,3,1,4,2,1,2,2,3,3,1,2,2,3,1,3,2,2,4,2,21,0,1,2,2,3,4,3,5,1,40,61,0,1,3,6,4,2,2,1,2,0,29
1,64,8,3,5,7,2,2,1,5,3,1,4,2,1,9,1,5,4,1,1,1,1,2,2,1,2,3,2,3,2,3,0,16,3,2,2,4,2,1,2,3,2,2,1,1,3,1,2,2,3,2,2,3,1,2,3,1,3,3,1,1,2,1,2,2,,206,4000,8,2,2,1,2,2,2,3,2,2,2,1,5,2,1,2,4,5,4,5,6,6,6,6,6,6,5,4,2,4,1,1,3,3,3,2,2,6,11,1,3,2,3,1,1,3,4,4,10,0,3,0,1,2,4,2,4,1,0,3,10
1,64,9,4,5,7,5,2,1,5,3,1,5,2,4,9,9,7,2,1,3,1,2,2,2,2,3,2,1,2,3,3,3,9,4,4,4,3,4,1,2,3,3,1,1,2,3,2,2,2,3,1,4,3,1,1,2,1,2,2,1,2,1,1,1,2,,206,4000,9,2,1,2,4,4,2,2,1,2,1,1,2,3,2,3,2,2,4,1,3,3,2,5,4,3,1,3,3,2,2,3,2,2,2,2,4,1,10,1,4,1,1,1,1,0,0,2,0,40,3,0,1,3,3,2,0,0,0,0,10
1,64,10,4,7,7,2,2,5,1,2,1,4,1,3,9,10,8,3,3,1,2,1,3,3,3,3,2,5,2,2,4,4,16,4,4,4,3,4,2,3,7,3,1,1,2,3,1,3,2,2,3,2,1,2,2,1,1,1,3,1,1,1,1,2,1,,206,4001,0,1,2,1,2,2,2,4,5,3,1,5,4,2,3,5,3,3,2,1,4,2,4,5,5,5,2,3,4,1,2,1,2,4,2,2,2,6,21,1,2,5,2,2,1,2,5,4,20,20,0,0,1,6,1,0,0,1,2,0,9
1,64,11,3,5,7,2,2,1,5,3,1,4,2,1,9,3,7,3,3,1,1,2,3,3,3,3,2,5,2,4,4,2,3,4,4,4,3,12,11,3,11,3,1,3,2,3,3,3,1,2,5,4,4,1,1,4,4,2,2,2,2,1,1,1,2,,206,4001,1,2,1,2,4,4,1,4,3,4,4,3,3,3,3,4,3,3,2,1,4,2,5,5,5,5,1,3,4,1,2,1,4,4,5,2,2,4,11,1,4,5,0,0,1,0,0,0,0,10,0,0,0,4,0,0,1,0,0,0,0
1,64,12,3,10,7,1,5,1,5,3,1,4,2,3,3,11,2,3,3,1,1,2,3,2,2,2,2,5,2,4,4,1,9,4,4,3,4,3,4,3,6,3,2,1,2,3,2,2,2,2,4,2,1,2,1,2,1,2,3,1,1,2,1,2,1,,206,4001,2,1,1,2,3,3,2,3,1,1,1,1,3,3,1,2,3,3,3,2,4,4,4,5,5,5,4,2,1,2,1,2,3,1,1,2,1,6,30,4,1,5,2,0,1,2,2,4,20,10,0,2,2,6,1,0,3,0,2,0,14
1,64,13,3,9,7,4,5,1,5,3,3,6,2,5,13,13,1,2,1,2,2,2,2,2,3,3,2,2,3,2,3,2,9,4,4,4,3,4,3,3,4,3,2,3,3,1,3,1,2,2,4,3,1,2,2,2,2,1,1,1,1,1,1,2,1,,206,4001,3,1,1,2,1,2,1,2,3,2,3,2,4,5,3,4,2,3,2,3,3,4,5,4,4,4,1,2,4,1,2,3,3,2,2,2,2,6,21,0,1,5,2,3,1,0,3,3,30,10,3,0,1,6,3,3,0,0,2,0,29
1,64,14,4,6,7,3,5,1,5,3,2,5,1,5,11,11,1,2,1,1,1,1,2,2,2,1,2,2,2,3,3,4,9,4,1,1,1,10,6,3,7,3,1,1,2,3,1,3,2,3,2,1,1,1,1,3,2,2,2,1,2,1,2,1,2,,206,4001,4,1,1,1,2,4,1,4,1,2,1,1,2,4,1,1,2,3,2,1,1,1,1,4,4,4,2,3,1,3,1,1,1,4,2,2,2,6,10,4,3,5,2,1,1,2,1,5,10,90,3,1,2,6,3,2,5,2,1,4,26
