COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72,COL73,COL74,COL75,COL76,COL77,COL78,COL79,COL80,COL81,COL82,COL83,COL84,COL85
1,79,1,1,9,5,2,4,4,1,2,1,2,2,1,1,1,2,1,2,2,2,3,2,2,2,2,2,2,4,4,5,2,2,1,2,3,2,3,1,2,1,1,1,1,1,10,1,1,2,4,5,3,3,3,4,1,2,2,2,3,2,2,3,3,1,4,,207,9000,1,4,4,4,4,2,4,3,3,4,2,1,2,2,300172
1,79,2,3,9,4,7,1,4,1,2,1,4,3,2,1,1,2,1,2,1,1,3,1,2,3,2,2,2,4,4,2,2,3,2,2,3,2,1,1,1,2,1,1,2,2,5,1,5,1,1,4,3,2,2,2,1,1,1,1,2,1,1,2,2,1,1,,207,9000,2,3,2,2,1,2,3,3,2,3,2,1,2,2,300247
1,79,3,1,9,5,3,5,1,5,3,1,5,2,3,3,1,2,1,2,2,1,1,2,5,2,2,3,3,4,4,4,2,1,1,3,1,1,1,3,2,2,1,2,3,2,3,1,3,1,3,4,3,3,4,2,1,1,1,1,2,1,2,4,2,1,1,,207,9000,3,3,5,4,4,4,3,4,1,4,2,1,2,2,301366
1,79,4,3,9,5,9,3,1,5,3,3,6,1,1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,4,3,2,2,1,2,2,4,2,2,3,2,2,1,2,1,2,8,2,3,2,1,2,4,4,2,2,1,1,1,1,2,1,1,1,1,1,2,,207,9000,4,2,3,5,4,2,3,4,1,2,2,1,2,2,301238
1,79,5,4,9,5,4,4,4,1,2,2,2,2,3,1,2,2,1,1,1,1,2,1,2,1,1,5,1,4,4,2,1,1,1,3,3,2,3,3,2,2,1,2,1,1,10,1,1,2,1,0,3,2,2,2,2,1,1,1,1,3,1,1,1,2,2,,207,9000,5,2,2,2,1,1,3,4,1,5,2,1,2,2,300194
1,79,6,3,9,7,2,5,4,1,2,1,3,3,1,1,2,3,1,2,2,2,1,1,3,3,1,1,2,4,4,1,2,2,1,3,2,3,3,3,2,2,1,4,4,1,10,1,1,2,4,4,4,4,3,3,1,1,1,1,1,2,2,2,1,1,1,,207,9000,6,2,4,3,3,4,3,4,2,2,2,1,2,2,300266
1,79,7,3,9,7,4,1,1,5,3,1,5,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,1,3,4,4,2,3,1,2,3,3,3,3,3,2,1,3,2,2,2,1,10,4,3,4,3,2,3,2,2,1,1,1,2,2,2,3,2,1,2,,207,9000,7,3,3,2,2,2,3,4,2,3,3,1,2,2,301230
1,79,8,2,9,5,4,1,1,5,3,1,5,3,2,2,3,2,1,1,1,1,1,1,3,2,2,2,2,3,3,1,1,1,1,3,4,2,1,3,2,2,1,2,2,2,6,1,6,1,1,3,3,4,2,3,2,1,0,0,3,2,2,2,1,1,2,,207,9000,8,3,3,3,3,3,3,4,1,4,2,1,2,2,301406
1,79,9,5,9,8,2,3,5,1,2,1,6,2,3,3,1,2,1,1,1,1,1,1,5,2,4,4,2,3,4,1,4,11,3,2,4,2,1,1,3,3,3,5,3,2,4,3,1,2,1,3,4,4,2,4,2,2,2,2,2,2,2,3,1,3,3,,207,9000,9,2,2,3,2,4,3,2,2,5,3,1,2,2,1325
1,79,10,7,9,7,3,1,1,5,3,3,6,2,1,1,1,2,1,1,1,2,2,2,1,2,2,1,2,3,2,1,2,3,2,1,4,1,2,1,2,2,1,1,1,2,6,1,6,1,1,1,4,3,4,4,2,3,2,1,3,1,3,1,1,1,1,,207,9001,0,2,5,3,3,2,3,2,1,3,5,1,2,1,300151
