COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72,COL73,COL74,COL75,COL76,COL77,COL78,COL79,COL80,COL81,COL82,COL83,COL84,COL85,COL86,COL87,COL88,COL89,COL90,COL91,COL92,COL93,COL94,COL95,COL96
1,92,1,5,3,8,1,4,4,3,1,11,4,4,1,1,1,2,2,3,5,3,4,2,3,2,1,4,2,3,4,4,4,1,2,1,5,8,5,2,2,1,1,1,2,1,2,2,1,2,1,2,1,3,2,1,4,1,2,9,9,9,9,9,9,9,9,9,9,9,9,,209,2000,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,46
1,92,2,1,2,4,2,5,1,2,1,11,2,3,2,1,3,4,3,3,4,3,4,2,1,2,2,3,2,1,3,2,3,4,3,4,3,4,2,2,2,2,1,2,2,1,2,2,1,2,1,2,1,2,2,2,3,3,1,9,9,9,9,9,9,9,9,9,9,9,9,,209,2000,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,42
1,92,3,1,2,2,5,1,1,2,1,11,2,2,1,1,1,4,2,2,2,2,2,1,2,1,1,2,2,2,2,1,1,4,4,2,2,2,2,3,3,3,3,3,3,1,2,2,1,2,1,1,2,2,1,1,3,1,1,9,9,9,9,9,9,9,9,9,9,9,9,,209,2000,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,45
1,92,4,1,3,2,5,1,3,2,1,4,4,4,3,1,3,4,2,4,3,5,0,3,1,3,3,5,3,1,0,0,0,5,2,4,2,3,2,2,1,1,1,2,3,1,2,2,1,2,1,3,1,2,1,1,2,1,1,9,9,9,9,9,9,9,9,9,9,9,9,,209,2000,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,45
1,92,5,4,5,8,2,5,1,4,1,11,1,2,2,1,3,2,2,2,1,1,2,1,2,1,1,2,1,2,2,2,2,3,4,1,2,4,4,1,2,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,3,1,2,9,9,9,9,9,9,9,9,9,9,9,9,,209,2000,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,44
1,92,6,4,4,7,7,3,4,5,1,11,1,1,1,2,5,1,5,3,2,2,3,1,2,2,2,1,2,1,3,2,4,4,2,1,3,4,8,2,2,1,1,1,1,1,2,2,1,2,1,2,1,2,2,1,4,2,2,9,9,9,9,9,9,9,9,9,9,9,9,,209,2000,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,49
1,92,7,5,5,7,1,4,5,5,1,11,1,1,3,1,3,2,2,1,2,1,2,1,2,1,1,2,1,2,2,2,2,4,5,5,3,6,2,2,2,2,1,2,1,1,2,2,1,2,1,1,3,1,1,1,3,5,4,9,9,9,9,9,9,9,9,9,9,9,9,,209,2000,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,43
1,92,8,3,3,5,3,3,1,5,1,3,2,2,2,1,3,2,3,2,4,3,4,3,1,2,2,2,2,1,3,3,4,6,2,1,1,4,8,2,2,1,1,1,2,1,2,2,1,2,1,1,1,2,2,1,4,2,4,9,9,9,9,9,9,9,9,9,9,9,9,,209,2000,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,35
1,92,9,1,3,5,2,3,1,5,1,3,3,3,3,1,1,2,2,2,3,4,3,2,2,2,2,2,1,3,4,4,4,3,6,6,3,4,0,2,1,1,2,2,2,1,2,2,1,2,1,1,4,5,4,5,5,6,6,9,9,9,9,9,9,9,9,9,9,9,9,,209,2000,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,31
1,92,10,1,2,8,3,5,1,1,1,4,3,4,2,1,2,1,1,4,5,3,3,3,0,2,2,4,2,1,4,3,2,3,6,6,3,6,2,2,2,1,1,1,1,1,2,2,1,2,1,3,4,5,4,5,5,6,6,9,9,9,9,9,9,9,9,9,9,9,9,,209,2001,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,22
