CARD.,DECK.,BALLOT.,Q.1.,Q.2.,V.3.,Q.3A.,Q.3A..1,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19A.,Q.19B.,Q.21.,Q.22.,V.23.,V.24.
1,136,1,2,2,2,0,0,2,2,2,3,3,1,3,2,1,8,3,1,3,1,1,3,5,2,2,7,117
1,136,2,4,3,2,0,0,1,1,1,3,4,1,3,4,2,7,3,1,3,4,1,6,6,2,1,10,217
1,136,3,3,3,2,0,0,1,2,3,3,4,1,3,3,1,9,3,1,4,1,1,5,5,2,2,5,217
1,136,4,4,2,2,0,0,2,2,4,3,3,1,1,1,2,1,3,2,1,2,1,1,5,4,1,6,217
1,136,5,2,2,2,0,0,1,1,3,2,3,1,3,2,3,9,3,1,4,5,4,1,5,1,1,7,217
1,136,6,3,2,2,0,0,1,2,3,2,1,1,3,1,2,4,3,1,3,1,2,1,5,1,1,6,17
1,136,7,3,3,2,0,0,1,1,4,2,3,1,3,3,1,6,3,2,3,1,1,6,6,4,4,5,117
1,136,8,2,2,2,0,0,2,3,3,2,3,1,1,2,2,8,3,1,2,1,1,3,0,5,1,4,517
1,136,9,2,2,2,0,0,1,0,4,3,4,3,3,2,2,11,3,2,1,2,0,1,2,4,1,4,417
1,136,10,4,2,2,0,0,2,2,3,2,2,2,2,4,2,0,0,0,0,0,0,0,0,5,5,9,17
1,136,11,4,3,2,0,0,1,1,2,2,3,4,0,2,1,7,3,1,2,1,1,4,5,1,1,3,117
1,136,12,4,3,2,0,0,1,1,2,3,3,2,3,4,1,6,1,1,3,2,2,4,5,2,1,9,109
1,136,13,2,2,2,0,0,2,2,1,3,2,1,3,2,3,8,3,1,2,1,1,2,4,1,2,7,109
1,136,14,4,3,2,0,0,2,2,2,3,2,1,1,2,1,8,3,1,3,5,1,1,5,2,1,8,109
