COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72,COL73,COL74,COL75,COL76,COL77,COL78,COL79,COL80,COL81,COL82,COL83,COL84,COL85,COL86,COL87,COL88
1,142,1,3,10,8,9,1,255,79,4,95,1,1,1,1,1,2,4,1,6,3,3,2,2,5,2,1,4,16,4,6,20,3,11,3,1,2,2,5,1,2,3,2,4,3,2,2,3,2,2,2,3,2,4,2,2,142,1,7,1,3,3,2,3,1,1,6,1,1,2,5,3,3,1,3,1,1,4,5,1,2,3,1,30,14,4,98
1,142,2,2,6,7,9,1,250,62,2,80,1,1,1,1,1,2,2,3,6,2,3,3,3,1,1,2,6,25,3,4,16,2,8,1,1,2,3,5,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,142,2,2,3,3,3,2,3,1,2,6,1,2,2,5,3,1,1,3,3,3,4,3,2,2,3,3,28,15,6,44
1,142,3,3,5,8,6,1,255,75,10,75,2,1,0,1,2,2,4,4,6,4,3,2,2,9,2,1,0,0,3,3,15,1,5,3,1,2,3,2,2,4,4,2,3,2,3,3,3,2,2,1,3,4,4,2,2,142,3,8,3,1,1,1,2,1,1,6,1,1,2,5,3,3,1,2,2,2,2,2,2,1,0,1,25,15,9,10
1,142,4,3,4,8,7,1,250,75,5,50,1,1,1,1,1,2,6,3,5,6,3,3,2,10,1,1,4,15,3,4,18,2,9,3,1,2,2,1,2,4,2,2,4,2,2,3,3,2,2,3,3,4,4,0,2,142,4,9,5,1,1,1,2,2,6,6,2,1,2,5,3,2,1,3,3,2,2,2,1,2,3,3,35,20,9,31
1,142,5,3,4,8,8,1,255,70,2,75,1,1,1,3,1,1,4,3,5,4,3,2,2,10,2,1,4,16,2,4,16,1,4,2,1,2,2,3,1,3,3,2,4,2,2,2,2,2,2,2,2,2,4,2,2,142,5,9,8,1,3,2,2,1,6,6,1,1,2,6,3,2,1,1,1,2,2,3,1,2,2,1,35,20,9,61
1,142,6,3,4,1,7,1,250,75,2,50,1,1,2,2,1,1,6,3,5,6,4,2,2,10,1,2,3,15,3,5,22,2,10,2,1,1,2,4,2,3,4,4,2,1,1,4,4,2,3,2,2,2,4,0,2,142,6,6,8,2,1,2,3,1,6,6,3,1,3,6,3,1,1,1,1,3,2,5,4,2,3,0,35,25,9,98
1,142,7,3,5,11,6,1,255,80,2,50,1,1,2,3,1,1,9,9,9,9,10,3,2,7,2,2,4,20,1,5,25,2,10,2,2,3,3,1,1,3,2,4,4,2,2,3,3,2,3,3,2,4,4,2,2,142,7,3,5,1,3,1,4,1,1,6,1,1,2,6,1,1,1,3,1,1,4,5,1,2,1,1,50,15,10,11
1,142,8,3,5,11,5,1,250,71,1,65,1,1,1,1,1,1,4,4,6,4,3,3,2,10,2,1,5,20,3,3,14,10,89,2,0,2,2,2,1,2,2,3,2,2,2,2,3,2,3,2,3,3,3,0,2,142,8,8,1,1,1,2,2,3,1,6,1,2,3,4,2,1,1,3,3,1,2,3,1,2,3,11,35,20,10,12
1,142,9,3,5,1,8,1,250,71,3,65,3,1,3,3,2,2,4,4,6,4,3,3,2,9,1,1,4,20,3,4,20,2,10,3,1,1,3,1,1,3,1,4,4,1,2,2,0,2,2,2,2,4,4,2,2,142,9,4,5,1,0,2,3,1,1,6,1,1,2,4,1,2,2,3,1,1,3,4,4,2,3,1,35,18,10,21
1,142,10,3,5,9,4,1,250,70,1,99,1,1,1,1,2,1,1,6,5,3,3,3,2,10,2,1,5,20,3,4,20,1,5,3,1,2,2,1,1,4,4,2,3,2,1,2,4,4,4,1,2,3,4,1,2,142,10,3,6,1,1,2,4,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,22,10,36
