CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6A.,Q.6B.,Q.7.,Q.8A.,Q.8B.,Q.9.,Q.10.,Q.11A.,Q.11B.,Q.12A.,Q.12B.,Q.13.,Q.14.,Q.15.,Q.15A.,Q.16A.,Q.16B.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23A.,Q.23B.,Q.24.,Q.25A.,Q.25B.,Q.25C.,Q.25D.,Q.25E.,Q.25F.,Q.25G.,Q.26A.,Q.26B.,Q.26C.,Q.26D.,Q.26E.,Q.26F.,Q.27A.,Q.27B.,Q.27C.,Q.28A.,Q.28A..1,Q.28B.,Q.28B..1,Q.29.,Q.30A.,CARD..1,DECK..1,BALLOT..1,Q.30B.,Q.31A.,Q.31B.,Q.32.,Q.33.,Q.34A.,Q.34B.,Q.35.,Q.36A....THE,Q.36B....THE,Q.36C....THE,Q.37.,Q.38A.,Q.38B.,Q.39A.,Q.39B.,Q.39C.,Q.40.,Q.41.,Q.42.,Q.43.,Q.44.,Q.44A.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51.,Q.52.,Q.53.,Q.54.,Q.55.,Q.56.,Q.57.,Q.58.,Q.59.,Q.60.,Q.61.,Q.62.,Q.63.,V.65.
1,150,1,6,7,7,7,2,27,10,2,1,1,1,1,4,50,1,2,2,2,11,11,4,4,3,3,1,3,2,2,4,4,2,3,3,2,2,3,2,4,2,2,2,3,2,2,7,0,9,10,10,1,1,1,3,2,150,1,2,2,1,3,2,8,2,10,1,3,3,2,4,2,2,1,0,4,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,2,2,2,2,3,2
1,150,2,6,9,7,6,2,10,10,1,1,3,1,2,10,45,2,2,3,3,5,7,3,3,3,4,1,2,3,2,2,2,3,3,3,2,2,3,2,2,2,2,2,2,2,2,6,4,4,1,10,1,10,2,1,2,150,2,2,6,1,2,1,9,2,10,1,2,3,2,5,1,2,3,2,2,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,2,2,2,1,1,1
1,150,3,6,11,7,7,2,2,2,2,3,1,1,1,2,98,0,0,2,2,2,2,2,2,3,4,4,3,3,3,4,3,5,3,5,4,2,3,2,4,2,2,2,2,3,3,9,3,0,10,10,10,10,1,2,2,150,3,5,6,3,2,4,8,2,10,4,4,4,2,0,0,2,1,0,3,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,1,2,9,3,3,3
1,150,4,6,7,6,8,2,27,12,2,3,3,3,3,5,30,1,1,3,2,3,3,3,4,3,1,1,2,3,6,3,3,1,2,3,4,1,2,1,5,2,3,3,5,5,1,4,10,11,2,10,2,10,2,1,2,150,4,3,6,2,3,1,8,2,10,2,3,3,3,5,1,2,3,2,3,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,2,2,9,9,3,1
1,150,5,6,5,6,4,1,45,6,2,3,3,2,2,10,50,2,1,3,3,2,6,10,10,1,1,1,1,1,2,3,1,1,2,4,2,2,3,2,5,2,3,2,2,5,1,8,6,11,8,10,2,10,1,2,2,150,5,2,6,1,2,2,9,2,10,1,1,2,2,3,2,2,2,2,1,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,2,2,1,2,2,2,1,2
1,150,6,4,5,5,6,1,52,8,2,3,3,1,3,5,60,1,2,2,2,2,4,5,8,1,2,1,4,2,1,4,4,1,2,4,2,2,2,1,2,2,1,2,1,1,2,6,3,9,6,10,2,10,3,2,2,150,6,1,6,2,4,2,8,3,10,5,5,3,1,2,1,2,2,0,4,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,2,2,2,2,2,2,3,4
1,150,7,5,8,6,4,1,18,15,1,3,3,1,2,5,50,2,2,2,2,6,7,5,7,3,3,2,1,2,3,4,2,1,2,2,2,2,3,2,4,2,1,2,2,2,1,6,5,8,2,10,1,10,1,3,2,150,7,1,6,1,4,2,7,1,10,1,4,1,5,4,1,2,3,0,2,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,2,1,2,1,2,2,3,3
1,150,8,6,4,6,6,2,61,13,2,2,1,1,3,2,25,2,2,2,3,5,5,4,7,1,3,3,4,1,1,4,2,1,2,2,2,2,2,2,6,2,2,2,2,0,2,9,9,10,5,10,2,10,3,3,2,150,8,1,2,2,3,2,5,4,10,1,1,3,4,6,4,2,3,0,1,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,1,2,2,9,4,3,3,3,3
1,150,9,6,6,6,4,3,35,10,1,1,1,1,3,5,50,2,2,2,1,7,7,5,8,2,2,2,1,2,3,1,2,1,2,3,1,1,2,3,3,2,2,1,2,2,2,6,3,0,5,10,2,10,2,1,2,150,9,1,6,2,4,1,6,2,10,1,1,3,1,3,2,1,1,0,3,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,2,1,1,1,2,1,1,3
1,150,10,5,0,6,6,2,21,4,1,1,1,1,2,5,35,2,2,2,1,2,3,7,7,3,2,2,2,1,6,5,2,1,2,3,2,2,2,1,5,2,2,2,2,5,2,7,4,0,5,10,2,10,1,1,2,150,10,1,6,2,2,1,9,2,0,5,5,5,0,5,2,3,4,0,4,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,2,2,9,2,2,9,3,1
