CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24A.,Q.24B.,Q.24C.,Q.24D.,Q.24E.,Q.25.,Q.26A.,Q.26B.,Q.26C.,Q.26D.,Q.26E.,Q.27.,Q.27..1,Q.27..2,Q.27..3,Q.27..4,Q.27..5,Q.27..6,Q.27..7,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51.,Q.52.,Q.54.,Q.55.,CARD..1,DECK..1,BALLOT..1,Q.56.,Q.57.,Q.58.,Q.59.,Q.60.,Q.61.,Q.62.,Q.66.,Q.67.,Q.68.,Q.69.,Q.70.,Q.71.,Q.72.,Q.73.,Q.74.,Q.75.,Q.76.,Q.77.,Q.78.,N.80.,N.81.,N.82.,N.83.,N.84.
1,170,1,3,4,6,1,3,1,1,1,1,4,2,2,7,1,4,2,0,2,3,2,2,3,1,2,2,1,1,1,2,1,3,3,3,3,1,2,2,2,2,2,2,2,2,1,2,1,1,1,0,2,2,2,1,2,2,3,2,3,1,2,2,2,1,2,2,1,1,3,1,2,170,1,3,3,5,2,2,5,2,1,3,3,1,1,2,1,1,2,2,2,1,2,1,1,0,2,0
1,170,2,4,4,6,2,1,1,1,1,2,4,5,2,7,1,4,2,2,3,1,2,3,3,1,1,2,1,2,1,3,2,1,3,3,3,1,2,2,2,2,2,2,2,2,3,3,1,2,6,4,2,1,2,3,4,2,1,3,3,2,2,2,2,2,2,3,1,1,1,1,2,170,2,1,1,2,2,2,5,3,2,3,4,1,2,2,1,1,2,1,2,2,1,1,1,0,2,1
1,170,3,1,4,7,4,4,1,1,1,2,4,2,2,7,4,3,2,1,2,1,2,1,1,1,1,2,1,1,1,1,1,3,3,3,1,1,2,2,2,2,2,2,2,2,1,1,1,1,4,1,2,2,2,2,2,2,3,2,2,1,2,2,1,2,2,3,2,3,3,1,2,170,3,3,8,1,2,2,4,2,2,4,2,2,3,1,1,1,2,1,2,2,1,1,1,0,2,2
1,170,4,4,8,8,2,3,2,2,2,1,5,5,5,7,2,2,3,3,3,3,2,2,3,1,1,2,1,2,1,2,3,3,3,3,3,2,2,2,2,2,2,1,2,2,0,2,3,1,3,6,2,0,2,0,2,2,2,1,2,3,1,1,2,2,2,2,1,3,3,1,2,170,4,3,6,2,2,2,2,4,2,3,3,0,2,2,1,1,2,1,2,2,1,1,1,0,2,3
1,170,5,5,5,5,1,1,1,1,1,2,5,6,5,7,1,1,3,1,1,3,2,2,2,1,1,2,1,1,2,2,1,3,3,1,3,1,2,2,2,2,2,2,2,2,3,2,1,3,6,2,3,2,2,2,2,2,2,2,3,3,2,1,2,2,2,2,3,2,1,1,2,170,5,3,3,3,2,2,5,2,1,4,3,2,4,3,1,1,2,1,2,2,2,1,1,0,2,4
1,170,6,3,9,5,2,4,2,2,3,1,5,5,4,7,4,3,3,1,1,3,2,3,3,1,1,2,1,2,1,3,1,3,3,1,3,1,2,2,2,2,2,2,2,2,4,2,3,2,3,6,2,2,3,2,3,2,2,2,3,2,1,2,2,2,2,1,0,2,3,1,2,170,6,3,7,3,2,2,4,2,1,4,3,2,3,4,1,2,1,1,2,2,1,1,1,0,2,5
1,170,7,2,5,5,4,2,1,1,1,1,5,5,4,7,4,4,1,4,3,1,2,2,2,1,1,2,1,2,1,2,2,3,3,2,3,1,2,2,2,2,2,2,2,2,4,3,0,3,1,6,3,2,2,3,4,4,2,2,2,2,2,2,1,2,2,3,1,2,1,1,2,170,7,3,4,3,2,2,4,2,2,4,4,2,2,2,1,1,2,2,2,2,1,1,1,0,2,6
1,170,8,4,9,6,8,2,1,1,1,1,5,5,5,7,2,1,1,4,4,2,2,3,3,1,1,2,1,2,1,2,3,3,3,3,3,2,2,2,2,2,2,1,2,1,4,6,3,2,6,1,3,1,2,1,1,2,1,2,1,2,2,1,1,1,2,2,2,2,3,1,2,170,8,3,6,2,2,2,5,3,1,3,3,2,1,1,1,2,2,1,2,2,1,1,1,0,2,7
1,170,9,4,10,4,2,2,2,2,2,1,5,5,5,7,2,1,3,1,2,2,2,2,2,2,0,0,1,0,0,2,0,2,3,2,3,1,2,2,2,2,2,2,2,2,4,4,2,3,6,1,3,1,3,2,2,2,2,2,1,2,1,2,2,3,1,1,1,3,1,1,2,170,9,3,5,2,3,3,4,2,1,1,3,1,1,1,1,2,1,1,2,2,1,1,1,0,2,8
1,170,10,5,11,5,9,5,2,2,2,2,5,5,5,7,2,2,2,4,1,1,2,3,3,1,1,2,1,2,1,3,1,3,3,3,3,1,2,2,2,2,2,2,2,2,5,2,1,3,4,2,3,2,3,3,4,4,2,2,3,1,1,1,2,2,2,2,2,2,3,1,2,170,10,3,6,5,2,2,4,2,1,4,3,1,2,1,1,1,2,1,2,1,2,1,1,0,2,9
