CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6A.,Q.6B.,Q.6C.,Q.6D.,Q.6E.,Q.6F.,Q.6G.,Q.6H.,Q.6I.,Q.6J.,Q.6K.,Q.6L.,Q.7.,Q.8A.,Q.8B.,Q.8C.,Q.9.,V.9A.,Q.10.,Q.11.,Q.12.,V.13.,V.14.
1,189,1,3,4,4,1,0,1,2,2,1,2,2,1,1,1,2,1,1,1,1,2,1,2,4,3,6,1,2,5
1,189,2,3,4,5,2,2,1,2,2,1,1,2,2,1,1,2,2,1,1,1,2,2,2,4,3,6,1,0,5
1,189,3,3,4,3,3,2,1,4,2,1,1,3,3,1,1,2,2,1,1,2,2,2,1,3,3,6,1,3,6
1,189,4,3,4,3,3,2,1,3,1,1,3,3,1,1,3,3,1,1,1,1,2,2,1,4,3,6,1,0,7
1,189,5,3,4,1,3,2,1,2,3,1,0,0,2,1,1,2,2,1,1,1,2,2,2,2,3,6,1,3,8
1,189,6,3,4,1,2,3,1,4,3,1,2,2,1,1,1,4,4,1,1,3,2,1,3,4,3,7,1,0,3
1,189,7,3,4,3,2,3,0,2,2,1,1,1,3,1,3,2,2,2,1,3,2,1,2,2,3,7,1,3,3
1,189,8,3,4,4,3,0,1,2,2,1,1,1,2,1,1,2,2,2,1,1,1,2,2,2,3,7,1,3,3
1,189,9,3,4,1,3,3,3,2,2,3,3,4,4,1,1,4,2,2,1,3,2,1,1,4,3,7,1,3,3
1,189,10,3,4,0,1,1,1,2,0,1,2,2,1,1,2,2,2,1,1,1,1,1,1,3,1,7,1,3,4
1,189,11,3,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,4,3,7,1,0,5
1,189,12,3,4,2,2,3,1,2,2,1,2,2,3,3,3,4,2,3,1,2,2,1,2,2,3,7,1,0,7
1,189,13,3,4,4,3,2,4,4,3,1,4,4,1,1,4,4,1,1,2,0,0,0,0,4,0,0,0,0,3
1,189,14,3,4,2,3,2,1,2,2,1,1,2,2,1,1,2,2,1,1,3,2,2,2,1,3,0,0,0,4
1,189,15,3,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,4
1,189,16,3,4,4,3,0,1,2,3,1,2,2,3,1,1,2,2,1,1,2,3,2,2,4,8,0,1,0,5
1,189,17,3,4,3,3,2,1,2,1,1,2,2,1,1,1,2,2,2,2,1,2,3,2,4,3,1,1,0,3
1,189,18,3,4,4,3,2,1,1,1,1,1,1,3,1,3,3,3,1,1,2,2,2,1,4,3,1,1,0,4
1,189,19,3,4,4,1,2,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,4,0,1,1,0,4
1,189,20,3,4,4,0,0,1,1,1,1,1,2,2,1,1,0,0,1,1,2,2,2,0,4,8,1,1,0,5
1,189,21,3,4,3,3,4,1,2,2,1,1,4,3,1,1,3,3,1,2,1,3,2,1,3,3,1,1,3,7
1,189,22,3,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,3,4,3,2,1,0,4
1,189,23,3,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,3,2,1,3,5
1,189,24,3,4,4,1,1,0,0,0,1,0,0,0,0,1,0,0,0,2,3,2,2,1,4,3,3,0,0,3
1,189,25,3,4,5,2,2,3,3,3,1,3,3,4,4,4,4,4,4,0,2,2,2,3,4,3,3,1,0,3
1,189,26,3,4,0,3,2,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,2,2,2,3,3,1,3,4
1,189,27,3,2,2,2,2,1,1,1,1,3,4,3,1,1,2,2,2,1,1,2,2,3,4,8,5,1,0,10
1,189,28,3,2,3,3,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,3,2,1,4,8,5,1,0,10
1,189,29,3,2,3,2,0,1,2,2,1,1,1,1,1,1,1,2,1,1,2,3,1,1,3,8,5,1,0,10
1,189,30,3,2,3,2,2,1,2,1,1,1,2,1,1,2,2,2,1,1,1,2,2,2,2,8,5,1,0,10
1,189,31,3,2,5,2,2,1,3,3,1,1,4,4,1,1,4,3,1,3,3,2,1,2,2,6,5,2,3,13
1,189,32,3,2,1,3,3,1,3,2,4,1,3,3,1,1,3,3,1,1,5,0,1,2,2,6,5,2,0,13
1,189,33,3,2,1,3,2,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,2,4,6,5,2,0,13
