S0196.CARD.  1. CARD ONE 
S0196.DECK.  196. SURVEY NUMBER 
S0196.BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
S0196.Q1. WHAT IS YOUR ARMY RANK OR GRAD?  1. PRIVATE OR PRIVATE 1ST CLASS 2. CORPORAL (TECHNICIAN 5TH GRADE) 3. SERGEANT (ANY GRADE) 4. NO ANSWER 0. NO CODE OR NO DATA 
"S0196.Q2. HOW FAR DID YOU GO IN SCHOO?  1. LESS THAN 5TH GRADE 2. FINISHED 5TH OR 6TH GRADE 3. FINISHED 7TH OR 8TH GRADE 4. SOME HIGH SCHOOL, BUT DID NOT GRADUATE 5. GRADUATED FROM HIGH SCHOOL 6. SOME COLLEGE, BUT DID NOT FINISH 7. GRADUATED FROM COLLEGE "
S0196.Q3. IN WHAT PART OF THE STATES DID YOU SPEND MOST OF YOUR LIFE BEFORE COMING INTO THE ARM?  1. NORTH EAST 2. BORDER STATES 3. SOUTH 4. MID-WEST 5. WEST 0. NO ANSWER P. HERE ARE SOME QUESTIONS ABOUT YOUR DAILY LIFE: 
S0196.Q4. HOW DO YOU USUALLY GET YOUR CLOTHES WASHED OR CLEANE?  1. USUALLY DO IT MYSELF 2. USUALLY GIVE IT TO GI LAUNDRY 3. USUALLY GIVE IT TO CIVILIANS 4. CIVILIANS AND MYSELF 5. OTHER 0. NO ANSWER 
S0196.Q5. DO YOU HAVE ENOUGH CLOTHING TO KEEP YOU WARM AND DR?  1. YES 2. NO 3. NO ANSWER 0. NO CODE OR NO DATA X. QUESTIONS 6 AND 7 NOT CODED. 
"S0196.Q8. ON THE WHOLE, HOW SATISFIED DO YOU FEEL ABOUT THE FOOD YOU GE?  1. VERY SATISFIED 2. FAIRLY SATISFIED 3. SOMEWHAT DISSATISFIED 4. VERY DISSATISFIED 5. NO ANSWER 0. NO CODE OR NO DATA X. QUESTION 9 NOT CODED. "
"S0196.Q10. IN GENERAL, WOULD YOU SAY YOU USUALLY GET ALL YOU WANT TO EAT OR NO?  1. USUALLY GET ALL I WANT TO EAT 2. USUALLY DON'T GET ENOUGH TO EAT 0. NO ANSWER "
S0196.Q11. THE LAST TIME YOU WERE ON THE JOB WHAT SHIFT DID YOU WOR?  1. NIGHT SHIFT 2. DAY SHIFT 0. NO ANSWER 
"S0196.Q12. ON YOUR LAST WORK SHIFT, WHAT SORT OF MEALS DID YOU GET WHILE ON THE JO?  1. SANDWICH LUNCH 2. HOT LUNCH 3. K RATION 4. C RATION 5. OTHER 6. NONE 0. NO ANSWER "
"S0196.Q13. ON THE WHOLE, HOW SATISFIED DO YOU FEEL ABOUT THE RECREATION AND ENTERTAINMENT THAT IS PROVIDED FOR MEN AT YOUR CAMP OR POS?  1. VERY SATISFIED 2. FAIRLY SATISFIED 3. SOMEWHAT DISSATISFIED 4. VERY DISSATISFIED 0. NO ANSWER X. QUESTION 14 NOT CODED. "
"S0196.Q15. ON THE WHOLE, HOW SATISFIED DO YOU FEEL ABOUT THE RECREATION AND ENTERTAINMENT YOU CAN FIND IN TOWN, WHEN YOU GO THERE ON A PAS?  1. VERY SATISFIED 2. FAIRLY SATISFIED 3. SOMEWHAT DISSATISFIED 4. VERY DISSATISFIED 0. NO ANSWER X. QUESTION 16 NOT CODED. "
"S0196.Q17. ON THE WHOLE, HOW SATISFIED DO YOU FEEL ABOUT THE BILLET YOU NOW LIVE I?  1. VERY SATISFIED 2. FAIRLY SATISFIED 3. SOMEWHAT DISSATISFIED 4. VERY DISSATISFIED 5. NO ANSWER 0. NO CODE OR NO DATA "
"S0196.Q18. ON THE WHOLE, HOW DO YOU FEEL ABOUT THE SET UP OR ARRANGEMENTS FOR TAKING BATHS OR SHOWERS IN YOUR OUTFI?  1. VERY SATISFIED 2. FAIRLY SATISFIED 3. SOMEWHAT DISSATISFIED 4. VERY DISSATISFIED 0. NO ANSWER "
"S0196.Q19. ON THE WHOLE, HOW SATISFIED DO YOU FEEL ABOUT THE WAY PASSES ARE HANDLED IN YOUR OUTFI?  1. VERY SATISFIED 2. FAIRLY SATISFIED 3. SOMEWHAT DISSATISFIED 4. VERY DISSATISFIED 0. NO ANSWER "
S0196.Q20. HOW MANY TIMES HAVE YOU HAD A PASS DURING THE PAST TWO WEEK?  01. 1 TIME 02. 2 03. 2 TO 4 04. 3 TO 5 05. 4 TO 6 06. 5 TO 7 07. 6 TO 8 08. 8 09. 9 OR MORE TIMES 10. NONE 00. NO ANSWER 
"S0196.Q21. ON THE WHOLE, HOW SATISFIED DO YOU FEEL ABOUT THE MEDICAL ATTENTION YOU GET IN YOUR OUTFI?  1. VERY SATISIFED 2. FAIRLY SATISFIED 3. SOMEWHAT DISSATISFIED 4. VERY DISSATISFIED 5. NO ANSWER 0. NO CODE OR NO DATA P. NOW HERE ARE SOME QUESTIONS ABOUT YOUR JOB: "
"S0196.Q22. ON THE WHOLE, HOW SATISFIED DO YOU FEEL ABOUT THE TRANSPORTATION YOU GET BACK AND FORTH FROM WOR?  1. VERY SATISFIED 2. FAIRLY SATISFIED 3. SOMEWHAT DISSATISFIED 4. VERY DISSATISFIED 5. DON'T NEED TRANSPORTATION TO GET TO WORK 6. NO ANSWER 0. NO CODE OR NO DATA X. QUESTION 23 NOT CODED. "
S0196.Q24. HOW SATISFIED ARE YOU ABOUT BEING IN YOUR PRESENT ARMY JO?  1. VERY SATISIFED 2. FAIRLY SATISFIED 3. SOMEWHAT DISSATISFIED 4. VERY DISSATISFIED 0. NO ANSWER 
"S0196.Q25. ON THE WHOLE, DO YOU THINK THE ARMY IS GIVING YOU A CHANCE TO SHOW WHAT YOU CAN D?  1. A VERY GOOD CHANCE 2. A FAIRLY GOOD CHANCE 3. NOT MUCH OF A CHANCE 4. NO CHANCE AT ALL 5. UNDECIDED 0. NO ANSWER "
S0196.Q26. HOW WELL DO THE MEN IN YOUR OUTFIT WORK TOGETHER ON THE JO?  1. VERY WELL 2. FAIRLY WELL 3. NOT VERY WELL 4. NOT WELL AT ALL 5. NO ANSWER 0. NO CODE OR NO DATA X. QUESTIONS 27 AND 28 TO BE CODED TOGETHER. 
"S0196.Q27. DO YOU THINK YOU WOULD BE DOING MORE FOR THE WAR EFFORT OR LESS THAN YOU ARE NOW DOING, IF YOU WERE IN A COMBAT INFANTRY OUTFI? 0. THINK I WOULD BE DOING MORE IN A COMBAT INFANTRY OUTFIT 3. THINK I WOULD BE DOING ABOUT THE SAME 6. THINK I WOULD BE DOING LESS IN A COMBAT INFANTRY OUTFIT  Q.28. DO YOU THINK YOU WOULD BE DOING MORE FOR THE WAR EFFORT OR LESS THAN YOU ARE NOW DOING, IF YOU WERE IN THE MERCHANT MARIN? 1. THINK I WOULD BE DOING MORE IN THE MERCHANT MARINE 2. THINK I WOULD BE DOING ABOUT THE SAME 3. THINK I WOULD BE DOING LESS IN THE MERCHANT MARINE E. COMBINATION CODE FOR Q.27 AND Q.28. Z. IF NO ANSWER TO ONE OF TWO QUESTIONS: CODE 3 IN Q.27, CODE 2 IN Q.28.  1. Q.27 CODE 0, Q.28 CODE 1 2. Q.27 CODE 0, Q.28 CODE 2 3. Q.27 CODE 0, Q.28 CODE 3 4. Q.27 CODE 3, Q.28 CODE 1 5. Q.27 CODE 3. Q.28 CODE 2 6. Q.27 CODE 3, Q.28 CODE 3 7. Q.27 CODE 6, Q.28 CODE 1 8. Q.27 CODE 6, Q.28 CODE 2 9. Q.27 CODE 6, Q.28 CODE 3 0. NO ANSWER TO BOTH QUESTIONS "
S0196.Q29. HAVE YOU EVER BEEN IN ANY BRANCH OF SERVICE OTHER THAN THE ONE YOU ARE NOW I?  1. YES 2. NO 3. NO ANSWER 0. NO CODE OR NO DATA X. QUESTION 30 NOT CODED. 
"S0196.Q31. WOULD YOU HONESTLY SAY THAT YOU USUALLY PUT ALL YOU HAVE INTO YOUR REGULAR ARMY DUTIES, OR DO YOU USUALLY WORK JUST HARD ENOUGH TO GET B?  1. I USUALLY PUT ALL I HAVE INTO IT 2. I USUALLY WORK HARD BUT COULD DO MORE 3. I USUALLY WORK JUST HARD ENOUGH TO GET BY 4. NO ANSWER 0. NO CODE OR NO DATA "
"S0196.Q32. ON THE WHOLE, ARE YOU TOLD TOO MUCH, OR TOO LITTLE ABOUT HOW TO DO YOUR JO?  1. TOO MUCH 2. ABOUT RIGHT AMOUNT 3. TOO LITTLE 0. NO ANSWER "
"S0196.Q33. HAVE ANY PROMISES BEEN MADE TO YOU DURING THE LAST FEW MONTHS OR SO WHICH HAVE NOT BEEN KEP?  1. NO, NEVER 2. YES, SOMETIMES 3. YES, FREQUENTLY 0. NO ANSWER "
"S0196.Q34. IF YOU HAVE A GOOD IDEA ON HOW TO IMPROVE SOME PART OF THE WORK YOUR OUTFIT IS DOING, IS IT USUALLY POSSIBLE FOR YOU TO TELL SOMEONE WHO CAN PUT YOUR IDEA INTO US?  1. IT IS USUALLY EASY TO TELL SOMEONE WHO CAN PUT IDEA INTO USE 2. IT IS USUALLY HARD TO TELL SOMEONE WHO CAN PUT IDEA INTO USE 0. NO ANSWER "
S0196.Q35. HOW OFTEN ARE GOOD SUGGESTIONS WHICH COME FROM THE MEN PUT INTO US?  1. ALWAYS 2. USUALLY 3. RARELY 4. NEVER 5. DON'T KNOW 0. NO ANSWER 
"S0196.Q36. DO YOU KNOW IF RECORDS ARE NOW KEPT BY THE PORT ON THE AMOUNT OF TONNAGE OR SUPPLIES THAT IS LOADED OR UNLOADED BY DIFFERENT OUTFIT?  1. I DON'T KNOW IF THEY ARE OR NOT 2. YES, THESE RECORDS ARE KEPT 3. NO, THESE RECORDS ARE NOT KEPT 4. NO ANSWER 0. NO CODE OR NO DATA "
