CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.3..1,Q.3..2,Q.3..3,Q.3..4,Q.3..5,Q.3..6,Q.3..7,Q.3..8,Q.4.,Q.5A.,V.5B.,V.5B..1,V.5B..2,V.5B..3,V.5B..4,V.5B..5,V.5B..6,V.5B..7,V.5B..8,Q.6.,Q.7.,Q.8.,Q.8..1,Q.8..2,Q.9.,Q.9..1,Q.9..2,Q.10.,Q.11A.,V.11B.,V.11B..1,V.11B..2,V.11B..3,V.11B..4,V.11B..5,V.11B..6,V.11B..7,Q.12.,Q.12..1,Q.13.,Q.13..1,Q.13..2,Q.13..3,Q.13..4,Q.13..5,Q.13..6,Q.13..7,Q.13..8,Q.13..9,Q.13..10,Q.14.,Q.16.,Q.16..1,Q.16..2,Q.16..3,Q.16..4,Q.16..5,Q.16..6,Q.16..7,Q.16..8,Q.16..9,Q.16..10,Q.16..11,CARD..1,DECK..1,BALLOT..1,V.17.,V.18.,V.19.,V.20.
1,199,1,1,6,1,1,1,2,2,2,2,2,1,1,4,2,2,2,2,2,2,2,1,2,1,2,1,8,0,1,4,0,4,6,2,2,2,2,2,2,1,2,1,4,5,5,0,8,2,10,1,1,3,5,0,1,2,2,2,2,2,2,2,1,2,2,1,2,2,199,1,5,6,43,1
1,199,2,10,5,1,2,2,2,2,2,2,2,1,1,0,2,2,2,2,2,2,2,1,2,1,1,2,4,0,0,0,0,4,0,2,2,2,2,2,2,1,2,1,4,1,2,1,8,2,10,1,3,0,2,2,0,2,2,2,2,2,2,2,1,2,2,1,2,2,199,2,5,5,56,1
1,199,3,2,4,2,1,2,2,2,2,1,2,2,1,6,2,2,2,2,2,2,2,1,2,1,1,1,8,0,1,7,0,3,1,2,2,2,2,2,2,1,2,3,1,1,1,1,8,2,0,1,4,0,5,4,3,2,2,2,2,2,2,2,2,2,2,2,1,2,199,3,4,1,1,1
1,199,4,2,2,2,1,2,2,2,2,2,2,1,1,4,2,2,2,2,2,2,2,1,2,1,1,2,4,0,1,8,0,4,1,2,2,2,2,2,2,1,2,3,1,5,5,1,8,2,0,4,0,0,5,5,2,1,2,2,2,2,2,2,2,2,2,2,1,2,199,4,4,1,25,1
1,199,5,2,3,2,1,2,2,2,2,2,2,1,4,2,2,2,2,2,2,2,2,1,2,1,1,2,4,0,1,0,0,4,2,2,2,2,2,2,2,1,2,3,2,2,1,1,8,2,0,1,4,0,5,5,3,2,2,2,2,2,2,2,2,2,2,1,1,2,199,5,4,1,4,1
1,199,6,6,4,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,1,4,0,2,4,0,4,2,2,2,2,2,2,2,1,2,3,4,1,1,1,8,2,0,4,0,0,2,3,4,2,2,2,2,2,1,2,2,2,1,2,2,2,199,6,4,9,11,1
1,199,7,1,2,2,1,1,2,2,2,2,2,1,4,1,2,2,2,2,2,2,2,1,2,1,1,2,4,0,1,0,0,4,3,2,2,2,2,2,2,1,2,4,0,1,1,1,8,2,0,4,0,0,5,6,4,2,2,2,2,2,1,2,2,2,2,2,1,2,199,7,4,2,37,1
1,199,8,2,4,2,1,2,2,2,2,2,2,1,4,1,2,2,2,2,2,2,2,1,2,1,1,2,4,0,0,0,0,4,5,2,2,2,2,2,2,1,2,4,1,2,1,1,8,2,0,1,4,0,4,9,4,2,2,2,2,2,2,2,2,1,2,2,1,2,199,8,4,1,11,1
1,199,9,3,4,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,1,1,2,4,0,1,4,0,1,2,2,2,2,2,2,2,1,2,4,1,5,5,1,8,2,0,1,4,0,2,4,4,2,2,2,1,2,2,2,2,2,2,2,1,2,199,9,4,1,30,1
1,199,10,3,4,2,1,2,2,2,2,2,2,1,4,2,2,2,2,2,2,2,2,1,2,1,1,2,4,0,4,8,0,4,2,2,2,2,2,2,2,1,2,4,1,1,1,1,8,2,0,1,4,0,5,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,199,10,4,1,34,1
1,199,11,2,4,2,1,2,2,2,2,2,2,1,4,1,2,2,2,2,2,2,2,1,2,1,1,4,8,0,1,0,0,4,3,2,2,2,2,2,2,1,2,4,1,2,1,1,8,2,0,1,4,0,5,4,3,1,2,2,2,2,1,2,2,2,2,2,2,2,199,11,4,1,14,1
1,199,12,2,2,1,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,1,1,8,2,0,1,7,0,4,1,2,2,2,2,2,2,1,2,4,1,2,5,5,8,2,0,8,1,4,5,4,3,2,2,2,2,2,1,2,2,1,2,2,2,2,199,12,4,1,21,1
