CARD.  1. CARD ONE 
DECK.  212. SURVEY NUMBER 
BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
Q.1. WHAT IS YOUR ARMY RANK OR GRADE*  1. PRIVATE OR PRIVATE FIRST CLASS 2. CORPORAL OR TECHNICIAN 5TH GRADE 3. SERGEANT OR TECHNICIAN 4TH GRADE 4. 1ST THREE GRADER 0. NO ANSWER 
Q.2. HOW OLD WERE YOU ON YOUR LAST BIRTHDAY*  1. 19 YEARS OR YOUNGER 2. 20-24 YEARS 3. 25-29 YEARS 4. 30-34 YEARS 5. 35-39 YEARS 6. 40 YEARS OR OVER 0. NO ANSWER 
Q.3. HOW FAR DID YOU GO IN SCHOOL*  1. DID NOT FINISH GRADE SCHOOL 2. GRADUATED FROM GRADE SCHOOL 3. SOME HIGH SCHOOL BUT DID NOT GRADUATE 4. GRADUATED FROM HIGH SCHOOL 5. WENT TO COLLEGE 0. NO ANSWER 
"Q.4. HOW LONG HAVE YOU BEEN IN THE ARMY* E. IF YOU HAVE SERVED PREVIOUSLY IN THE ARMY, CHECK THE LENGTH OF TIME SINCE YOU ENTERED THIS LAST TIME. IF YOU WERE A NATIONAL GUARDSMAN GIVE THE LENGTH OF TIME SINCE YOUR OUTFIT ENTERED THE ARMY.  1. 3 MONTHS OR LESS 2. OVER 3 MONTHS UP TO 6 MONTHS 3. OVER 6 MONTHS UP TO 1 YEAR 4. OVER 1 YEAR UP TO 2 YEARS 5. OVER 2 YEARS UP TO 3 YEARS 6. OVER 3 YEARS UP TO 4 YEARS 7. OVER 4 YEARS 0. NO ANSWER "
Q.5. HOW DID YOU COME INTO THE ARMY*  1. I VOLUNTEERED FOR THE REGULAR ARMY 2. I VOLUNTEERED THROUGH THE SELECTIVE SERVICE 3. I WAS IN THE NATIONAL GUARD 4. I WAS DRAFTED 5. SOME OTHER WAY 0. NO ANSWER 
Q.6. WHAT BRANCH OF THE ARMY ARE YOU IN NOW*  01. ENGINEERS 02. FIELD ARTILLERY 03. QUARTERMASTER CORPS 04. INFANTRY 05. MEDICAL DEPARTMENT 06. ARMORED FORCE AND TANK DESTROYER 07. SIGNAL CORPS 08. COAST ARTILLERY AND ANTI-AIRCRAFT 09. AIR CORPS 10. TRANSPORTATION CORPS 11. ORDNANCE DEPARTMENT 12. CHEMICAL WARFARE SERVICE 13. MILITARY POLICE 14. DEML (STATION COMPLEMENT) 15. OTHER 00. NO ANSWER 
"Q.7. WERE YOU EVER OVERSEAS OR STATIONED OUTSIDE OF THE 48 STATES IN THIS WAR*  1. YES 2. NO I. IF YOU WERE OVERSEAS IN THIS WAR OR STATIONED OUTSIDE OF THE 48 STATES, ANSWER THE FOLLOWING QUESTIONS, IF NOT SKIP TO QUESTION 19. "
Q.8. HOW LONG WERE YOU OVERSEAS* (COUNT FROM THE TIME YOU LEFT THE STATES UNTIL YOU RETURNED)  1. 12 MONTHS OR LESS 2. OVER 12 MONTHS UP TO 18 MONTHS 3. OVER 18 MONTHS UP TO 24 MONTHS 4. OVER 24 MONTHS UP TO 30 MONTHS 5. OVER 30 MONTHS UP TO 36 MONTHS 6. OVER 36 MONTHS 0. NO ANSWER 9. INAPPLICABLE 
Q.9. WERE YOU SENT BACK TO THE STATES UNDER THE ROTATION PLAN OR FOR SOME OTHER REASON*  1. I WAS SENT BACK UNDER THE ROTATION PLAN 2. I WAS SENT BACK WOUNDED 3. I WAS SENT BACK BECAUSE OF NERVOUSNESS 4. I WAS SENT BACK FOR SOME OTHER REASON 0. NO ANSWER 9. INAPPLICABLE 
"Q.10. IN WHAT OVERSEAS THEATER OR AREA DID YOU LAST SERVE*  01. EUROPEAN THEATRE (BRITISH ISLES, FRANCE, GERMANY) 02. MEDITERRANEAN THEATRE (ITALY, NORTH AFRICA) 03. CARIBBEAN, PANAMA 04. SOUTHWEST PACIFIC AREA (AUSTRALIA, NEW GUINEA, PHILIPPINES) 05. SOUTH PACIFIC BASE COMMAND (NEW CALEDONIA, GUADALCANAL, ETC.) 06. CENTRAL PACIFIC BASE COMMAND (HAWAII, KWAJALEIN, SAIPAN, ETC.) 07. ALASKA, ALEUTIANS 08. MIDDLE EAST (CAIRO, PALESTINE, IRAN) 09. CHINA, BURMA, INDIA 10. OTHER PLACE 00. NO ANSWER 99. INAPPLICABLE "
Q.11. WAS THIS THE OVERSEAS THEATER OR AREA YOU SERVED IN LONGEST*  1. YES 2. NO 0. NO ANSWER 9. INAPPLICABLE 
"Q.12. HAVE YOU BEEN IN COMBAT OR UNDER ENEMY FIRE IN THIS WAR*  1. YES, I HAVE BEEN IN ACTUAL COMBAT 2. YES, I HAVE BEEN UNDER ENEMY FIRE, BUT NOT IN ACTUAL COMBAT 3. NO 0. NO ANSWER 9. INAPPLICABLE "
"Q.13. WHAT WAS THE BRANCH OF SERVICE THAT YOU WERE LAST IN WHILE YOU WERE OVERSEAS*  01. ENGINEERS 02. FIELD ARTILLERY 03. QUARTERMASTER CORPS 04. INFANTRY 05. MEDICAL DEPARTMENT 06. ARMORED FORCE AND TANK DESTROYER 07. SIGNAL CORPS 08. COAST ARTILLERY AND ANTI-AIRCRAFT 09. AIR CORPS 10. TRANSPORTATION CORPS 11. ORDNANCE DEPARTMENT 12. CHEMICAL WARFARE SERVICE 13. MILITARY POLICE 14. DEML (STATION COMPLEMENT) 15. OTHER 00. NO ANSWER, INAPPLICABLE "
