CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24A.,Q.24B.,Q.24C.,Q.24D.,Q.24E.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.31..1,Q.31..2,Q.31..3,Q.31..4,Q.31..5,Q.31..6,Q.31..7,Q.31..8,Q.31..9,Q.31..10,Q.31..11,Q.31..12,V.31A.,Q.32.,Q.33.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51A.,Q.51B.,Q.51C.,Q.52.,Q.55.,CARD..1,DECK..1,BALLOT..1,V.56.,V.57.
1,230,1,1,9,5,5,2,1,4,2,3,3,1,1,2,3,3,4,3,3,1,3,2,2,1,2,1,1,2,1,4,2,1,4,2,2,2,1,2,2,1,1,2,1,2,2,1,2,5,2,1,1,1,2,2,2,3,2,5,1,1,2,3,3,3,3,1,1,2,2,1,2,,,,,
2,230,1,2,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,230,2,3,10,5,3,2,5,8,2,2,4,1,1,2,3,4,5,3,3,2,2,4,2,2,2,0,0,0,0,0,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
2,230,2,2,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,230,3,1,4,4,3,2,4,7,1,1,4,1,1,2,3,2,4,3,3,1,4,4,0,2,2,1,1,2,1,4,2,1,2,3,2,1,2,2,2,1,1,2,1,2,2,1,2,5,4,3,1,4,1,2,3,3,2,5,3,3,3,1,1,4,3,0,1,4,1,4,1,,,,,
2,230,3,2,14,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,230,4,3,11,5,3,2,2,5,1,4,3,1,1,2,3,3,3,2,3,1,2,2,2,2,2,1,1,2,1,4,2,1,3,3,2,1,1,2,2,1,1,2,1,2,2,2,2,5,1,1,1,1,2,2,2,2,3,4,1,2,3,3,2,2,3,1,2,2,2,2,1,,,,,
2,230,4,2,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,230,5,3,4,4,1,5,2,3,2,4,2,3,2,2,3,2,2,1,2,1,4,3,1,2,2,1,1,1,2,4,2,1,3,3,2,1,2,2,2,1,1,2,1,2,2,1,2,5,2,2,1,1,2,4,1,1,1,3,2,2,2,2,2,2,3,0,1,2,1,1,2,,,,,
2,230,5,2,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,230,6,3,5,5,4,2,2,3,2,4,2,1,1,2,3,3,3,2,2,1,3,2,1,2,2,1,1,1,1,0,2,1,3,2,2,2,1,2,2,1,1,2,1,2,1,2,2,5,1,1,1,1,3,3,2,1,2,5,3,2,2,2,3,2,1,2,2,2,3,2,1,,,,,
2,230,6,2,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,230,7,3,6,5,4,2,2,6,2,4,2,2,1,2,3,2,3,3,3,1,1,1,2,2,2,1,1,1,1,4,2,1,3,5,2,2,1,2,1,1,2,2,1,2,2,1,2,5,1,1,1,2,2,3,2,1,2,5,2,2,2,3,4,5,2,2,3,3,3,2,1,,,,,
2,230,7,2,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
