CARD.,DECK.,BALLOT.,FORM.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51.,Q.52.,Q.53.,Q.54A.,Q.55.,Q.56.,Q.57.,Q.58.,Q.59.,Q.60.,Q.61.,Q.62.,Q.65.,Q.66.,CARD..1,DECK..1,BALLOT..1,FORM..1,Q.67.,Q.68.,Q.69A.,Q.70A.,Q.71.,Q.72A.,Q.72B.,Q.72C.,Q.73D.,Q.73.,Q.74.,Q.75A.,Q.75B.,Q.75C.,Q.76.,Q.77.,Q.78.,Q.79.,Q.80.,Q.81.,Q.83.,Q.84.,Q.85.,Q.86A.,Q.87A.,Q.88A.,Q.89.,Q.90.,Q.91.,Q.92.,Q.93.,Q.94.,Q.95.,Q.97A.,Q.98.,Q.99.,V.101.,V.102.,V.103.,V.104.,V.105.,V.106.,V.107.,V.108.,V.109.
1,63,1,5,1,2,5,3,5,1,5,3,0,2,3,1,2,9,6,3,1,2,1,1,3,2,2,3,3,2,1,1,3,3,4,3,4,3,4,1,1,1,2,3,1,2,3,3,2,1,1,1,1,1,2,1,3,3,1,1,1,3,4,4,4,1,1,2,63,1,5,4,1,1,3,3,2,1,1,2,1,2,1,2,2,3,1,3,1,1,1,1,1,2,1,2,1,2,1,1,1,2,1,3,2,2,5,4,5,4,5,8,2,5,48,1144
1,63,2,5,1,1,6,2,5,1,5,3,1,2,2,2,4,9,2,3,2,1,2,1,2,2,2,3,2,4,2,2,3,3,2,4,4,2,3,3,3,3,1,6,2,1,2,3,3,2,2,1,1,3,1,3,3,5,1,3,1,1,3,2,2,1,1,2,63,2,5,4,4,1,2,2,2,1,1,1,2,1,1,2,2,1,1,2,1,2,2,1,2,2,1,2,1,1,2,2,1,2,1,2,1,1,5,4,2,5,2,5,5,5,48,263
1,63,3,5,1,2,7,5,1,1,5,3,2,1,2,1,4,9,1,1,1,1,1,1,2,1,1,1,1,4,2,1,1,1,2,2,4,1,1,1,3,3,2,3,2,1,3,3,1,1,1,1,1,2,1,2,3,2,3,2,2,1,1,1,1,1,1,2,63,3,5,4,1,1,1,1,2,2,1,1,2,1,2,2,1,3,1,2,1,2,1,1,7,1,1,1,3,7,1,1,1,1,1,2,1,1,4,7,3,5,8,8,7,7,48,563
1,63,4,5,1,2,6,2,5,1,5,3,1,2,2,1,4,9,1,4,2,1,2,1,2,2,3,3,2,3,2,3,3,2,2,3,3,3,4,3,1,1,3,3,2,2,3,2,2,2,2,2,2,3,2,2,3,2,2,3,1,2,1,1,1,1,1,2,63,4,5,4,1,1,1,1,2,2,1,1,2,1,1,2,2,1,1,3,1,3,2,1,3,2,2,2,2,6,3,4,4,3,3,3,1,1,5,3,2,5,3,5,7,5,48,853
1,63,5,5,1,2,6,5,1,1,5,3,1,2,2,2,4,11,1,4,2,1,2,1,2,1,1,2,1,3,2,3,3,2,2,3,4,2,3,4,3,2,2,3,2,1,2,2,2,1,1,1,1,2,1,3,3,4,3,1,1,3,4,4,4,1,1,2,63,5,5,4,1,1,2,4,2,2,2,1,2,1,1,2,2,1,1,2,1,2,2,1,2,2,1,3,1,4,4,1,1,4,2,2,3,1,1,6,2,4,2,6,1,5,48,93
1,63,6,5,1,2,6,5,2,1,5,3,1,2,2,2,4,9,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,2,4,3,2,1,1,2,2,2,3,2,1,3,3,1,2,1,2,2,1,2,1,3,4,2,3,1,1,1,1,1,1,1,2,63,6,5,4,1,2,3,4,2,2,1,1,2,2,1,2,2,3,1,2,1,2,1,1,2,2,2,2,2,6,3,3,4,3,3,3,1,1,2,6,5,5,8,6,7,6,48,823
1,63,7,5,2,3,6,2,3,1,5,3,1,2,2,1,4,9,2,1,1,1,1,1,1,2,2,1,1,2,2,1,3,3,2,1,3,2,4,2,2,6,3,4,3,1,3,3,2,1,1,2,2,2,2,2,3,2,1,2,1,2,1,1,1,1,1,2,63,7,5,4,1,2,2,1,2,2,1,2,2,2,1,2,1,3,2,3,2,4,2,1,4,2,1,2,1,1,2,2,2,1,1,4,1,1,3,6,3,4,6,8,8,4,48,63
1,63,8,5,2,3,6,10,0,1,5,3,2,2,2,2,4,4,1,1,1,2,1,1,2,1,2,1,1,1,1,1,2,1,3,4,3,1,1,1,2,1,3,3,3,1,3,3,2,2,1,2,1,2,1,3,2,3,1,2,1,1,2,2,1,1,1,2,63,8,5,4,1,1,1,1,2,2,1,2,3,1,1,1,2,3,1,2,1,3,2,2,3,2,1,2,2,6,3,1,3,2,1,4,1,1,3,6,6,5,8,7,6,5,48,543
1,63,9,5,1,3,6,3,2,1,5,3,1,2,2,1,4,9,1,1,3,1,1,2,2,2,1,3,2,4,2,2,3,2,2,3,1,3,2,3,2,1,2,3,3,1,3,3,2,2,1,2,2,1,1,1,3,3,3,1,1,1,1,1,1,1,1,2,63,9,5,4,1,3,2,2,2,1,1,2,1,1,1,2,2,1,1,2,2,3,1,3,3,2,2,2,2,6,3,3,3,3,3,3,1,1,2,5,1,2,3,7,7,4,48,283
1,63,10,5,2,4,6,5,3,1,5,3,1,2,2,2,4,9,1,2,2,1,1,1,2,2,2,1,3,4,3,1,2,1,0,0,0,4,0,0,0,0,0,0,2,1,3,3,3,1,1,2,1,2,2,3,3,2,2,2,1,1,1,1,1,1,1,2,63,10,5,4,1,2,1,1,2,2,1,1,2,3,1,2,2,3,1,2,1,2,1,3,1,2,1,2,1,2,2,2,2,2,1,4,3,1,1,5,3,3,5,7,7,6,48,643
