CARD.,DECK.,BALLOT.,FORM.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7B.,Q.7C.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.16A.,Q.16B.,Q.17A.,Q.17B.,Q.19.,Q.20.,Q.21A.,Q.21B.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29A.,Q.0.,Q.29B.,Q.29C.,Q.29D.,Q.29E.,Q.29F.,Q.29G.,Q.30A.,Q.30B.,Q.31.,Q.32A.,Q.32B.,Q.32C.,Q.33.,Q.34.,Q.35.,Q.36A.,Q.37.,Q.38.,Q.39.,Q.41.,Q.42.,Q.42..1,Q.43A.,Q.43B.,Q.43C.,Q.44.,Q.45A.,Q.45B.,Q.46A.,Q.46B.,Q.48.,CARD..1,DECK..1,BALLOT..1,FORM..1,Q.49A.,Q.49B.,Q.49C.,Q.49D.,Q.49E.,Q.49F.,Q.49G.,Q.49H.,Q.50A.,Q.50B.,Q.50C.,Q.53A.,Q.53B.,Q.53C.,Q.54.,Q.55A.,Q.55B.,V.57.,V.58.
1,100,1,3,4,1,5,3,1,3,90,18,0,3,2,2,0,2,1,4,3,4,2,1,1,2,2,5,4,3,3,3,3,3,4,0,0,0,0,0,1,3,3,2,1,8,0,2,3,3,2,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44
1,100,2,3,4,3,4,3,1,3,70,20,2,2,2,2,1,1,2,3,2,2,2,1,1,3,1,5,3,3,3,3,1,3,2,0,3,1,3,5,5,1,1,2,1,1,3,4,1,3,2,1,2,3,1,4,8,1,5,1,4,3,2,3,2,1,2,2,100,2,3,1,2,2,1,2,2,2,2,4,3,1,1,1,1,2,1,2,5,61
1,100,3,3,4,1,4,3,2,3,40,7,2,3,2,2,2,2,2,3,1,3,1,4,1,2,2,5,3,1,3,2,3,3,5,0,2,2,5,1,1,2,2,2,1,1,1,4,2,2,2,3,3,2,1,3,8,3,2,1,3,3,2,3,2,2,1,2,100,3,3,2,2,1,1,1,1,2,3,4,1,2,3,3,3,2,2,1,5,55
1,100,4,3,5,2,4,4,1,1,75,21,2,3,1,2,1,1,2,4,1,2,1,3,8,3,2,5,6,3,3,3,1,0,5,0,5,1,4,4,1,1,1,2,1,9,3,4,3,2,1,2,2,4,1,4,1,2,3,1,1,4,1,0,2,2,1,2,100,4,3,1,3,1,1,2,1,3,2,5,2,3,1,2,2,2,1,2,3,23
1,100,5,3,5,1,4,2,1,3,72,21,4,3,1,2,2,1,2,4,3,3,3,3,8,2,2,5,0,4,3,3,3,3,2,0,2,2,2,2,2,2,1,2,1,1,1,4,3,3,2,0,2,2,1,4,10,2,3,1,1,3,1,4,2,2,1,2,100,5,3,2,3,2,1,2,3,2,1,5,4,4,3,2,3,2,0,0,4,28
1,100,6,3,6,1,3,3,1,3,50,21,4,3,2,2,1,2,3,4,2,2,2,2,1,2,2,5,3,4,3,3,1,1,2,0,5,1,1,5,1,1,2,3,1,1,1,5,3,2,2,1,2,3,1,4,10,1,4,1,2,3,1,5,1,0,2,2,100,6,3,2,2,1,1,2,3,2,3,5,2,3,1,2,0,2,1,1,7,37
1,100,7,3,5,1,3,3,1,3,70,28,2,3,2,2,1,1,2,3,1,2,1,3,8,2,1,5,6,3,3,2,3,3,5,0,1,1,1,1,1,1,2,1,1,1,2,2,3,1,2,2,3,2,1,4,1,2,3,1,2,2,2,4,2,1,3,2,100,7,3,2,3,1,1,2,1,2,2,4,2,2,1,2,2,2,1,1,9,29
1,100,8,3,5,2,4,3,1,3,74,12,2,2,1,2,1,1,4,3,1,2,1,2,0,1,2,5,3,4,3,3,1,1,0,0,0,1,5,5,1,1,2,2,3,1,5,4,1,2,2,3,1,2,1,4,5,2,4,1,2,3,1,3,1,2,3,2,100,8,3,1,2,1,1,2,2,1,1,3,2,1,3,1,0,2,0,0,9,30
1,100,9,3,5,1,3,4,1,3,110,15,4,3,2,2,2,3,2,2,2,2,2,4,1,0,2,5,3,4,3,3,1,3,0,0,1,5,2,2,1,1,0,0,1,1,3,3,2,2,0,1,2,3,2,4,1,2,3,1,2,4,3,3,2,2,2,2,100,9,3,3,2,2,1,3,2,3,3,2,2,2,3,2,2,2,1,2,9,32
1,100,10,3,6,1,3,2,1,4,70,14,4,3,1,1,1,1,4,1,1,2,1,3,0,3,1,5,3,3,3,1,1,3,2,0,2,1,1,1,1,1,2,3,1,1,5,5,1,2,2,0,3,3,1,4,8,1,4,1,1,4,1,3,2,2,2,2,100,10,3,1,3,1,1,3,1,1,3,1,1,2,2,2,0,2,1,2,9,34
1,100,11,3,4,1,3,3,1,4,999,999,1,2,2,1,2,3,2,1,1,1,1,1,8,1,2,5,6,1,3,3,3,3,6,0,2,2,2,2,2,2,2,2,3,0,3,2,3,2,1,3,3,2,1,4,1,2,3,1,1,2,1,5,2,1,1,2,100,11,3,2,2,2,1,2,2,2,2,4,2,2,1,1,1,2,1,1,7,45
1,100,12,3,4,1,3,4,1,5,60,18,1,2,2,1,1,3,2,2,2,2,2,3,8,2,2,5,3,3,3,3,1,2,2,0,3,2,3,3,1,1,3,1,1,5,3,1,1,4,2,7,3,3,2,4,1,2,3,1,1,3,1,4,1,1,1,2,100,12,3,1,3,2,2,3,2,3,1,4,3,0,1,2,2,2,1,1,12,17
1,100,13,3,4,1,4,2,1,5,60,18,1,2,3,1,2,1,3,1,1,1,1,1,8,2,2,5,3,1,2,3,1,1,3,0,1,1,1,4,1,1,1,1,3,5,4,1,2,2,1,3,3,2,1,4,9,1,4,1,1,1,1,1,2,2,0,2,100,13,3,1,2,1,2,2,1,1,1,2,2,2,1,2,1,2,2,1,12,15
1,100,14,3,5,1,3,3,1,4,40,17,1,1,2,2,1,3,2,3,2,2,2,3,8,2,0,5,3,4,3,0,1,3,5,0,1,1,1,5,1,5,1,1,1,1,2,2,2,2,0,0,1,2,1,4,1,3,2,1,3,2,1,1,2,1,3,2,100,14,3,0,0,1,1,0,2,2,2,4,2,2,1,2,1,2,0,0,2,35
1,100,15,3,5,1,4,3,1,5,54,17,1,1,2,2,1,3,2,0,3,2,2,3,1,2,0,5,6,0,3,3,1,3,5,0,1,1,0,5,1,2,1,1,0,1,2,2,2,2,0,3,3,2,1,4,1,2,3,1,3,2,1,1,2,2,3,2,100,15,3,2,0,1,1,0,2,2,2,1,2,2,1,2,1,2,0,0,2,36
1,100,16,3,5,1,4,3,1,2,60,14,1,2,1,1,1,3,2,1,1,2,1,2,1,2,1,5,0,1,3,1,3,3,2,0,1,1,1,1,1,1,3,1,1,8,5,1,1,2,1,3,1,3,2,4,1,3,3,1,1,3,2,3,2,0,1,2,100,16,3,1,3,1,1,2,1,2,2,4,2,0,0,0,0,0,0,0,3,31
