COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72,COL73,COL74,COL75,COL76,COL77,COL78,COL79,COL80,COL81,COL82,COL83,COL84,COL85,COL86,COL87,COL88,COL89,COL90,COL91,COL92,COL93,COL94,COL95,COL96,COL97,COL98,COL99,COL100,COL101,COL102,COL103,COL104,COL105,COL106,COL107
1,106,1,2,3,9,1,5,7,4,1,5,5,1,9,3,2,3,2,2,2,2,2,2,1,2,2,2,2,2,11,3,4,2,2,2,2,2,2,2,2,1,2,2,2,2,8,2,1,9,1,2,2,2,2,2,2,2,2,2,2,2,1,3,1,7,,210,6000,1,29,9,2,2,2,2,2,2,2,2,2,1,4,1,3,3,3,9,9,9,9,3,6,4,9,90,5,10,50,5,1,1,1,5,1,1,5
1,106,2,2,3,10,4,1,5,3,1,5,5,1,11,3,2,3,2,2,2,1,2,2,2,2,2,2,2,2,6,3,4,2,2,2,2,2,2,2,2,2,2,2,1,12,0,3,3,0,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,99,,210,6000,2,29,9,2,2,2,2,2,2,2,2,2,1,3,3,3,3,3,9,9,9,9,2,4,3,6,30,3,10,30,3,1,1,1,3,2,3,5
1,106,3,2,1,1,1,5,3,3,1,1,3,5,11,3,2,3,2,2,1,2,2,2,2,2,2,2,2,2,4,5,1,2,1,2,2,2,2,2,2,2,2,2,2,1,5,2,0,8,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,99,,210,6000,3,29,9,2,2,2,2,2,2,2,2,2,1,4,3,4,4,3,9,9,9,9,1,3,1,5,20,5,10,50,5,1,1,1,1,2,4,5
1,106,4,2,8,4,1,5,5,4,1,5,5,1,8,3,1,3,2,2,2,2,2,2,2,2,2,1,2,2,5,3,4,2,2,2,2,2,2,2,2,1,2,2,2,8,3,2,1,9,2,2,2,1,2,2,2,2,2,2,2,2,1,1,3,99,,210,6000,4,29,9,2,2,2,2,2,2,2,2,2,1,3,3,2,3,3,9,9,9,9,3,6,4,9,90,3,10,30,3,1,1,2,4,1,1,5
1,106,5,2,1,10,4,2,6,3,1,6,5,1,9,3,4,3,2,2,2,2,2,2,1,2,2,2,2,2,8,4,4,2,2,2,2,2,2,2,2,1,2,2,2,1,4,1,1,9,2,2,2,1,2,2,2,2,2,2,2,2,1,1,3,99,,210,6000,5,29,9,2,2,2,2,2,2,2,2,2,1,5,1,3,3,3,9,9,9,9,3,6,4,9,90,4,10,40,4,1,1,1,6,1,2,5
1,106,6,2,3,10,4,1,6,4,1,4,5,12,11,3,4,3,2,2,2,2,2,2,2,2,2,1,2,2,5,3,4,2,2,2,2,2,2,2,2,1,2,2,2,1,3,1,2,3,2,2,2,1,2,2,2,2,2,2,2,2,1,1,5,99,,210,6000,6,29,9,2,2,2,2,2,2,2,2,2,1,4,1,3,0,3,9,9,9,9,1,4,3,9,90,4,10,40,4,1,1,1,4,1,1,5
1,106,7,2,2,9,4,2,5,4,1,6,5,1,9,3,1,3,2,2,2,2,2,2,2,2,2,2,1,2,6,5,4,2,2,2,2,2,2,2,2,1,2,2,2,1,5,1,1,9,2,2,2,1,2,2,2,2,2,2,2,2,1,1,5,99,,210,6000,7,29,9,2,2,2,2,2,2,2,2,2,1,5,1,4,2,3,9,9,9,9,2,4,0,9,90,5,10,50,5,1,1,1,0,1,1,5
1,106,8,2,1,9,4,4,4,3,1,6,5,5,11,3,1,3,2,2,2,2,2,2,2,1,2,2,2,2,6,3,3,2,2,2,2,2,2,2,2,1,2,2,2,1,3,1,3,9,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,11,,210,6000,8,29,9,2,2,2,2,2,1,2,2,2,2,4,3,3,3,2,9,3,3,2,2,4,3,9,90,5,10,50,0,4,2,1,5,2,3,5
1,106,9,2,1,2,1,5,6,4,1,3,5,1,9,3,1,5,2,1,2,2,2,2,2,2,2,2,2,2,12,7,5,1,2,2,2,2,2,2,2,2,2,2,2,2,0,1,3,9,2,2,2,2,1,2,2,2,2,2,2,2,6,5,3,99,,210,6000,9,29,9,2,2,2,2,2,2,2,2,2,1,3,2,1,1,3,9,9,9,9,4,0,0,9,90,4,10,40,4,1,1,2,3,1,1,5
1,106,10,2,9,6,5,2,5,0,6,7,6,0,0,5,4,12,2,2,2,2,2,2,1,2,2,2,2,2,11,2,1,2,1,2,2,2,2,2,2,2,2,2,2,3,3,1,1,5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,,210,6001,0,20,3,2,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,3,20,6,10,60,6,1,2,4,1,1,4,2
