CARD.,DECK.,BALLOT.,FORM.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6A.,Q.6B.,Q.7.,Q.8A.,Q.8B.,Q.9.,Q.10.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17A.,Q.17B.,Q.17C.,Q.18A.,Q.18A..1,Q.18A..2,Q.18A..3,Q.18A..4,Q.18A..5,Q.18A..6,Q.18A..7,Q.18A..8,Q.18A..9,Q.18A..10,Q.18A..11,Q.18A..12,Q.18B.,Q.19.,Q.20.,Q.20..1,Q.20..2,Q.20..3,Q.20..4,Q.20..5,Q.20..6,Q.20..7,Q.20..8,Q.20..9,Q.20..10,Q.20..11,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,CARD..1,DECK..1,BALLOT..1,FORM..1,Q.38.,Q.39.,Q.40.,Q.41.,Q.42.,Q.43A.,Q.43B.,Q.44.,V.44A.,Q.45.,Q.46.,Q.47.,Q.48A.,V.50.,V.51.,V.52.,V.53.
1,106,1,6,4,5,1,2,2,5,2,6,6,5,5,5,2,10,1,3,5,12,0,0,2,2,1,2,2,2,1,2,2,2,2,2,8,9,2,2,2,2,1,2,2,2,2,2,2,2,2,3,2,4,1,3,4,2,1,1,1,3,3,3,4,1,3,2,2,106,1,6,1,2,1,1,3,1,3,0,4,3,3,1,3,2,1,11,2
1,106,2,6,2,5,2,9,9,2,3,5,6,4,5,1,5,10,1,1,5,12,0,0,2,2,1,2,2,2,2,1,2,2,2,2,4,9,3,2,2,2,2,2,2,1,2,2,2,2,2,5,3,4,1,2,4,4,2,1,2,3,3,3,5,1,3,2,2,106,2,6,2,2,1,1,9,1,9,0,4,3,3,1,3,2,1,11,2
1,106,3,6,2,4,1,3,5,4,3,6,5,5,4,5,1,10,1,3,5,12,0,0,2,2,1,2,2,2,2,2,2,2,2,2,8,9,2,2,2,2,1,2,2,2,2,2,2,2,2,4,3,4,1,3,3,3,1,1,1,4,3,3,1,1,3,2,2,106,3,6,1,2,1,1,4,1,4,0,4,3,4,1,4,2,2,11,2
1,106,4,6,3,5,2,9,9,5,3,6,5,5,5,1,5,10,1,3,3,7,5,2,2,2,1,2,2,2,1,2,2,2,2,2,8,9,1,2,2,2,1,2,2,2,2,2,2,2,2,5,3,4,1,3,4,2,1,1,1,3,3,4,5,1,3,2,2,106,4,6,2,2,1,2,1,1,1,0,4,3,3,1,3,2,1,11,2
1,106,5,6,3,5,2,9,9,4,1,5,4,5,5,1,5,10,1,3,5,12,0,0,2,2,1,2,2,2,2,2,2,2,2,2,2,8,2,2,2,2,1,2,2,2,2,2,2,2,2,4,2,4,1,3,1,2,2,2,1,3,2,2,5,1,3,2,2,106,5,6,2,2,1,2,9,1,9,9,1,1,4,1,3,2,1,11,2
1,106,6,6,3,5,1,2,2,4,2,6,4,1,5,5,1,10,1,1,3,10,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,1,2,1,2,2,2,2,2,2,2,2,2,2,2,0,2,0,0,3,4,4,2,1,1,3,1,3,1,1,1,2,2,106,6,6,1,2,3,3,9,1,9,9,1,1,2,1,3,2,1,11,2
1,106,7,6,2,4,1,2,3,1,3,3,5,5,4,1,5,10,1,3,3,10,2,2,2,2,1,2,2,2,1,2,2,2,2,2,8,9,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,3,5,3,4,4,2,2,2,3,2,3,5,1,3,2,2,106,7,6,2,2,1,2,4,1,4,0,4,3,2,1,2,2,1,11,2
1,106,8,6,2,4,2,9,9,1,3,3,6,5,4,1,5,10,1,3,3,10,2,2,2,2,1,2,2,2,2,2,2,2,2,2,8,9,3,2,2,2,2,2,2,1,2,2,2,2,2,3,3,2,3,2,2,4,2,2,2,3,3,3,5,1,3,2,2,106,8,6,3,2,3,2,6,1,6,6,1,1,1,1,3,2,1,11,2
1,106,9,6,3,5,1,2,2,2,2,6,6,5,5,1,5,10,1,3,5,12,0,0,2,2,1,2,2,2,2,2,2,2,2,2,8,9,3,2,2,2,2,2,2,1,2,2,2,2,2,3,3,4,1,3,4,4,2,2,1,3,2,3,5,1,1,2,2,106,9,6,2,2,1,2,1,1,1,0,4,3,4,1,3,2,1,11,2
1,106,10,6,2,2,1,2,1,1,3,2,5,5,5,1,5,10,1,3,5,12,0,0,1,2,2,2,2,2,2,2,2,2,2,2,7,0,1,2,2,2,2,2,2,1,2,2,2,2,2,4,2,4,1,2,1,1,2,1,2,3,2,2,5,1,3,2,2,106,10,6,1,2,1,1,8,1,8,8,1,1,2,2,2,2,1,11,2
