CARD.,DECK.,BALLOT.,FORM.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6A.,Q.6B.,Q.7.,Q.8A.,Q.8B.,Q.9.,Q.10.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17A.,Q.17B.,Q.17C.,Q.18A.,Q.18A..1,Q.18A..2,Q.18A..3,Q.18A..4,Q.18A..5,Q.18A..6,Q.18A..7,Q.18A..8,Q.18A..9,Q.18A..10,Q.18A..11,Q.18A..12,Q.18B.,Q.19.,Q.20.,Q.20..1,Q.20..2,Q.20..3,Q.20..4,Q.20..5,Q.20..6,Q.20..7,Q.20..8,Q.20..9,Q.20..10,Q.20..11,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,CARD..1,DECK..1,BALLOT..1,Q.38.,Q.39.,Q.40.,Q.41.,Q.42.,Q.43A.,Q.43B.,Q.44.,V.44A.,Q.45.,Q.46.,Q.47.,Q.48A.,V.50.,V.51.,V.52.,V.53.
1,106,1,4,4,5,2,9,9,3,2,9,5,5,7,5,2,5,6,1,4,1,7,1,1,2,2,2,2,2,2,2,2,2,2,2,8,0,2,1,2,2,2,2,2,2,2,2,2,2,2,5,3,4,1,3,2,2,4,4,2,3,3,3,3,2,2,9,2,106,1,4,9,9,9,90,2,10,20,2,1,1,4,1,1,5,12,8
1,106,2,4,3,6,2,9,9,3,2,9,6,5,6,5,1,1,4,4,3,7,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,4,3,4,1,1,3,3,2,4,3,3,3,3,2,2,2,9,2,106,2,4,9,9,9,90,6,10,60,6,1,1,1,1,1,4,22,8
1,106,3,4,3,4,2,9,9,3,2,9,6,5,4,4,2,11,6,1,3,10,6,5,2,2,2,2,2,2,2,2,1,2,2,2,2,8,2,2,2,2,1,2,2,2,2,2,2,2,2,3,3,4,1,1,3,3,1,1,1,3,2,1,2,1,3,9,2,106,3,4,9,9,9,90,9,10,90,9,1,1,2,1,3,2,11,9
1,106,4,4,1,1,2,9,9,3,2,9,4,5,3,4,1,10,2,4,4,9,10,5,2,2,2,2,2,2,2,2,1,2,2,2,1,5,1,1,2,2,2,2,2,2,2,2,2,2,2,5,3,4,1,1,3,3,4,4,2,3,3,3,3,2,2,4,2,106,4,4,3,3,2,30,9,10,90,9,1,1,1,1,1,5,12,1
1,106,5,4,3,2,2,9,9,3,2,9,4,5,7,4,2,5,6,1,5,12,0,0,2,2,2,2,2,2,2,2,1,2,2,2,11,3,1,1,2,2,2,2,2,2,2,2,2,2,2,5,3,4,5,1,3,3,4,4,2,3,3,3,3,2,2,9,2,106,5,4,9,9,9,90,3,20,40,4,2,2,1,1,1,5,12,2
1,106,6,4,4,6,2,9,9,2,1,9,5,5,4,4,1,2,8,4,1,10,2,3,2,2,2,1,2,2,2,2,2,2,2,2,3,8,2,1,2,2,2,2,2,2,2,2,2,2,2,4,3,4,1,3,2,2,1,1,1,3,1,2,1,1,1,9,2,106,6,4,9,9,9,90,4,10,40,4,1,2,2,2,1,2,22,7
1,106,7,4,2,5,2,9,9,3,2,9,4,5,5,5,1,4,4,4,3,6,4,2,2,2,2,2,2,2,2,2,2,2,1,2,3,8,1,1,2,2,2,2,2,2,2,2,2,2,2,5,3,4,1,2,1,1,4,4,2,3,3,3,3,2,2,9,2,106,7,4,9,9,9,90,8,10,80,8,1,1,1,1,1,5,12,7
1,106,8,4,3,6,2,9,9,3,2,8,4,4,6,1,5,10,4,4,5,12,0,0,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,4,1,3,4,3,4,3,1,2,1,3,3,1,5,1,3,9,2,106,8,4,9,9,9,90,7,10,70,0,4,3,3,1,3,2,21,0
1,106,9,4,3,6,2,9,9,3,2,8,6,5,6,1,5,4,4,2,5,12,0,0,2,2,2,2,2,2,2,2,1,2,2,2,2,7,1,1,2,2,2,2,2,2,2,2,2,2,2,4,3,4,1,1,3,3,2,2,2,3,3,2,5,2,2,9,2,106,9,4,9,9,9,90,9,10,90,9,1,1,1,1,1,3,20,3
1,106,10,4,2,5,2,9,9,3,2,9,6,1,6,1,5,1,4,4,3,5,6,3,2,2,2,2,2,2,2,2,1,2,2,2,2,8,3,2,2,2,1,2,2,2,2,2,2,2,2,4,3,4,1,3,2,3,2,2,2,3,3,3,5,1,2,9,2,106,10,4,9,9,9,91,1,20,20,2,2,2,2,2,2,3,10,7
1,106,11,4,4,6,2,9,9,3,2,11,6,5,4,5,2,4,7,4,10,3,0,0,2,2,2,2,2,1,2,2,2,2,2,2,1,0,3,2,2,2,2,2,1,2,2,2,2,2,2,4,2,3,5,1,3,3,1,1,1,3,1,2,1,1,1,9,2,106,11,4,9,9,9,90,3,10,30,9,3,1,3,3,3,1,20,9
1,106,12,4,4,6,2,9,9,3,2,11,6,3,2,4,1,3,7,1,10,3,0,0,2,2,2,2,2,1,2,2,2,2,2,2,1,0,1,2,2,2,2,2,1,2,2,2,2,2,2,3,1,4,1,1,3,3,1,1,1,3,1,2,1,1,1,9,2,106,12,4,9,9,9,10,7,10,70,7,1,1,1,1,1,1,21,9
1,106,13,4,3,5,2,9,9,3,2,11,4,1,5,1,5,10,4,4,3,10,4,5,1,2,2,2,2,2,2,2,2,2,2,2,2,0,1,2,2,2,2,1,2,2,2,2,2,2,2,3,3,4,1,2,2,1,2,2,2,3,3,1,5,2,2,9,2,106,13,4,9,9,9,90,2,10,20,2,1,1,1,1,1,3,11,0
1,106,14,4,4,7,2,4,9,3,2,11,5,5,5,4,3,10,6,4,4,9,0,6,2,2,2,2,2,2,2,2,1,2,2,2,1,6,1,1,2,2,2,2,2,2,2,2,2,2,2,5,3,4,1,1,3,3,2,3,2,3,3,3,2,2,2,9,2,106,14,4,9,9,9,90,3,10,30,3,1,1,1,1,1,4,21,0
1,106,15,4,3,5,2,9,9,3,2,10,4,5,7,5,1,10,4,4,4,9,5,4,2,2,2,2,2,2,2,2,1,2,2,2,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,5,3,4,4,1,3,3,3,2,3,3,4,2,4,2,2,9,2,106,15,4,9,9,9,90,2,10,20,2,1,2,1,2,1,3,11,0
1,106,16,4,3,5,2,9,9,2,2,10,5,5,5,4,2,10,6,1,4,8,7,5,2,2,2,2,2,2,2,2,1,2,2,2,1,5,1,1,2,2,2,2,2,2,2,2,2,2,2,5,3,4,4,1,4,3,4,4,2,3,3,3,2,2,2,2,2,106,16,4,2,3,2,30,9,10,90,9,1,1,1,1,1,5,12,1
1,106,17,4,4,6,2,9,9,3,2,11,6,5,4,4,3,10,6,1,4,11,8,6,2,2,2,2,2,2,2,2,1,2,2,2,1,6,1,1,2,2,2,2,2,2,2,2,2,2,2,4,3,4,1,1,3,3,3,3,2,3,3,3,3,2,2,9,2,106,17,4,9,9,9,90,7,10,70,7,1,1,1,1,1,4,21,0
1,106,18,4,4,6,2,9,9,3,2,11,6,5,5,4,2,10,6,1,4,8,9,5,2,2,2,2,2,2,2,2,1,2,2,2,1,5,3,1,2,2,2,2,2,2,2,2,2,2,2,4,3,4,3,3,3,2,2,2,2,3,3,2,2,1,2,9,2,106,18,4,9,9,9,90,3,10,30,3,1,2,1,1,1,3,22,0
1,106,19,4,3,5,2,9,9,3,2,11,6,5,4,5,3,17,6,4,4,11,6,5,2,2,2,2,2,2,2,2,1,2,2,2,1,5,1,1,2,2,2,2,2,2,2,2,2,2,2,4,3,4,1,1,3,3,3,4,2,3,3,3,3,2,2,9,2,106,19,4,9,9,9,90,5,10,50,5,1,1,1,1,1,4,12,3
1,106,20,4,4,6,2,9,9,0,0,11,6,5,5,4,3,10,6,4,4,8,0,6,2,2,2,2,2,2,2,2,1,2,2,2,1,6,2,1,2,2,2,2,2,2,2,2,2,2,2,5,3,4,2,1,3,3,4,4,2,3,3,3,3,2,2,9,2,106,20,4,9,9,9,90,7,10,70,7,1,1,1,1,3,5,21,0
1,106,21,4,4,6,2,9,9,3,2,11,5,4,6,4,3,3,6,1,4,8,5,6,2,2,2,2,2,2,2,2,1,2,2,2,1,6,1,1,2,2,2,2,2,2,2,2,2,2,2,5,3,4,1,1,3,3,4,4,2,3,3,3,3,2,2,9,2,106,21,4,9,9,9,90,3,10,30,3,1,1,1,1,1,5,21,0
1,106,22,4,4,5,2,9,9,3,2,11,6,5,5,4,1,10,6,1,4,8,10,6,2,2,2,2,2,2,2,2,1,2,2,2,1,6,2,1,2,2,2,2,2,2,2,2,2,2,2,5,3,3,3,1,3,3,4,4,2,3,3,3,3,2,2,9,2,106,22,4,9,9,9,90,4,10,40,4,1,1,2,1,2,5,12,0
1,106,23,4,3,5,2,9,9,3,2,11,6,5,5,4,3,10,6,4,4,8,11,5,2,2,2,2,2,2,2,2,1,2,2,2,1,5,1,1,2,2,2,2,2,2,2,2,2,2,2,5,3,4,1,1,3,3,3,4,2,3,3,3,3,2,2,9,2,106,23,4,9,3,2,30,2,20,60,0,4,3,3,1,1,4,11,6
