,CARD,DECK,BALLOT,S112.Q1,S112.Q2,S112.Q3,S112.Q4,S112.Q5,S112.Q6,S112.Q7,S112.Q8,S112.Q9,S112.Q10,S112.Q11,S112.Q12,S112.Q13,S112.Q14,S112.Q15,S112.Q16,S112.Q17,S112.Q18,S112.Q19,S112.Q20,S112.Q21,S112.Q22,S112.Q23,S112.Q24,S112.Q25,S112.Q26,S112.Q27,S112.Q28,S112.Q29,S112.Q30,S112.Q31,S112.Q32,S112.Q33,S112.Q34,S112.Q35,S112.Q36,S112.Q37,S112.Q38,S112.Q39,S112.Q40,S112.Q41,S112.Q42,S112.Q43,S112.Q44,S112.Q45,S112.Q46A,S112.Q46B.n,S112.Q47,S112.Q48,S112.Q49,S112.Q50,S112.Q51,S112.Q52,S112.Q53,S112.Q54,S112.Q55,S112.Q56,S112.Q57,S112.Q58,S112.Q59,S112.Q60,S112.Q61,S112.Q62,S112.Q63,S112.Q64,S112.Q65,S112.Q66,S112.Q67.n,S112.Q68,S112.Q69,S112.Q70,S112.Q71,S112.Q72,CARD..1,DECK..1,BALLOT..1,S112.Q73,S112.Q74,S112.Q75,S112.Q76,S112.Q77,S112.Q78,S112.V79,S112.V80
0,1.0,112.0,1.0,1.0,2.0,1.0,4.0,5.0,2.0,3.0,4.0,4.0,3.0,4.0,3.0,5.0,5.0,1.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,1.0,4.0,3.0,2.0,2.0,4.0,0.0,1.0,2.0,3.0,5.0,4.0,3.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,1.0,2.0,2.0,5.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,5.0,4.0,1.0,1.0,3.0,1.0,4.0,3.0,,1.0,4.0,1.0,1.0,3.0,2.0,112.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,11.0,3.0
1,1.0,112.0,2.0,1.0,2.0,1.0,4.0,5.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,,2.0,2.0,3.0,4.0,2.0,5.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,2.0,3.0,2.0,3.0,2.0,,2.0,2.0,2.0,1.0,2.0,2.0,112.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,23.0,34.0
2,1.0,112.0,3.0,1.0,1.0,1.0,4.0,5.0,2.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,1.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,4.0,4.0,2.0,1.0,1.0,0.0,0.0,,2.0,2.0,3.0,4.0,3.0,3.0,4.0,2.0,2.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,,2.0,2.0,2.0,0.0,2.0,2.0,112.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,32.0,44.0
3,1.0,112.0,4.0,1.0,1.0,1.0,4.0,5.0,2.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,3.0,1.0,1.0,4.0,2.0,3.0,5.0,4.0,1.0,3.0,4.0,3.0,2.0,1.0,3.0,4.0,2.0,3.0,3.0,5.0,4.0,3.0,2.0,1.0,3.0,4.0,4.0,6.0,3.0,3.0,2.0,1.0,2.0,,2.0,3.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,1.0,3.0,4.0,,2.0,2.0,3.0,0.0,3.0,2.0,112.0,4.0,3.0,2.0,3.0,3.0,1.0,2.0,21.0,74.0
4,1.0,112.0,5.0,1.0,2.0,1.0,4.0,5.0,5.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,5.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,,3.0,3.0,2.0,3.0,2.0,2.0,112.0,5.0,2.0,2.0,2.0,2.0,1.0,2.0,13.0,33.0
5,1.0,112.0,6.0,1.0,2.0,1.0,4.0,5.0,2.0,3.0,4.0,4.0,1.0,2.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,5.0,4.0,0.0,3.0,2.0,5.0,3.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,,3.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,4.0,,1.0,2.0,3.0,0.0,3.0,2.0,112.0,6.0,3.0,3.0,3.0,3.0,2.0,3.0,83.0,15.0
6,1.0,112.0,7.0,1.0,1.0,3.0,4.0,5.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,1.0,3.0,4.0,2.0,2.0,2.0,4.0,3.0,2.0,4.0,3.0,2.0,1.0,2.0,4.0,2.0,2.0,3.0,5.0,4.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,2.0,1.0,1.0,1.0,2.0,,2.0,1.0,3.0,3.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,,1.0,1.0,2.0,0.0,2.0,2.0,112.0,7.0,2.0,3.0,2.0,3.0,3.0,3.0,61.0,62.0
7,1.0,112.0,8.0,1.0,2.0,1.0,4.0,5.0,2.0,3.0,5.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,2.0,1.0,5.0,4.0,4.0,,2.0,2.0,2.0,2.0,2.0,2.0,112.0,8.0,3.0,1.0,2.0,3.0,2.0,3.0,52.0,76.0
8,1.0,112.0,9.0,1.0,3.0,1.0,4.0,5.0,2.0,3.0,4.0,3.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,,2.0,3.0,3.0,2.0,2.0,2.0,112.0,9.0,2.0,2.0,2.0,3.0,1.0,3.0,31.0,7.0
9,1.0,112.0,10.0,1.0,2.0,1.0,4.0,5.0,2.0,3.0,4.0,0.0,3.0,3.0,4.0,3.0,5.0,1.0,3.0,3.0,3.0,1.0,2.0,1.0,4.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,3.0,4.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,4.0,2.0,3.0,4.0,2.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,,2.0,1.0,3.0,2.0,3.0,2.0,112.0,10.0,3.0,3.0,3.0,2.0,3.0,3.0,12.0,40.0
10,1.0,112.0,11.0,1.0,2.0,1.0,4.0,5.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,6.0,4.0,2.0,3.0,3.0,2.0,2.0,4.0,4.0,2.0,3.0,3.0,5.0,3.0,4.0,6.0,5.0,1.0,1.0,2.0,4.0,,3.0,2.0,6.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,5.0,3.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,4.0,,3.0,2.0,4.0,2.0,2.0,2.0,112.0,11.0,1.0,2.0,2.0,3.0,3.0,2.0,93.0,38.0
11,1.0,112.0,12.0,1.0,2.0,1.0,4.0,5.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,5.0,1.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,1.0,4.0,2.0,1.0,3.0,2.0,4.0,1.0,2.0,3.0,5.0,4.0,2.0,3.0,2.0,4.0,4.0,3.0,4.0,2.0,1.0,1.0,2.0,2.0,,2.0,2.0,2.0,4.0,2.0,5.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,1.0,3.0,3.0,3.0,2.0,,2.0,1.0,3.0,2.0,2.0,2.0,112.0,12.0,1.0,3.0,3.0,2.0,1.0,1.0,23.0,15.0
12,1.0,112.0,13.0,1.0,1.0,1.0,4.0,5.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,5.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,3.0,4.0,2.0,3.0,2.0,5.0,3.0,2.0,3.0,3.0,2.0,4.0,4.0,2.0,1.0,2.0,1.0,2.0,1.0,,2.0,2.0,2.0,5.0,5.0,5.0,4.0,3.0,2.0,4.0,5.0,3.0,4.0,3.0,2.0,1.0,5.0,1.0,3.0,3.0,,2.0,1.0,3.0,0.0,3.0,2.0,112.0,13.0,2.0,3.0,2.0,3.0,3.0,3.0,51.0,28.0
13,1.0,112.0,14.0,1.0,1.0,1.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,5.0,1.0,3.0,4.0,4.0,2.0,4.0,4.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,3.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,,2.0,2.0,3.0,5.0,4.0,5.0,1.0,2.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,,1.0,1.0,2.0,2.0,1.0,2.0,112.0,14.0,3.0,2.0,2.0,2.0,1.0,1.0,42.0,21.0
14,1.0,112.0,15.0,1.0,2.0,1.0,4.0,5.0,2.0,4.0,4.0,3.0,4.0,2.0,3.0,4.0,5.0,1.0,2.0,4.0,2.0,2.0,3.0,3.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,,3.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,1.0,3.0,3.0,4.0,4.0,,2.0,2.0,3.0,1.0,3.0,2.0,112.0,15.0,3.0,3.0,3.0,2.0,3.0,3.0,23.0,19.0
15,1.0,112.0,16.0,1.0,2.0,1.0,4.0,5.0,1.0,3.0,4.0,4.0,2.0,4.0,2.0,3.0,4.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,1.0,3.0,5.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,5.0,2.0,1.0,2.0,2.0,,2.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,4.0,4.0,2.0,3.0,1.0,3.0,3.0,4.0,4.0,,1.0,2.0,2.0,3.0,3.0,2.0,112.0,16.0,3.0,3.0,2.0,1.0,1.0,2.0,23.0,43.0
16,1.0,112.0,17.0,1.0,3.0,1.0,4.0,5.0,2.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,4.0,1.0,2.0,3.0,2.0,1.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,5.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,,3.0,3.0,4.0,4.0,3.0,5.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,3.0,2.0,1.0,3.0,5.0,4.0,3.0,,2.0,2.0,2.0,0.0,2.0,2.0,112.0,17.0,3.0,3.0,3.0,3.0,3.0,3.0,33.0,3.0
17,1.0,112.0,18.0,1.0,1.0,1.0,4.0,5.0,2.0,2.0,5.0,3.0,2.0,2.0,3.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,,1.0,1.0,3.0,0.0,1.0,2.0,112.0,18.0,1.0,2.0,1.0,3.0,3.0,2.0,43.0,12.0
18,1.0,112.0,19.0,1.0,2.0,1.0,4.0,5.0,2.0,3.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0,1.0,3.0,4.0,4.0,5.0,4.0,4.0,3.0,1.0,1.0,3.0,3.0,2.0,3.0,4.0,2.0,2.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,7.0,2.0,1.0,1.0,1.0,1.0,,2.0,2.0,4.0,5.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,3.0,0.0,4.0,4.0,,1.0,3.0,2.0,0.0,3.0,2.0,112.0,19.0,3.0,3.0,3.0,3.0,3.0,3.0,21.0,42.0
19,1.0,112.0,20.0,1.0,2.0,1.0,4.0,5.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,1.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,1.0,1.0,3.0,2.0,1.0,3.0,4.0,2.0,2.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,6.0,5.0,3.0,2.0,2.0,1.0,,3.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,,3.0,3.0,1.0,0.0,2.0,2.0,112.0,20.0,2.0,3.0,3.0,3.0,3.0,3.0,12.0,48.0
20,1.0,112.0,21.0,1.0,3.0,1.0,4.0,5.0,2.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,,3.0,3.0,5.0,5.0,5.0,5.0,1.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,1.0,1.0,3.0,4.0,4.0,,1.0,1.0,3.0,2.0,3.0,2.0,112.0,21.0,3.0,3.0,3.0,3.0,1.0,3.0,34.0,54.0
