CARD.,DECK.,BALLOT.,,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,V.12A.,Q.13.,Q.14.,Q.15.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.41.,Q.44.,Q.45.,Q.46.,Q.47A.,Q.47B.,Q.48.,Q.49.,Q.50.,Q.51.,Q.52.,Q.53.,Q.54.,Q.55.,Q.56.,Q.57.,Q.58.,Q.59.,Q.60.,Q.61A.,Q.61B.,Q.62.,Q.63.,Q.65.,Q.66A.,CARD..1,DECK..1,BALLOT..1,NA.1,Q.66B.,Q.66B..1,Q.66B..2,Q.66B..3,Q.67.,Q.68.,Q.69.,Q.70.,Q.71A.,Q.71B.,Q.72.,Q.73.,Q.74A.,Q.74B.,Q.74C.,Q.76.,Q.77A.,Q.77B.,Q.77C.,Q.78.,Q.81.,Q.82.,Q.83.,Q.84A.,Q.85A.,Q.85B.,V.87.,V.88.,V.89.,V.90.
1,115,1,2,3,5,7,6,2,2,8,8,2,3,11,1,3,6,2,2,2,2,3,3,2,3,2,2,3,3,1,4,5,2,2,3,3,2,2,5,3,1,1,4,5,4,1,1,1,4,4,4,4,2,4,4,1,1,1,1,2,1,2,1,2,2,2,2,115,1,2,0,0,0,0,2,1,3,4,2,2,7,3,2,3,1,3,1,1,1,1,3,1,3,3,3,3,1,28,39,1
1,115,2,2,3,7,7,9,3,2,5,5,1,7,25,1,3,9,8,1,2,3,2,2,2,3,3,2,3,1,4,3,4,1,2,4,2,2,3,5,4,1,2,3,3,2,2,1,1,2,4,3,3,3,3,3,2,2,3,2,1,6,0,4,2,2,2,2,115,2,2,0,0,0,0,3,2,1,4,1,1,1,3,2,3,3,2,1,1,1,1,1,1,3,3,2,1,1,21,23,2
1,115,3,2,3,9,8,2,4,1,6,4,1,6,21,2,4,5,3,1,3,1,3,3,3,4,2,2,3,3,1,4,5,1,2,4,2,1,2,5,3,2,2,4,4,3,1,3,1,3,3,3,3,3,4,3,3,2,1,1,3,1,2,5,4,3,2,2,115,3,2,0,0,0,0,1,2,1,4,1,2,2,3,2,3,2,2,1,1,1,1,3,4,2,3,2,1,1,30,10,2
1,115,4,2,4,8,8,2,5,1,8,8,2,5,18,2,4,2,5,1,1,3,1,2,2,2,2,1,2,2,4,4,3,1,2,2,3,2,3,3,3,2,1,4,2,4,1,3,2,3,4,2,4,2,4,1,2,1,3,1,3,1,6,5,2,2,2,2,115,4,2,0,0,0,0,2,2,1,4,1,1,7,3,3,3,3,2,1,1,1,2,2,4,2,1,3,1,1,4,12,1
1,115,5,2,2,10,8,4,3,1,8,6,2,4,3,1,4,1,3,1,1,3,2,2,3,3,2,2,1,2,1,0,6,9,2,4,2,2,2,5,4,2,2,2,3,0,2,3,1,4,4,4,4,3,3,4,4,3,3,5,3,1,2,1,4,3,2,2,115,5,2,0,0,0,0,2,2,1,4,2,2,2,3,3,3,3,2,1,1,1,1,3,3,3,3,3,3,1,18,86,1
1,115,6,2,3,10,8,2,5,1,7,7,4,5,5,2,4,5,6,2,2,3,2,2,2,2,2,2,3,1,1,4,2,1,1,3,2,1,3,5,4,1,2,1,4,3,1,3,3,1,2,2,2,1,3,4,1,2,4,4,4,1,1,2,1,2,2,2,115,6,2,0,0,0,0,3,2,1,4,1,2,4,3,1,2,1,2,1,1,1,1,3,3,3,1,2,1,1,10,85,4
1,115,7,2,3,9,8,3,5,2,8,8,2,2,7,2,4,5,3,1,1,3,3,2,2,3,1,2,2,1,1,4,2,9,2,2,2,1,3,2,4,4,1,2,3,2,1,3,1,3,4,4,4,2,4,2,2,3,3,5,1,1,1,3,4,1,2,2,115,7,2,0,0,0,0,3,2,1,2,2,2,7,3,1,2,3,4,1,1,1,1,3,3,2,1,3,3,1,38,7,1
1,115,8,2,5,10,8,6,3,2,6,8,2,5,13,2,4,11,6,2,1,1,1,2,2,2,3,1,1,3,1,3,3,10,2,1,2,1,3,3,1,2,1,3,3,2,2,1,3,4,2,3,4,2,1,3,1,1,3,2,1,2,6,2,4,1,2,2,115,8,2,0,0,0,0,2,4,1,4,1,2,1,3,2,3,1,2,1,1,1,2,3,2,2,1,2,2,1,18,66,2
1,115,9,2,3,7,8,3,5,1,6,0,1,6,20,2,4,2,3,1,2,1,2,2,3,3,3,3,2,1,1,4,2,1,1,3,2,2,3,3,4,5,1,3,4,2,2,2,1,4,4,4,4,3,2,2,1,2,4,1,1,1,2,5,2,1,2,2,115,9,2,0,0,0,0,2,2,1,4,1,2,6,3,2,3,3,2,1,1,1,1,3,2,1,1,2,3,1,28,34,2
1,115,10,2,2,5,8,5,3,1,7,0,2,5,17,2,4,5,6,2,2,3,3,1,1,5,3,3,1,2,1,4,2,2,2,2,3,2,3,5,4,2,3,2,4,2,2,1,2,4,4,4,4,4,1,3,3,2,3,1,3,1,2,4,2,3,1,2,115,10,2,2,2,1,1,0,0,0,0,1,2,8,3,1,2,3,2,2,2,2,2,2,4,2,2,3,1,1,10,27,4
