CARD.,DECK.,BALLOT.,,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27A.,Q.27B.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51.,Q.52.,Q.53.,Q.54.,Q.54..1,Q.54..2,Q.54..3,Q.54..4,Q.54..5,Q.54..6,Q.54..7,Q.54..8,Q.54..9,Q.54..10,Q.54..11,CARD..1,DECK..1,BALLOT..1,NA.1,X.,X..1,X..2,X..3,Q.55.,Q.56.,Q.57.,Q.60.,Q.61.,Q.62.,Q.63.,Q.64.,Q.65A.,Q.66.,Q.67.,Q.68.,Q.69.,Q.70.,Q.71.,Q.72.,Q.73.,Q.74.,Q.75.,Q.76.,Q.77.,Q.78A.,Q.78B.,Q.78C.,V.82.,V.83.,V.84.
1,115,1,3,2,5,2,2,1,4,4,0,8,12,1,2,1,1,1,1,2,2,1,4,3,4,3,1,1,1,1,5,1,4,3,4,3,2,2,1,3,2,2,3,4,2,2,3,2,1,2,2,1,2,1,1,1,1,2,2,1,1,1,2,1,2,2,2,2,2,115,1,3,1,2,2,2,1,1,1,5,4,3,3,1,1,2,1,4,5,5,4,5,4,2,4,3,1,2,2,2,1,3,83
1,115,2,3,1,1,2,1,1,4,7,5,1,1,1,1,1,1,1,1,2,1,1,2,3,2,1,1,2,1,1,5,4,1,1,1,2,3,2,2,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,115,2,3,2,2,2,2,1,2,2,2,1,2,2,1,1,1,4,4,4,2,1,4,5,1,4,3,1,1,1,1,1,8,76
1,115,3,3,1,9,2,1,1,2,2,3,1,1,1,1,2,3,1,2,2,5,2,4,3,3,2,2,3,2,1,4,1,1,3,4,3,6,4,2,3,2,2,4,4,4,2,4,1,1,3,2,1,1,1,2,2,2,1,1,2,2,1,1,2,1,2,2,1,2,115,3,3,1,2,2,2,3,1,4,5,1,3,3,1,1,1,1,1,5,5,4,4,5,1,5,2,1,1,1,1,1,7,27
1,115,4,3,1,7,3,3,1,4,10,4,8,12,1,1,2,1,1,2,2,3,2,3,3,4,2,1,1,1,1,4,4,1,3,2,1,5,3,1,3,4,2,1,1,5,1,2,2,1,1,1,1,1,1,2,2,1,1,2,1,1,2,1,1,2,1,2,2,2,115,4,3,2,2,2,2,2,1,1,5,2,3,2,1,1,1,1,2,3,5,4,4,3,1,4,1,1,1,1,1,1,3,95
1,115,5,3,1,3,3,2,1,4,3,4,9,12,1,1,2,1,2,2,2,3,2,4,3,4,2,3,1,1,1,4,1,1,2,2,1,5,1,3,3,4,2,5,5,4,4,4,2,2,1,3,3,2,1,2,3,2,1,2,2,2,2,2,2,2,2,1,2,2,115,5,3,2,2,2,2,2,1,4,1,2,3,2,1,1,1,4,4,5,5,4,4,4,1,3,3,1,2,2,2,1,3,36
1,115,6,3,1,2,3,1,1,9,8,5,1,2,1,2,1,1,1,1,2,1,1,3,3,4,1,1,1,1,3,3,1,1,3,2,1,3,3,4,3,2,4,1,4,2,1,1,1,1,3,2,1,2,1,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,115,6,3,2,2,2,2,3,3,3,1,1,3,3,1,1,1,2,4,3,5,4,5,3,1,3,2,1,1,1,1,1,7,24
1,115,7,3,1,9,3,3,1,4,3,3,3,1,1,1,2,1,2,3,2,1,2,4,3,2,2,2,4,2,1,3,1,1,2,2,2,2,2,1,3,2,2,3,5,1,1,2,2,1,1,3,1,1,1,3,1,2,1,1,2,2,1,2,2,2,2,2,2,2,115,7,3,2,2,2,2,3,3,1,5,2,3,3,1,1,1,4,4,3,5,4,4,3,1,3,2,1,2,2,2,1,8,178
1,115,8,3,1,5,3,2,1,4,3,5,5,12,1,1,1,1,3,3,2,3,2,4,2,3,2,4,5,2,1,4,1,1,1,4,2,5,1,2,3,4,3,2,5,4,4,4,2,2,1,3,3,2,2,2,3,2,2,2,1,2,2,2,1,2,2,1,2,2,115,8,3,2,2,2,2,2,2,2,3,3,3,3,1,1,1,1,2,5,5,4,4,5,2,2,3,1,1,1,1,1,3,66
1,115,9,3,2,9,4,3,1,1,8,5,3,13,1,6,1,2,2,2,2,2,2,4,3,4,2,1,1,1,3,5,1,1,2,1,2,8,3,1,3,3,2,2,4,4,4,4,2,2,2,3,3,2,1,1,3,2,2,1,2,2,2,2,2,1,2,2,2,2,115,9,3,2,2,2,2,4,2,2,5,4,3,3,2,1,1,1,2,5,5,4,4,6,1,3,3,1,1,1,1,1,8,113
1,115,10,3,1,3,5,4,1,4,1,5,4,12,2,2,1,1,2,2,2,3,2,2,3,4,2,1,2,1,1,2,1,3,3,4,2,3,4,3,3,4,3,4,4,2,2,3,2,2,2,3,3,1,1,2,3,1,1,2,1,2,2,2,2,2,2,2,2,2,115,10,3,2,1,2,2,3,1,2,3,2,3,2,1,1,1,1,2,5,5,4,4,10,2,4,1,1,2,2,2,1,3,87
1,115,11,3,1,2,5,3,1,7,5,3,1,4,2,3,3,2,1,3,2,3,3,4,2,4,3,4,5,2,1,5,1,5,5,3,2,4,4,5,3,3,3,5,1,5,5,5,2,1,3,4,1,1,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,115,11,3,2,2,2,2,3,1,1,5,0,3,2,1,3,1,1,1,5,5,4,4,5,2,3,2,1,1,2,2,1,8,97
1,115,12,3,1,4,4,3,1,4,8,5,5,12,2,1,1,1,1,1,2,1,1,4,4,4,1,1,1,1,1,5,4,1,2,2,1,3,2,2,3,1,2,1,1,1,1,1,1,1,1,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,115,12,3,2,2,1,2,2,1,1,5,1,1,2,1,1,1,5,5,0,5,4,0,1,1,3,1,1,1,1,1,1,3,42
1,115,13,3,1,3,4,1,1,7,7,3,1,3,2,1,1,1,1,2,2,3,1,4,3,1,1,1,2,1,1,5,1,1,2,4,2,3,3,1,3,2,2,2,2,3,1,4,2,1,3,2,1,1,2,4,1,1,1,2,2,2,1,1,2,1,2,1,1,2,115,13,3,2,1,2,2,2,3,1,2,1,3,1,1,1,2,2,5,2,3,1,5,5,2,3,2,1,1,2,1,1,1,4
1,115,14,3,1,6,4,4,1,4,7,5,5,12,2,1,1,1,2,1,2,4,2,4,3,4,2,2,3,2,2,5,1,1,1,2,2,3,4,1,3,4,3,5,1,4,4,4,2,1,1,3,2,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,115,14,3,1,2,2,2,2,2,2,5,1,1,2,1,1,1,1,2,5,5,4,4,5,1,2,3,1,1,2,2,1,3,78
1,115,15,3,1,1,5,4,1,4,5,3,1,1,1,1,1,1,2,2,2,4,2,4,2,3,3,1,5,1,1,4,1,3,2,3,2,3,4,2,3,3,3,2,5,4,4,4,2,2,1,2,2,2,2,4,2,1,2,2,1,2,2,2,2,2,2,2,2,2,115,15,3,2,2,2,2,3,2,3,1,1,3,2,1,1,1,1,1,5,5,4,1,10,2,5,2,1,1,2,2,1,14,8
1,115,16,3,1,9,5,3,2,4,7,3,1,1,1,1,1,1,2,2,2,3,2,4,3,3,2,4,5,1,1,4,4,5,2,4,3,11,2,1,3,3,3,3,1,4,2,1,2,2,1,2,1,2,1,0,2,2,1,2,2,2,2,2,2,2,2,1,2,2,115,16,3,2,2,2,2,2,3,3,5,2,3,2,1,1,1,1,4,0,5,0,4,0,2,2,3,1,1,1,1,1,10,9
1,115,17,3,1,10,4,3,2,4,5,3,1,1,1,1,2,1,2,2,2,3,2,4,3,2,2,2,3,2,1,4,2,2,4,3,2,2,2,3,3,0,2,6,2,3,2,1,1,1,1,3,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,115,17,3,2,1,2,2,3,2,3,2,2,3,2,1,2,2,2,5,4,2,0,4,0,2,4,3,1,1,1,1,1,10,11
1,115,18,3,2,8,1,1,1,1,1,5,5,6,1,2,1,2,2,2,2,1,1,3,3,4,2,1,2,1,3,3,1,2,4,2,1,5,4,3,3,1,2,4,2,4,1,1,1,1,3,1,1,2,1,4,2,2,1,1,2,1,1,1,2,2,2,2,1,2,115,18,3,2,2,2,2,3,3,2,5,2,0,2,1,1,1,1,2,5,5,1,4,1,1,3,2,1,1,1,1,1,13,1
1,115,19,3,1,5,2,4,1,4,5,5,1,0,1,0,3,1,1,1,2,4,2,2,3,4,3,4,1,2,2,3,1,5,3,3,2,5,4,5,3,1,2,3,5,3,2,2,2,1,1,2,1,2,2,4,1,1,1,2,2,2,2,1,2,2,2,2,2,2,115,19,3,2,2,2,2,3,2,3,5,2,3,4,1,1,1,4,5,0,2,0,6,6,2,4,2,1,1,1,1,1,14,6
