COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72,COL73,COL74,COL75,COL76,COL77,COL78,COL79,COL80,COL81,COL82,COL83,COL84,COL85,COL86,COL87,COL88,COL89,COL90,COL91,COL92,COL93,COL94,COL95,COL96,COL97,COL98,COL99,COL100,COL101,COL102,COL103,COL104,COL105,COL106,COL107,COL108,COL109,COL110,COL111,COL112,COL113,COL114,COL115,COL116,COL117,COL118,COL119,COL120,COL121,COL122,COL123,COL124,COL125,COL126,COL127,COL128,COL129,COL130,COL131,COL132,COL133,COL134,COL135,COL136,COL137,COL138,COL139
1,132,1,1,5,1,8,11,7,1,1,4,12,3,2,2,8,1,1,2,2,2,1,2,2,2,2,2,2,2,2,4,5,2,2,1,2,2,2,5,9,1,4,5,5,6,3,2,1,1,0,4,2,2,2,2,2,1,2,2,2,2,2,2,3,3,2,3,3,3,,213,200,1,10,3,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,0,1,1,2,2,1,2,3,3,3,4,3,3,4,0,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,51,22714
1,132,2,1,3,6,1,9,6,1,1,4,1,5,0,0,0,1,1,2,2,2,1,2,2,2,2,2,2,2,4,5,5,2,2,1,2,2,2,4,2,3,1,0,0,0,1,1,2,2,0,4,1,2,2,2,2,2,2,2,2,2,2,2,3,3,2,1,3,1,,213,200,2,10,3,1,1,2,1,2,1,2,2,2,1,2,2,2,2,1,1,2,2,2,1,2,0,2,2,3,3,2,4,2,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,51,22308
1,132,3,1,2,3,10,3,4,4,1,2,4,2,1,1,1,3,3,1,2,2,2,2,2,2,2,2,2,2,2,4,4,2,1,2,2,2,2,2,3,1,2,3,3,4,3,2,2,3,5,5,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,,213,200,3,10,3,2,2,2,3,2,2,2,1,2,2,2,2,2,2,2,0,2,2,2,2,4,3,2,2,2,4,2,2,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,51,22709
1,132,4,1,6,3,1,3,4,1,1,3,4,3,1,1,2,3,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,3,5,1,2,5,3,6,2,2,1,3,4,4,1,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,2,2,,213,200,4,10,3,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,0,1,1,2,2,2,2,3,0,3,3,3,3,4,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,51,22726
1,132,5,1,8,4,0,9,5,1,3,5,4,4,1,1,2,3,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,3,3,1,4,5,5,6,2,1,2,2,5,5,2,2,2,2,2,1,2,2,2,2,2,2,3,2,2,3,2,3,,213,200,5,10,3,2,2,2,1,2,2,2,1,2,1,2,2,2,2,1,2,1,2,1,1,4,3,3,3,2,3,2,4,4,2,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,51,22709
1,132,6,1,6,4,0,5,6,1,2,3,4,3,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,1,2,2,3,3,2,3,8,5,4,2,1,2,2,4,1,1,2,2,1,2,2,2,2,2,2,2,2,3,2,2,3,2,1,,213,200,6,10,3,3,3,3,1,1,2,2,2,2,1,2,2,2,2,2,0,2,2,3,1,4,3,3,2,2,3,3,2,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,51,22729
1,132,7,1,8,3,5,10,4,2,3,5,4,3,1,1,1,3,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,10,1,4,5,5,6,4,2,3,3,0,5,2,2,2,2,2,1,2,2,2,2,2,2,3,2,2,3,1,3,,213,200,7,10,3,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,0,2,2,2,1,3,3,1,2,2,2,1,1,4,3,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,51,22704
1,132,8,1,6,3,3,8,3,3,3,5,4,3,1,1,1,3,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,10,1,4,5,5,6,4,2,3,3,5,5,2,2,2,2,2,1,2,2,2,2,2,2,3,2,2,3,1,3,,213,200,8,10,3,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,0,2,2,2,1,3,3,1,1,2,2,1,4,4,3,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,51,22704
1,132,9,1,1,7,0,10,3,1,1,4,1,3,2,2,1,3,2,1,2,2,2,2,2,2,2,2,2,2,7,5,4,2,1,2,2,2,2,4,2,2,4,0,3,4,3,4,1,3,5,5,1,2,2,2,2,1,2,2,2,2,2,2,1,1,2,3,2,2,,213,200,9,10,3,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,0,2,2,2,1,3,3,1,3,2,3,1,1,2,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,2107
1,132,10,1,2,6,10,4,2,1,3,5,4,5,2,2,0,1,3,1,2,2,2,2,2,2,2,2,2,2,1,2,5,2,2,2,1,2,2,1,3,1,4,5,3,4,4,3,2,3,4,2,1,2,2,2,1,2,2,2,2,2,2,2,3,3,2,3,1,1,,213,201,0,10,3,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,0,2,2,2,4,1,2,2,2,2,3,3,2,4,2,3,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,41,12606
1,132,11,1,1,0,0,5,6,1,3,5,4,5,2,2,3,1,3,1,2,2,2,2,2,2,2,2,2,2,1,4,5,2,2,1,2,2,2,3,10,1,1,5,0,6,3,1,2,2,5,5,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,,213,201,1,10,3,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,0,1,1,2,1,3,3,1,1,3,4,3,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,20,82613
