CARD.  1. CARD ONE 
DECK.  132. SURVEY NUMBER 
BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
FORM:  1. S-132A 2. S-132B 3. S-132C 
Q.1. WHAT IS YOUR ARMY RANK OR GRADE*  01. PRIVATE 02. PRIVATE 1ST CLASS 03. TECHNICIAN 5TH GRADE 04. CORPORAL 05. TECHNICIAN 4TH GRADE 06. BUCK SERGEANT 07. TECHNICIAN 3RD GRADE 08. STAFF SERGEANT 09. TECH SERGEANT 10. MASTER SERGEANT OR 1ST SERGEANT 00. NO ANSWER 
Q.2. HOW LONG HAVE YOU BEEN IN THAT RANK OR GRADE*  1. LESS THAN 1 MONTH UP TO 2 MONTHS 2. OVER 2 MONTHS UP TO 3 MONTHS 3. OVER 3 MONTHS UP TO 6 MONTHS 4. OVER 6 MONTHS UP TO 9 MONTHS 5. OVER 9 MONTHS UP TO 1 YEAR 6. OVER 1 YEAR 7. I HAVE ALWAYS BEEN A PRIVATE 0. NO ANSWER 
Q.3. HOW OLD WERE YOU ON YOUR LAST BIRTHDAY*  01. 18 YEARS OR YOUNGER 02. 19 YEARS 03. 20 YEARS 04. 21 YEARS 05. 22 YEARS 06. 23 YEARS 07. 24 YEARS 08. 25 YEARS 09. 26 YEARS THRU 29 YEARS 10. 30 YEARS THRU 34 YEARS 11. 35 YEARS AND OLDER 00. NO ANSWER 
Q.4. HOW FAR DID YOU GO IN SCHOOL*  1. LESS THAN 6TH GRADE 2. FINISHED 6TH GRADE 3. FINISHED 7TH GRADE 4. FINISHED 8TH GRADE 5. SOME HIGH SCHOOL BUT DID NOT FINISH 6. GRADUATED FROM HIGH SCHOOL 7. SOME COLLEGE BUT DID NOT FINISH 8. GRADUATED FROM COLLEGE 0. NO ANSWER 
"Q.5. HOW LONG HAVE YOU BEEN IN THE ARMY* P. IF YOU HAVE BEEN IN THE ARMY BEFORE, THEN WERE OUT FOR A WHILE, JUST CHECK THE LENGTH OF TIME SINCE YOU ENTERED THIS LAST TIME. IF YOU WERE IN THE NATIONAL GUARD, CHECK THE LENGTH OF TIME SINCE YOUR OUTFIT CAME INTO THE ARMY.  1. 6 MONTHS OR LESS 2. OVER 6 MONTHS UP TO 1 YEAR 3. OVER 1 YEAR UP TO 2 YEARS 4. OVER 2 YEARS UP TO 3 YEARS 5. OVER 3 YEARS UP TO 5 YEARS 6. OVER 5 YEARS 0. NO ANSWER "
Q.6. WHAT BRANCH OF THE ARMY WERE YOU IN BEFORE YOU LEFT YOUR OLD OUTFIT OVERSEAS*  01. ENGINEERS 02. FIELD ARTILLERY 03. QUARTERMASTER CORPS 04. INFANTRY 05. MEDICAL DEPARTMENT 06. ARMORED COMMAND 07. SIGNAL CORPS 08. COAST ARTILLERY 09. ANTI-AIRCRAFT 10. AIR CORPS 11. TRANSPORTATION CORPS 12. ORDNANCE DEPARTMENT 13. CHEMICAL WARFARE SERVICE 14. MILITARY POLICE 15. TANK DESTROYER 16. OTHER 00. NO ANSWER 
Q.7. HOW LONG WERE YOU OVERSEAS*  1. 6 MONTHS OR LESS 2. OVER 6 MONTHS UP TO 1 YEAR 3. OVER 1 YEAR UP TO 18 MONTHS 4. OVER 18 MONTHS UP TO 2 YEARS 5. OVER 2 YEARS UP TO 3 YEARS 6. OVER 3 YEARS 0. NO ANSWER 
"Q.8. WHAT OVERSEAS AREA OR THEATRE WERE YOU SHIPPED FROM JUST BEFORE YOU CAME BACK TO THE U.S.*  1. NATOUSA (ITALY, NORTH AFRICA) 2. ETO (BRITISH ISLES) 3. CARIBBEAN 4. SOUTH PACIFIC 5. CENTRAL PACIFIC (HAWAII, ETC.) 6. ALASKA 7. CHINA-BURMA-INDIA 8. SOME OTHER THEATER 9. SOUTHWEST PACIFIC 0. NO ANSWER "
"Q.9A. HAVE YOU RECEIVED ANY OF THE FOLLOWING DECORATIONS*  1. NO DECORATIONS RECEIVED 2. YES, PURPLE HEART 3. YES, SILVER STAR 4. YES, DISTINGUISHED SERVICE CROSS 5. YES, PURPLE HEART AND SILVER STAR 6. YES, PURPLE HEART AND DISTINGUISHED SERVICE CROSS 7. YES, SILVER STAR, AND DISTINGUISHED SERVICE CROSS 8. YES, PURPLE HEART, SILVER STAR, AND DISTINGUISHED SERVICE CROSS 9. YES, OTHER (NOT COMBINATIONS OF ANY ABOVE) 0. NO ANSWER "
"Q.9B. HAVE YOU BEEN RECOMMENDED FOR ANY DECORATIONS YOU HAVE NOT YET RECEIVED*  01. NO DECORATIONS RECEIVED 02. YES, PURPLE HEART 03. YES, SILVER STAR 04. YES, DISTINGUISHED SERVICE CROSS 05. YES, PURPLE HEART AND SILVER STAR 06. YES, PURPLE HEART AND DISTINGUISHED SERVICE CROSS 07. YES, SILVER STAR AND DISTINGUISHED SERVICE CROSS 08. YES, PURPLE HEART, SILVER STAR AND DISTINGUISHED SERVICE CROSS 09. YES, OTHER (NOT COMBINATIONS OF ANY ABOVE) 10. YES, NO DECORATION NAMED 00. NO ANSWER "
Q.10. WHAT WERE YOU ATTACHED TO OVERSEAS WHEN YOU WERE TOLD YOU WERE COMING BACK TO THE U.S.*  1. I WAS ON DUTY WITH MY REGULAR OUTFIT 2. I WAS ON DETACHED SERVICE 3. I WAS IN A REPLACEMENT DEPOT OR CASUAL COMPANY 4. OTHER 0. NO ANSWER 
"Q.11. DID YOU COME BACK UNDER THE ROTATION PLAN*  1. YES 2. NO 3. I DON,T KNOW 0. NO ANSWER "
Q.12. CHECK ALL THE IMPORTANT REASONS WHY YOU WERE SENT BACK TO THE U.S.:  1. LIMITED ASSIGNMENT (PLA) 2. NOT CHOSEN 
Q.12. CHECK ALL THE IMPORTANT REASONS WHY YOU WERE SENT BACK TO THE U.S.:  123 1. NERVOUSNESS 1011 2. NOT CHOSEN 
Q.12. CHECK ALL THE IMPORTANT REASONS WHY YOU WERE SENT BACK TO THE U.S.:  160 1. SOME OTHER PHYSICAL REASON 974 2. NOT CHOSEN 
Q.12. CHECK ALL THE IMPORTANT REASONS WHY YOU WERE SENT BACK TO THE U.S.:  483 1. ROTATION PLAN 651 2. NOT CHOSEN 
Q.12. CHECK ALL THE IMPORTANT REASONS WHY YOU WERE SENT BACK TO THE U.S.:  2 1. CAME BACK WITH MY OUTFIT 1132 2. NOT CHOSEN 
Q.12. CHECK ALL THE IMPORTANT REASONS WHY YOU WERE SENT BACK TO THE U.S.:  15 1. TOO MANY MEN IN MY SPECIALTY IN THE THEATER 1119 2. NOT CHOSEN 
Q.12. CHECK ALL THE IMPORTANT REASONS WHY YOU WERE SENT BACK TO THE U.S.:  18 1. SOME OTHER IMPORTANT REASONS 1116 2. NOT CHOSEN 
"Q.12. CHECK ALL THE IMPORTANT REASONS WHY YOU WERE SENT BACK TO THE U.S.:  69 1. MORE THAN ONE CHECKED, ONE OF WHICH IS 1 1065 2. NOT CHOSEN "
"Q.12. CHECK ALL THE IMPORTANT REASONS WHY YOU WERE SENT BACK TO THE U.S.:  5 1. MORE THAN 2 CHECKED, ONE OF WHICH IS 4 1129 2. NOT CHOSEN "
"Q.12. CHECK ALL THE IMPORTANT REASONS WHY YOU WERE SENT BACK TO THE U.S.:  6 1. MORE THAN 2 CHECKED, INCLUDING BOTH 1 AND 4 1128 2. NOT CHOSEN "
"Q.12. CHECK ALL THE IMPORTANT REASONS WHY YOU WERE SENT BACK TO THE U.S.:  0 1. MORE THAN 2 CHECKED, NONE OF WHICH IS 1 OR 4 1134 2. NOT CHOSEN "
Q.12. CHECK ALL THE IMPORTANT REASONS WHY YOU WERE SENT BACK TO THE U.S.:  11 1. NO ANSWER 1123 2. NOT CHOSEN X. QUESTION 13 NOT CODED. 
Q.14. WHAT DAY DID YOU LAND IN THE U.S.* GIVE THE EXACT DATE YOU ACTUALLY GOT OFF THE BOAT IN THE U.S.  01. 1 DAY OR LESS 02. OVER 1 DAY UP TO AND INCLUDING 2 DAYS 03. OVER 2 DAYS UP TO AND INCLUDING 3 DAYS 04. OVER 3 DAYS UP TO AND INCLUDING 4 DAYS 05. OVER 4 DAYS UP TO AND INCLUDING 5 DAYS 06. OVER 5 DAYS UP TO AND INCLUDING 6 DAYS 07. OVER 6 DAYS UP TO AND INCLUDING 7 DAYS 08. OVER 7 DAYS UP TO AND INCLUDING 10 DAYS 09. OVER 10 DAYS UP TO AND INCLUDING 20 DAYS 10. OVER 20 DAYS UP TO AND INCLUDING 60 DAYS 11. OVER 60 DAYS 00. NO ANSWER 
"Q.15A. TO WHAT DEBARKATION CENTER (STAGING AREA) DID YOU GO AFTER YOU LANDED IN THE U.S.*  1. KILMER, NEW JERSEY 2. JACKSON BARRACKS, LOUISIANA 3. HAMPTON ROADS, VIRGINIA (PATRICK HENRY) 4. HOSPITAL 5. SEATTLE, WASHINGTON 6. AIR FIELD 7. NEW YORK 8. SAN FRANCISCO (MCDOWELL) 9. MISCELLANEOUS 0. NO ANSWER "
Q.15B. HOW MANY DAYS WERE YOU THERE*  01. 1 DAY OR LESS 02. OVER 1 DAY UP TO AND INCLUDING 2 DAYS 03. OVER 2 DAYS UP TO AND INCLUDING 3 DAYS 04. OVER 3 DAYS UP TO AND INCLUDING 4 DAYS 05. OVER 4 DAYS UP TO AND INCLUDING 5 DAYS 06. OVER 5 DAYS UP TO AND INCLUDING 6 DAYS 07. OVER 6 DAYS UP TO AND INCLUDING 7 DAYS 08. OVER 7 DAYS UP TO AND INCLUDING 8 DAYS 09. OVER 8 DAYS UP TO AND INCLUDING 9 DAYS 10. OVER 9 DAYS 00. NO ANSWER 
"Q.16. WERE YOU TOLD OFFICIALLY WHY YOU WERE KEPT AT THE DEBARKATION CENTER AS LONG AS YOU WERE*  1. YES, AND THE REASONS WE WERE GIVEN WERE GOOD ONES 2. YES, BUT I DON,T THINK THE REASONS GIVEN WERE GOOD ONES 3. NO, NO ONE EXPLAINED TO US WHY WE WERE THERE AS LONG AS WE WERE 0. NO ANSWER "
"Q.17. WERE THERE ENOUGH INTERESTING THINGS FOR YOU TO DO AT THE DEBARKATION CENTER SO THAT YOU DIDN,T JUST HAVE TO SIT AROUND*  1. YES 2. NO, BUT I DIDN,T MIND SITTING AROUND SOME 3. NO, AND IT GOT PRETTY TIRESOME SITTING AROUND 0. NO ANSWER X. QUESTION 18 NOT CODED. "
Q.19. WHICH OF THE FOLLOWING DO YOU WISH THE ARMY HAD TOLD YOU ABOUT OR MORE ABOUT AT THE DEBARKATION CENTER*  1. ABOUT WHAT WE HAD TO GO THROUGH BEFORE GOING ON OUR FURLOUGH 2. ABOUT THE ASSIGNMENTS WE MIGHT GET AFTER OUR FURLOUGH 3. ABOUT WHAT HAS BEEN HAPPENING ON THE HOME FRONT SINCE WE LEFT THE U.S. 4. COMBINATION OF 1 AND 2 5. COMBINATION OF 2 AND 3 6. COMBINATION OF 1 AND 3 7. COMBINATION OF ALL THREE 0. NO ANSWER 
"Q.20. WHAT SORT OF TRIP DID YOU HAVE FROM THE DEBARKATION CENTER TO THIS RECEPTION STATION*  1. IT WAS COMFORTABLE ENOUGH 2. IT WAS PRETTY UNCOMFORTABLE, BUT I DIDN,T MIND MUCH 3. IT WAS VERY UNCOMFORTABLE 0. NO ANSWER "
"Q.21. IS THIS RECEPTION STATION THE ONE YOU FIRST CHOSE TO COME TO WHILE YOU WERE OVERSEAS, OR DID YOU CHOOSE SOME OTHER RECEPTION STATION*  1. THIS IS THE ONE I CHOSE 2. I CHOSE SOME OTHER RECEPTION STATION 0. NO ANSWER "
