CARD.,DECK.,BALLOT.,FORM.,Q.1A.,Q.1B.,Q.2.,Q.3.,Q.4.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51.,Q.52A.,Q.53.,Q.54.,Q.55.,Q.56.,Q.57.,Q.58.,Q.59.,Q.60.,Q.60..1,Q.60..2,Q.60..3,CARD..1,DECK..1,BALLOT..1,FORM..1,FORM..2,FORM..3,FORM..4,FORM..5,FORM..6,FORM..7,FORM..8,Q.62.,Q.63.,Q.64.,Q.65.,Q.66.,Q.67.,Q.68.,Q.69.,Q.70.,Q.71.,Q.72.,Q.73.,Q.74.,Q.75.,Q.76.,Q.77A.,Q.78.,Q.79A.,Q.80.,Q.81.,Q.82.,Q.83.,Q.84.,Q.85.,Q.86.,Q.87.,Q.88.,Q.89.,Q.90.,Q.91.,Q.92.,Q.93.,Q.94.,Q.95.,Q.96.,Q.97.,Q.98.,Q.99.,Q.100A.,Q.101A.,Q.102.,Q.103.,Q.104.,Q.105.,V.107.,V.108.,V.109.,V.110.,V.111.,V.112.,V.113.,V.114.,V.115.,V.116.,V.117.
1,133,1,1,3,1,10,5,1,5,1,6,2,2,2,12,12,12,4,2,1,2,2,1,1,1,1,2,2,2,3,2,2,1,1,2,5,1,4,1,3,3,1,1,2,3,2,1,3,1,3,1,1,1,3,2,3,1,2,2,1,2,1,1,2,2,1,2,133,1,1,2,2,2,2,2,1,2,7,2,3,3,2,4,1,8,3,1,4,2,2,1,1,2,3,1,4,1,2,2,3,1,1,3,1,1,1,2,1,1,1,3,3,4,1,2,3,3,1,2,2,4,9,9,9,9,9,9,9,9,2,1,1
1,133,2,1,3,4,10,4,1,4,1,5,5,5,2,5,0,5,0,3,3,2,3,2,2,1,2,2,2,3,4,4,2,2,1,3,3,2,2,1,5,1,2,2,2,3,4,3,4,2,3,3,1,3,4,6,1,2,1,3,1,5,3,2,2,1,2,2,133,2,1,2,2,2,2,2,2,2,3,1,2,3,1,2,1,8,2,3,3,2,2,1,1,2,3,2,9,3,5,1,6,2,1,2,3,3,4,2,2,1,1,1,1,4,2,2,2,2,2,4,2,2,9,9,9,9,9,9,9,9,2,1,1
1,133,3,1,9,8,11,4,1,5,2,7,6,3,1,12,10,1,5,2,1,2,1,1,1,1,2,2,1,3,1,1,1,1,1,2,2,1,3,1,2,1,1,1,1,3,3,3,3,3,4,4,1,3,4,2,3,2,3,3,2,2,1,2,1,1,2,2,133,3,1,2,2,2,2,2,1,2,4,2,1,2,2,2,1,2,3,1,2,3,2,1,1,1,1,1,3,1,5,4,3,1,1,3,1,4,2,2,2,1,1,3,3,2,2,2,3,2,3,2,3,4,9,9,9,9,9,9,9,9,2,1,1
1,133,4,1,3,4,7,6,1,5,1,5,5,5,4,5,10,10,1,2,1,1,1,1,1,2,2,2,1,1,2,1,2,1,1,2,3,2,2,1,1,2,2,2,2,2,2,4,4,3,4,3,2,1,4,1,2,2,3,3,2,2,2,2,1,2,1,2,133,4,1,2,2,2,2,2,2,2,4,2,2,2,1,2,1,8,3,1,2,2,2,2,2,1,1,1,3,1,4,1,11,2,1,3,1,3,2,1,2,2,1,3,3,2,2,2,3,3,3,3,2,4,9,9,9,9,9,9,9,9,2,1,1
1,133,5,1,2,3,6,4,1,5,1,5,5,5,1,5,10,10,0,3,1,3,1,3,1,2,4,3,1,1,1,11,2,2,1,1,3,2,2,1,3,1,4,4,3,2,1,2,4,3,4,2,2,3,4,4,3,3,2,4,4,4,5,2,2,1,1,2,133,5,1,2,2,2,2,2,2,2,3,3,3,2,3,1,1,8,1,1,5,1,2,3,4,2,3,2,9,3,5,5,3,2,1,3,2,3,2,1,2,2,3,3,3,4,1,2,3,4,3,4,5,5,9,9,9,9,9,9,9,9,2,1,1
1,133,6,1,1,8,6,5,1,5,3,7,5,4,3,5,10,10,4,3,3,3,3,2,3,2,3,2,2,1,1,0,1,2,2,2,3,2,3,2,2,1,2,1,2,1,1,2,3,3,4,4,1,1,2,5,2,2,1,2,2,1,1,2,2,1,2,2,133,6,1,2,2,2,2,2,2,2,3,2,2,3,1,1,3,8,3,3,3,1,2,1,1,1,1,1,2,4,5,1,7,2,3,4,2,2,4,2,2,2,3,3,3,4,2,1,3,3,1,2,3,4,9,9,9,9,9,9,9,9,2,1,1
1,133,7,1,4,3,6,6,1,5,1,5,5,5,1,5,5,4,8,2,2,2,3,1,3,1,3,2,1,1,1,3,2,1,1,2,2,2,2,4,3,3,3,2,3,4,3,3,2,2,4,4,1,1,3,2,1,2,6,3,4,4,2,2,1,2,2,2,133,7,1,2,2,2,1,2,1,2,3,2,2,1,4,2,1,8,2,1,4,1,2,1,1,4,3,1,4,1,5,5,3,1,1,3,1,3,2,2,2,2,3,2,2,4,2,2,3,2,3,3,2,3,9,9,9,9,9,9,9,9,2,1,1
1,133,8,1,8,1,6,7,1,5,2,5,5,3,3,12,12,12,4,2,2,1,1,1,2,1,2,1,1,1,2,11,2,1,2,1,2,2,3,2,2,3,2,1,1,2,2,2,3,2,3,3,1,2,3,2,3,3,2,1,2,1,1,1,2,2,2,2,133,8,1,2,1,2,2,1,2,2,6,2,1,1,4,2,1,3,3,1,4,2,2,1,1,1,1,4,6,1,5,4,18,1,2,1,1,1,1,2,2,1,1,3,3,4,2,1,3,2,2,2,3,5,9,9,9,9,9,9,9,9,2,1,1
1,133,9,1,3,6,9,5,1,5,2,7,6,6,4,5,10,10,4,1,2,1,1,1,1,1,2,2,1,2,1,11,2,2,1,1,3,2,2,2,1,1,3,3,3,4,2,2,3,2,2,2,3,4,3,6,3,5,2,3,3,2,2,2,2,1,2,2,133,9,1,2,2,2,1,2,1,2,3,2,1,1,4,1,1,2,3,1,2,1,2,2,2,1,2,1,6,1,1,1,2,4,3,4,1,3,2,1,2,3,3,3,3,1,2,2,3,1,2,3,3,3,9,9,9,9,9,9,9,9,2,1,1
1,133,10,1,1,6,4,5,1,5,1,5,5,5,1,5,10,5,1,2,2,2,1,2,1,2,3,4,1,1,2,11,2,1,5,2,2,1,4,1,1,1,2,2,2,2,2,4,4,2,4,1,1,1,4,6,2,2,2,3,2,2,2,1,2,1,2,2,133,10,1,2,2,2,2,2,1,2,2,2,1,1,4,2,1,8,3,2,3,2,2,1,1,1,2,1,3,1,4,4,3,1,1,2,3,8,4,2,2,2,3,3,3,4,2,2,4,4,3,4,2,5,9,9,9,9,9,9,9,9,2,1,1
1,133,11,1,2,5,11,5,4,1,2,6,6,3,2,12,10,4,3,2,1,1,2,2,1,3,5,4,3,1,2,1,2,1,1,1,2,1,4,2,3,1,1,2,2,2,3,1,1,3,4,4,3,3,2,1,4,1,1,3,5,4,5,2,2,2,2,2,133,11,1,2,2,2,2,2,2,2,0,2,1,1,4,1,1,8,1,1,4,1,2,1,1,4,1,1,4,2,4,1,6,2,5,2,1,4,2,2,2,2,3,2,3,3,1,1,3,2,3,2,2,1,9,9,9,9,9,9,9,9,2,1,1
1,133,12,1,4,2,9,5,1,5,1,5,5,3,1,12,12,0,4,1,2,1,1,1,2,1,1,1,1,3,4,3,2,2,2,2,3,2,3,1,1,3,1,1,1,2,3,1,1,3,4,4,1,3,1,6,4,2,1,1,2,1,1,1,2,2,2,2,133,12,1,2,2,2,2,2,1,2,3,2,1,1,4,2,1,1,2,3,4,2,2,1,1,2,2,2,9,1,5,5,3,1,1,3,1,1,1,2,2,1,1,1,1,4,2,2,1,2,3,1,1,1,9,9,9,9,9,9,9,9,2,1,1
1,133,13,1,5,1,6,6,1,5,1,5,5,3,3,12,12,12,4,2,1,1,1,1,1,1,2,2,1,2,1,3,3,2,3,2,2,2,3,2,2,3,2,2,2,3,3,3,3,3,4,3,2,3,3,3,3,2,2,2,2,2,1,2,2,2,1,2,133,13,1,2,2,2,2,2,1,2,3,2,2,1,4,1,1,8,2,1,3,2,2,1,1,1,2,1,3,4,3,1,6,1,5,2,1,3,2,2,2,1,3,2,2,3,1,2,1,2,2,1,2,3,9,9,9,9,9,9,9,9,2,1,1
1,133,14,1,2,1,4,6,1,5,1,5,3,3,4,12,12,10,4,3,2,2,1,1,3,1,3,2,2,3,2,3,2,5,3,1,3,2,2,1,2,2,2,2,2,4,2,4,4,3,1,2,3,1,4,3,2,4,2,3,2,2,2,2,1,2,2,2,133,14,1,2,2,2,2,2,2,2,3,3,3,3,4,2,3,8,2,2,3,2,1,1,1,4,2,4,8,1,2,1,17,4,5,2,1,3,2,1,2,2,1,3,3,4,2,2,3,3,2,3,2,3,9,9,9,9,9,9,9,9,2,1,1
1,133,15,1,1,7,9,3,4,1,1,6,6,6,2,1,10,10,4,3,2,2,3,2,1,1,2,5,2,3,2,3,2,3,2,3,3,2,3,1,4,3,1,3,1,2,3,4,4,3,4,4,1,2,5,1,3,2,1,3,3,4,3,2,2,2,2,2,133,15,1,2,2,2,2,2,2,2,3,2,1,2,4,1,2,2,2,2,3,1,2,3,4,4,3,1,3,1,3,1,6,4,5,2,3,3,2,2,1,1,3,2,3,2,2,2,3,1,2,2,5,5,9,9,9,9,9,9,9,9,1,1,2
1,133,16,1,1,5,2,3,1,5,2,5,3,3,1,1,10,10,4,1,2,1,1,1,1,1,1,2,3,1,2,1,2,1,1,2,3,1,4,1,2,2,2,1,1,3,2,1,2,2,3,3,1,2,1,1,3,1,1,2,2,4,1,2,2,2,2,2,133,16,1,2,2,1,2,2,2,2,3,1,1,2,4,2,1,8,4,1,2,2,1,1,1,1,2,1,5,4,4,1,13,2,1,3,2,1,1,2,1,1,1,3,3,4,1,1,1,4,2,1,2,2,9,9,9,9,9,9,9,9,1,1,2
