COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71
1,135,1,1,9,7,7,8,3,3,2,10,2,2,2,1,2,4,1,3,4,2,6,11,11,11,11,4,1,2,3,1,2,2,2,2,3,10,3,10,1,3,1,5,1,3,3,1,5,8,3,1,1,3,,213,5000,1,1,1,1,3,3,2,1,3,3,2,50,80,508
1,135,2,1,7,7,7,8,3,2,1,14,11,2,0,2,3,2,1,2,8,4,0,11,11,11,11,3,3,2,3,2,1,1,3,3,4,10,2,10,3,3,2,5,1,2,2,2,1,8,2,2,1,3,,213,5000,2,1,3,4,3,3,2,2,3,1,2,50,0,407
1,135,3,1,5,0,10,8,3,1,2,98,11,11,2,2,3,3,1,0,8,0,10,11,11,11,11,11,3,2,0,1,0,0,0,1,10,10,10,10,1,3,2,5,3,2,2,1,0,9,3,2,1,1,,213,5000,3,1,1,1,1,1,6,4,3,3,3,60,0,305
1,135,4,1,9,8,8,8,9,3,2,8,11,11,1,2,2,2,1,3,8,2,6,11,11,11,11,3,3,2,2,1,2,1,0,4,2,10,1,10,1,3,2,5,3,4,5,2,1,8,3,4,1,3,,213,5000,4,1,3,1,3,3,4,2,2,1,1,50,0,403
1,135,5,1,9,8,7,8,6,3,2,7,4,3,1,3,1,2,1,3,3,2,11,2,2,0,0,4,2,2,3,3,1,2,2,2,2,10,1,10,3,4,1,5,2,3,5,1,3,5,3,1,1,3,,213,5000,5,1,1,3,1,1,5,2,3,4,2,50,20,501
1,135,6,1,5,10,9,8,10,2,2,4,11,2,1,2,3,2,1,2,8,3,6,1,3,11,11,2,3,2,4,1,3,1,2,3,10,10,10,10,3,4,3,5,2,0,5,4,3,8,3,2,3,3,,213,5000,6,1,1,1,1,2,5,3,3,3,2,50,0,308
1,135,7,1,6,8,8,8,7,3,1,11,1,6,2,1,3,3,1,3,3,3,2,2,5,11,1,2,3,2,3,1,1,2,2,3,1,10,1,10,2,4,1,5,2,3,3,1,1,5,2,4,1,3,,213,5000,7,1,1,1,1,3,2,1,3,4,2,51,10,505
1,135,8,1,6,10,9,8,2,1,1,4,1,2,3,1,2,2,1,2,8,4,8,4,5,2,2,3,3,2,4,3,1,1,3,1,10,10,10,10,3,4,1,5,1,1,4,1,2,6,3,2,1,3,,213,5000,8,1,3,1,3,1,1,4,3,1,2,50,50,403
1,135,9,1,11,9,8,8,9,3,1,13,3,7,1,2,2,6,1,2,8,2,8,4,5,1,3,3,3,2,2,2,1,5,5,2,2,10,2,10,3,3,2,5,1,3,3,1,5,10,3,4,1,3,,213,5000,9,1,3,1,1,1,6,4,3,3,2,50,20,201
1,135,10,1,8,10,9,8,4,1,1,4,11,2,2,2,2,2,1,3,8,2,6,3,3,1,1,2,3,2,4,2,3,1,3,2,2,10,2,10,2,3,3,5,1,2,5,1,5,6,1,1,3,3,,213,5001,0,1,3,1,1,3,5,3,3,3,2,50,0,302
1,135,11,1,9,10,9,8,4,1,2,4,1,2,2,1,2,2,1,2,8,7,6,3,7,1,1,2,3,2,4,2,3,1,2,1,1,10,1,10,3,3,2,5,2,2,5,1,1,6,3,1,1,3,,213,5001,1,1,3,1,3,1,5,3,2,3,2,11,10,202
1,135,12,1,8,10,9,8,8,2,1,4,1,2,2,1,2,2,1,2,8,4,6,3,4,1,1,2,1,2,2,1,1,1,2,2,1,10,1,10,3,3,2,5,1,2,2,1,1,5,2,2,1,3,,213,5001,2,1,3,1,1,3,5,2,3,4,2,50,0,202
