COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72,COL73,COL74,COL75,COL76,COL77,COL78,COL79,COL80,COL81,COL82,COL83,COL84,COL85,COL86,COL87,COL88,COL89,COL90,COL91,COL92,COL93,COL94,COL95
1,195,1,1,3,5,5,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,,219,500,1,1,0,0,0,0,0,0,1,1,1,1,1,1,7,7,9
1,195,2,1,3,3,5,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,4,3,1,2,1,4,1,4,1,4,1,2,1,1,1,1,1,1,1,3,1,3,1,2,2,2,1,3,3,3,3,3,1,2,1,1,1,4,1,3,1,2,1,1,1,4,4,2,1,4,4,2,,219,500,2,1,4,4,3,2,4,4,1,1,3,1,9,1,4,7,5
1,195,3,1,2,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,4,1,4,1,3,1,2,1,1,1,2,1,2,1,2,1,3,1,2,3,2,2,4,1,3,1,3,1,2,2,3,2,3,1,3,1,2,1,2,1,3,2,1,5,3,1,1,,219,500,3,1,1,2,4,1,5,1,2,1,3,1,4,7,6,7,4
1,195,4,1,3,4,7,1,1,2,1,1,1,2,1,2,1,2,1,2,1,2,1,1,4,1,2,1,4,1,5,1,3,1,3,1,1,1,2,1,3,1,1,1,2,1,4,1,2,2,3,2,3,1,5,1,2,2,1,0,3,1,2,1,2,2,1,1,1,4,1,4,4,5,4,,219,500,4,1,4,4,2,2,2,4,2,1,2,1,6,2,2,7,4
1,195,5,1,2,3,2,5,2,1,1,1,1,1,1,2,1,2,1,2,1,2,1,4,3,1,2,1,4,1,5,1,2,1,1,1,1,1,1,1,3,1,3,1,1,1,4,1,3,3,4,3,3,2,4,1,2,3,1,1,2,1,2,1,1,1,1,1,1,2,4,4,3,3,2,,219,500,5,1,1,2,4,2,2,2,3,1,5,1,2,2,2,7,2
1,195,6,1,3,3,5,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,5,3,4,1,3,1,2,1,1,1,3,1,2,1,2,2,1,1,1,1,1,3,2,2,4,2,3,2,1,1,2,2,3,1,1,1,1,1,4,4,1,3,5,1,1,,219,500,6,1,3,1,4,1,1,3,1,1,1,1,6,5,7,7,8
1,195,7,1,3,2,4,2,1,1,1,2,1,2,1,2,1,1,1,2,1,2,1,2,3,1,1,1,4,1,5,1,2,1,3,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,1,1,4,4,2,4,1,4,,219,500,7,1,4,4,1,2,1,2,1,1,1,1,5,3,1,7,8
1,195,8,1,1,2,6,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,2,1,4,1,3,2,4,1,3,1,2,1,1,1,3,1,3,1,3,1,3,1,3,2,1,1,3,1,4,1,2,1,2,1,4,1,5,2,2,1,2,2,1,5,5,5,1,5,1,,219,500,8,1,1,5,4,1,3,1,1,1,3,1,3,8,7,7,4
1,195,9,1,2,3,6,4,1,2,2,1,1,1,2,1,2,1,2,1,2,3,0,2,4,1,2,1,4,1,3,2,4,1,3,1,1,1,3,1,3,1,3,1,3,1,5,1,1,1,2,1,2,2,4,1,3,1,3,1,4,1,2,2,2,2,2,1,2,4,5,5,1,4,5,,219,500,9,1,2,2,4,4,2,5,3,1,5,1,1,4,6,1,0
1,195,10,1,2,3,1,1,1,3,3,1,1,1,1,1,1,1,1,1,2,1,1,2,4,1,2,1,4,1,5,1,5,1,4,1,3,2,1,2,3,1,3,1,5,1,3,2,2,1,3,1,4,1,0,0,4,2,3,1,5,1,3,2,3,1,1,1,4,5,5,3,4,5,5,,219,501,0,1,1,5,4,4,3,4,2,2,3,1,4,4,6,5,4
