CARD.,DECK.,BALLOT.,FORM.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6A.,Q.6B.,Q.7.,Q.8.,Q.9A.,Q.9B.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23A.,Q.23B.,Q.23C.,Q.24A.,Q.24B.,Q.25A.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31A.,Q.31B.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36A.,Q.36B.,Q.37.,Q.38.,Q.39.,Q.40A.,Q.40B.,Q.41.,Q.42.,Q.43.,Q.44A.,Q.44B.,Q.44C.,Q.45.,Q.47.,Q.49.,Q.50.,Q.51.,Q.52.,Q.53.,CARD..1,DECK..1,BALLOT..1,FORM..1,Q.54.,Q.54..1,Q.1A.,Q.1B.,Q.1C.,Q.1D.,Q.1E.,Q.1F.,Q.1G.,Q.1H.,Q.2A.,Q.2B.,Q.2C.,Q.2D.,Q.3..1,Q.4..1,Q.5..1,Q.5..2,Q.6.,Q.7A.,Q.7B.,Q.7C.,Q.7D.,Q.7E.,Q.9.,V.10.,V.12.,V.13.
1,198,1,1,3,2,3,3,4,3,1,5,29,1,3,3,6,2,1,2,2,1,1,1,2,4,2,1,0,9,1,2,1,9,8,4,2,3,4,1,1,0,0,1,1,1,1,17,4,1,2,2,2,3,2,0,0,1,7,1,2,1,4,1,2,198,1,1,1,9,2,1,2,2,1,2,2,2,2,1,2,2,1,1,1,9,3,2,1,4,1,1,3,1,36,3
1,198,2,2,3,2,3,2,4,3,1,5,35,2,3,4,6,2,1,2,2,1,1,1,1,4,3,4,99,3,2,4,3,2,99,9,9,9,99,9,9,0,0,3,4,9,5,4,4,5,3,1,1,3,2,0,0,1,6,1,2,3,12,4,2,198,2,2,9,1,2,2,2,1,2,1,1,2,2,1,3,2,2,1,9,2,9,9,9,9,9,9,9,6,47,3
1,198,3,2,3,2,3,4,4,3,2,5,47,2,5,8,5,2,1,2,2,1,1,1,1,4,2,1,6,9,1,3,1,9,3,4,1,3,4,1,1,0,0,1,1,1,1,4,4,4,3,1,2,3,2,0,0,5,5,1,2,1,5,1,2,198,3,2,9,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,9,2,9,9,9,9,9,9,9,1,37,3
1,198,4,1,3,2,3,4,4,3,2,5,25,1,1,6,6,4,1,3,2,2,4,6,6,2,2,3,99,1,2,8,3,1,99,9,9,9,99,9,9,0,0,2,3,9,5,4,4,5,3,1,1,3,2,0,0,1,8,1,2,1,5,1,2,198,4,1,1,9,1,1,2,2,1,0,0,0,2,1,2,2,1,1,1,9,4,1,3,1,1,1,3,6,46,3
1,198,5,2,3,2,4,3,4,3,1,5,36,1,1,7,6,1,1,2,2,1,1,1,1,4,2,1,1,9,2,3,4,2,99,9,9,9,99,9,9,0,0,2,4,9,3,4,4,3,3,1,1,3,2,0,0,1,5,1,2,2,4,1,2,198,5,2,9,1,2,2,1,2,2,1,1,1,2,2,2,2,1,1,9,1,9,9,9,9,9,9,9,3,36,3
1,198,6,2,3,2,3,5,4,3,3,5,27,2,2,3,6,1,1,1,2,1,5,1,1,1,2,3,99,2,2,3,4,3,99,9,9,9,99,9,9,0,0,1,1,4,1,4,4,2,3,1,2,3,2,0,0,1,8,1,2,1,12,1,2,198,6,2,9,1,2,1,1,2,2,1,1,2,2,1,1,2,1,1,9,1,9,9,9,9,9,9,9,6,37,3
1,198,7,2,3,2,3,3,4,3,2,5,22,1,1,7,6,1,1,3,2,2,3,6,6,4,3,1,2,9,2,3,2,9,9,4,2,3,4,1,2,0,0,1,4,9,3,17,4,1,2,2,2,3,2,0,0,1,5,1,2,1,5,1,2,198,7,2,9,1,2,2,2,1,2,2,1,2,2,2,2,2,1,1,9,1,9,9,9,9,9,9,9,2,36,3
1,198,8,1,3,2,4,0,4,10,3,5,41,2,3,3,4,2,1,2,2,1,1,1,1,4,2,1,5,9,1,2,3,2,99,9,9,9,99,9,9,0,0,9,0,0,9,16,16,1,4,1,1,3,2,0,0,1,6,1,2,2,2,1,2,198,8,1,3,9,2,1,1,2,2,2,2,2,2,1,2,2,1,1,1,9,1,1,3,3,1,1,2,3,65,2
1,198,9,2,3,2,3,5,4,3,1,6,25,1,1,5,6,3,1,5,2,2,3,5,5,4,3,3,99,5,2,4,3,2,99,9,9,9,99,9,9,0,0,1,3,9,5,17,4,1,2,2,2,3,2,0,0,1,5,1,2,2,5,1,2,198,9,2,9,1,2,2,2,2,2,1,1,2,2,2,1,1,1,1,9,2,9,9,9,9,9,9,9,6,36,3
1,198,10,1,3,1,3,3,4,3,1,5,22,1,1,2,6,1,1,2,2,2,1,1,2,2,2,1,0,9,2,3,4,6,99,9,9,9,99,9,9,0,0,1,3,9,3,17,4,1,2,2,2,3,2,0,0,1,6,2,2,1,5,3,2,198,10,1,1,9,2,1,1,2,2,1,1,2,2,2,1,1,2,2,1,9,1,1,1,2,1,1,2,3,36,3
