CARD.,DECK.,BALLOT.,FORM.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23A.,Q.23B.,Q.23C.,Q.23D.,Q.23E.,Q.23F.,Q.23G.,Q.23H.,Q.23I.,Q.23J.,Q.23K.,Q.24.,Q.25.,Q.26.,Q.27A.,Q.27B.,Q.27C.,Q.27D.,Q.27E.,Q.27F.,Q.27G.,Q.28.,Q.29.,Q.30A.,Q.30B.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45.,Q.45..1,Q.45..2,CARD..1,DECK..1,BALLOT..1,FORM..1,X.,X..1,X..2,X..3,X..4,X..5,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51.,Q.52.,Q.53.,Q.54.,Q.55.,Q.56.,Q.57.,Q.58.,Q.59.,Q.0.,Q.60.,Q.61.,Q.62.,Q.63.,Q.64.,V.65.,V.66.,V.67.,V.68.,V.69.
1,205,1,4,4,38,0,11,99,0,6,3,2,3,2,1,4,0,2,2,3,2,0,2,2,0,0,0,0,4,0,0,0,0,0,0,1,2,2,1,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,205,1,4,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,3,339
1,205,2,4,3,33,2,1,1,2,3,1,2,2,2,1,1,1,2,2,3,4,4,1,2,1,1,1,2,1,3,1,1,3,1,3,1,2,2,3,3,2,2,1,1,3,2,3,2,3,1,2,1,1,2,3,5,5,4,15,3,2,1,1,1,1,2,2,205,2,4,1,2,2,2,2,2,9,4,3,2,2,3,2,2,3,2,2,3,5,3,0,2,2,2,2,2,1,1,1,1,111
1,205,3,4,3,29,2,1,1,1,6,3,2,4,2,3,1,3,2,1,2,2,2,2,2,2,1,1,2,1,2,1,1,1,1,1,1,2,1,2,2,2,2,1,1,2,2,3,3,3,1,2,3,1,2,3,4,5,3,19,7,3,1,1,1,1,2,2,205,3,4,1,2,2,2,2,2,11,13,3,3,2,3,2,2,2,3,2,1,4,3,0,2,2,2,5,2,3,1,1,3,361
1,205,4,4,3,31,3,1,1,1,6,1,2,2,2,2,3,4,3,2,3,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,3,2,2,3,3,2,3,1,1,3,3,3,1,2,1,3,3,2,3,1,3,5,2,23,6,3,1,2,1,1,2,2,205,4,4,1,2,2,2,2,2,11,1,2,2,2,3,2,2,2,3,3,4,4,4,0,2,3,2,4,2,1,1,1,1,331
1,205,5,4,1,19,3,1,1,1,1,3,1,3,2,1,2,0,2,2,1,2,1,1,2,0,0,0,0,4,0,0,0,0,0,0,1,2,0,2,4,2,2,1,1,2,2,3,1,1,1,5,4,3,4,3,3,3,1,9,0,4,1,2,2,1,2,2,205,5,4,2,2,2,2,2,2,0,0,4,3,2,3,2,2,3,5,2,3,2,1,0,2,1,4,4,2,3,1,1,3,331
1,205,6,4,3,24,2,2,2,0,0,1,1,2,2,2,2,2,2,3,2,2,3,2,3,1,1,1,2,2,1,1,1,1,1,1,1,2,1,2,3,2,4,3,3,2,4,3,4,4,1,1,3,1,2,3,4,8,3,15,7,1,1,2,1,1,2,2,205,6,4,1,2,2,2,2,2,0,0,4,2,2,3,2,2,2,3,1,1,5,4,0,2,4,4,1,1,1,1,1,1,131
1,205,7,4,4,17,2,1,1,2,6,1,1,2,2,3,4,5,1,1,3,3,3,2,1,2,1,1,2,1,1,2,1,3,1,1,1,2,2,2,3,2,3,1,3,3,3,3,2,2,2,2,3,2,2,1,3,8,4,17,8,3,1,1,1,1,2,2,205,7,4,1,2,2,2,2,2,1,4,2,1,1,2,2,3,1,2,2,2,3,3,0,1,2,2,2,2,1,1,1,1,121
1,205,8,4,2,18,2,2,2,1,6,1,0,4,2,1,1,2,1,1,2,3,2,1,2,2,1,1,2,1,2,2,1,1,0,1,1,2,2,2,3,2,3,1,3,2,2,2,2,2,1,2,3,1,5,2,3,5,3,16,7,2,1,2,2,2,2,2,205,8,4,1,2,2,2,2,2,9,1,1,1,2,3,2,1,1,1,4,1,4,3,0,2,2,3,2,1,1,1,1,1,151
1,205,9,4,3,28,3,10,99,0,0,1,2,0,0,3,4,0,0,0,0,1,1,2,0,1,1,1,1,2,1,1,1,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,2,2,2,205,9,4,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,301
1,205,10,4,3,36,3,11,99,1,6,1,0,0,0,3,0,0,0,0,0,0,0,2,0,1,1,0,0,4,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,1,1,1,3,1,4,3,3,2,3,24,6,0,1,2,2,2,2,2,205,10,4,2,2,2,2,2,1,3,0,0,2,2,3,0,1,3,0,4,3,5,0,0,2,1,2,5,1,1,1,1,1,311
1,205,11,4,4,29,3,1,1,2,1,3,0,4,2,2,2,3,2,1,2,3,3,1,2,3,1,1,2,1,2,2,1,3,1,1,1,2,2,2,3,3,3,1,4,3,3,3,2,3,2,2,2,1,2,3,3,7,3,19,7,3,1,1,1,1,2,2,205,11,4,1,2,2,2,2,2,7,13,2,2,2,3,3,3,1,2,1,1,5,3,0,2,2,2,2,3,3,1,1,3,351
1,205,12,4,2,35,3,1,1,2,1,3,2,2,3,1,2,4,2,1,2,3,3,2,2,1,1,1,2,1,2,2,1,3,1,1,1,2,2,2,3,3,3,1,1,3,3,3,2,2,1,3,2,1,2,3,4,5,3,19,9,1,1,1,1,1,1,2,205,12,4,1,2,2,2,2,2,0,0,3,2,2,3,2,2,3,2,2,1,4,3,0,2,3,4,2,3,1,1,1,3,301
1,205,13,4,2,33,3,11,99,2,6,3,3,1,3,1,4,6,3,2,2,2,2,2,2,1,1,1,3,1,3,3,1,1,1,1,3,3,1,3,4,4,4,1,3,3,4,4,2,3,1,4,3,3,3,3,2,5,3,6,9,3,1,1,2,1,1,2,205,13,4,1,2,2,2,2,2,0,0,4,2,3,3,2,2,2,3,4,3,0,2,0,3,4,4,5,5,1,1,1,3,311
1,205,14,4,3,31,0,1,1,1,6,1,3,3,3,1,4,7,2,2,2,3,4,2,2,2,1,1,2,1,2,1,1,2,1,1,3,2,1,2,4,2,4,2,1,4,4,3,3,3,1,4,4,1,1,3,2,6,2,23,8,3,1,1,2,1,2,2,205,14,4,1,2,2,2,2,2,0,1,1,1,1,3,1,2,1,2,3,1,4,3,0,1,2,3,2,1,1,1,1,1,321
1,205,15,4,4,31,2,1,1,2,1,3,2,0,3,1,4,0,3,3,3,7,7,2,2,1,1,1,2,1,3,3,1,1,1,1,3,2,2,2,3,3,3,1,3,3,1,3,2,2,1,2,2,1,1,3,2,7,2,21,9,2,1,1,1,2,2,2,205,15,4,2,2,2,2,2,2,9,9,4,2,2,1,2,2,1,3,1,2,5,4,0,2,4,4,5,5,3,1,1,3,321
