CARD.,DECK.,BALLOT.,FORM.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.15..1,Q.16A.,Q.16B.,Q.16C.,Q.16D.,Q.16E.,Q.16F.,Q.16G.,Q.16H.,Q.17A.,Q.17B.,Q.18.,Q.19.,Q.20A.,Q.21.,Q.22.,Q.23.,Q.24.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30A.,Q.30B.,Q.30C.,Q.30D.,Q.30E.,Q.30F.,Q.30G.,Q.30H.,Q.30I.,Q.30J.,Q.30K.,Q.31A.,Q.31B.,Q.31C.,Q.31D.,Q.31E.,Q.31F.,Q.31G.,Q.32.,Q.33A.,Q.33B.,Q.34.,Q.35A.,Q.35B.,Q.36.,Q.37.,Q.38.,CARD..1,DECK..1,BALLOT..1,FORM..1,Q.39.,Q.40.,Q.41.,Q.42.,Q.43A.,Q.43B.,Q.44A.,Q.44B.,Q.45.,Q.46.,Q.48A.,Q.48B.,Q.49A.,Q.49B.,Q.50.,Q.51A.,Q.51B.,Q.52A.,Q.52B.,Q.53A.,Q.53B.,Q.54A.,Q.54B.,Q.55A.,Q.55B.,Q.56A.,Q.56B.,Q.57.,Q.58A.,Q.58B.,Q.59A.,Q.59B.,Q.60A.,Q.60B.,Q.61A.,Q.62A.,Q.62B.,Q.63A.,Q.63B.,Q.64A.,Q.64B.,Q.65A.,Q.65B.,Q.66A.,Q.66B.,Q.67A.,Q.67B.,Q.68.,Q.69A.,Q.69B.,V.71.,V.72.,V.73.,V.74.,V.75.,V.76.
1,211,1,2,4,2,4,27,4,1,6,1,3,8,1,1,1,1,6,3,3,2,2,3,3,1,2,1,3,3,0,4,4,1,4,3,2,1,3,2,1,1,1,1,2,1,2,2,1,2,1,1,2,3,2,2,1,1,3,3,2,2,2,2,3,2,1,1,2,211,1,2,2,2,0,3,2,3,2,3,74,1,1,3,1,2,1,3,3,1,3,3,3,1,3,2,3,3,4,3,5,3,1,5,1,1,1,2,3,2,3,3,3,3,3,3,3,3,3,3,5,3,3,2,12,2,2,98
1,211,2,2,4,3,4,31,4,1,13,1,5,7,21,1,1,1,6,2,2,3,2,3,3,1,2,1,3,3,4,4,4,2,4,3,3,1,3,2,1,1,1,1,2,1,2,2,1,2,1,1,3,3,3,3,1,1,3,2,2,3,2,1,3,2,1,1,2,211,2,2,2,3,4,3,1,4,1,4,78,2,1,4,1,2,1,3,4,2,4,2,2,3,2,2,2,1,1,3,5,3,1,3,1,2,1,3,4,2,4,2,2,2,2,2,2,3,0,3,2,4,7,7,12,1,6,14
1,211,3,2,4,2,3,28,4,1,7,1,3,4,24,1,1,2,6,1,3,4,3,3,3,1,1,1,1,3,1,3,1,1,4,3,1,1,3,2,2,2,1,1,2,1,2,2,1,2,1,1,2,3,3,3,1,3,3,1,3,3,2,2,4,2,2,2,2,211,3,2,2,4,3,4,3,4,2,4,70,3,3,5,2,1,1,3,5,1,5,1,1,3,3,2,1,1,1,2,3,4,1,5,1,1,1,3,5,3,5,2,1,2,3,2,1,1,1,3,2,4,1,6,16,2,6,153
1,211,4,2,1,2,5,23,4,1,14,1,1,1,21,1,1,2,6,3,1,1,1,1,1,3,3,3,3,2,4,4,4,1,3,3,3,1,3,1,2,0,1,0,0,1,0,0,1,0,0,1,2,3,3,3,1,3,3,2,0,3,2,1,4,4,1,3,2,211,4,2,3,3,1,3,3,3,2,3,70,1,1,5,1,1,1,3,5,2,5,1,1,0,0,0,0,0,4,2,2,3,1,5,1,1,1,2,4,2,4,3,3,1,3,2,1,1,2,3,5,3,2,3,0,2,6,211
1,211,5,2,4,3,4,29,4,1,9,1,1,6,1,1,1,2,1,3,2,2,3,2,1,3,2,2,3,3,4,4,4,2,4,3,3,1,3,2,1,1,1,1,2,1,2,2,1,2,1,1,2,3,3,3,1,1,3,3,3,3,2,2,2,2,2,2,2,211,5,2,2,3,4,3,2,3,2,3,78,2,1,5,3,2,1,3,5,2,5,3,2,1,3,2,1,1,1,2,5,2,1,4,1,1,1,3,5,1,5,3,3,1,3,2,2,2,0,2,5,3,2,3,6,2,5,61
1,211,6,2,4,3,3,31,2,1,10,1,4,8,1,1,1,2,6,1,1,3,2,3,3,2,2,1,3,3,4,4,4,1,4,2,2,1,2,2,1,2,1,1,2,1,2,2,1,2,1,1,2,3,3,3,1,3,3,2,3,4,2,2,3,2,1,1,2,211,6,2,2,4,1,3,1,4,1,4,79,1,2,5,2,2,1,3,5,1,5,1,1,1,3,1,1,2,4,3,3,4,1,5,1,1,1,3,4,2,4,2,2,3,3,2,1,2,0,3,2,4,7,7,10,1,5,182
1,211,7,2,1,2,5,38,2,1,9,1,3,3,21,1,1,1,6,2,1,4,2,1,2,1,2,2,1,1,4,4,4,2,4,1,3,2,3,2,1,3,1,1,3,1,1,1,1,2,1,1,2,3,2,4,1,4,3,3,3,5,2,4,1,2,1,1,2,211,7,2,3,3,4,2,2,2,2,2,70,2,1,4,1,2,1,3,4,3,4,2,2,1,2,2,2,1,4,1,2,2,3,1,3,3,1,2,1,2,1,3,3,1,3,3,3,2,0,1,2,1,5,0,8,2,8,22
1,211,8,2,4,3,3,21,4,1,7,1,1,6,1,1,1,2,6,2,2,2,2,3,3,2,2,1,3,1,4,4,4,2,4,2,2,1,2,1,1,2,1,1,2,1,3,2,1,3,1,1,2,3,4,3,1,4,3,3,3,3,2,2,4,1,1,1,2,211,8,2,3,4,3,2,1,4,1,4,58,1,2,5,2,1,1,3,5,1,5,1,1,1,3,1,2,2,4,3,2,4,1,4,1,1,1,3,5,3,4,3,1,3,3,2,1,2,0,3,5,1,0,4,10,2,5,51
1,211,9,2,4,1,4,20,2,1,9,1,1,6,1,1,1,2,6,3,2,3,2,2,2,2,2,2,1,1,4,4,4,2,4,3,3,1,2,1,2,1,1,1,2,1,1,2,1,2,1,1,2,3,2,4,1,1,1,3,3,3,2,1,3,2,1,1,2,211,9,2,2,2,1,2,2,3,2,3,57,3,1,4,1,2,1,2,4,2,4,3,3,1,2,1,2,2,4,3,5,3,1,4,1,2,1,3,4,3,4,2,2,2,3,2,2,1,1,3,2,4,2,6,8,2,5,151
1,211,10,2,2,2,2,32,4,1,8,1,2,2,21,1,1,1,0,3,2,3,1,1,1,2,3,2,3,0,4,4,4,3,3,3,3,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,1,1,0,3,2,3,2,3,2,2,1,0,2,211,10,2,0,1,5,2,2,3,3,2,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,2,2,1,2,4,2,4,1,2,1,2,3,2,2,0,2,2,3,0,0,4,2,1,152
1,211,11,2,3,3,5,30,4,1,8,1,3,3,21,1,1,2,1,1,3,4,3,3,3,1,2,1,3,1,4,4,4,1,4,3,3,2,3,2,1,2,1,1,2,1,2,2,1,2,1,1,2,3,3,3,1,3,3,2,3,3,2,1,4,1,1,1,2,211,11,2,1,1,6,3,1,4,1,4,61,2,2,1,2,2,2,2,3,1,3,2,1,1,3,1,2,2,4,2,2,3,2,3,2,1,3,1,3,1,3,3,1,1,3,1,1,2,0,3,2,3,1,0,15,2,8,46
1,211,12,2,4,2,4,30,2,1,7,1,1,6,1,1,1,1,0,3,3,3,3,3,3,1,1,1,3,3,4,4,4,2,4,2,3,2,2,2,1,1,1,1,2,1,1,2,1,2,1,1,2,2,2,2,1,1,1,2,3,4,2,2,3,2,1,2,2,211,12,2,2,3,4,3,2,3,1,3,64,1,1,5,1,1,1,2,4,3,5,2,1,3,3,2,1,2,4,3,5,3,1,5,1,1,1,2,4,3,5,2,2,3,3,2,1,2,0,3,2,4,5,5,15,2,10,119
1,211,13,2,4,2,4,19,2,1,8,1,3,7,1,1,1,1,6,1,2,4,3,3,3,1,2,2,3,1,4,4,4,1,4,2,3,1,3,1,2,1,1,1,2,1,2,2,1,2,1,1,2,4,4,4,1,4,3,3,4,4,2,1,3,1,1,3,2,211,13,2,3,3,5,3,2,3,2,3,65,2,1,4,1,2,3,3,5,2,5,3,3,3,3,2,2,2,4,2,5,3,3,3,2,2,1,2,4,1,5,1,1,1,3,1,2,1,1,3,5,4,7,7,13,1,5,183
1,211,14,2,4,2,5,25,4,1,8,1,1,7,1,1,1,1,6,2,2,3,3,2,2,2,1,2,3,3,4,0,4,1,3,3,3,2,3,2,1,1,1,1,2,1,3,1,1,3,2,1,2,2,2,2,3,1,3,4,2,4,2,2,4,2,1,2,2,211,14,2,3,3,0,2,1,4,2,3,65,2,1,3,1,2,1,2,2,2,3,3,0,3,0,2,1,2,4,3,2,3,1,4,1,1,1,2,3,2,3,2,2,3,0,2,2,2,0,3,2,3,3,4,10,2,10,87
