CARD.  1. CARD ONE 
DECK.  218. SURVEY NUMBER 
BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
FORM.  1. S-218U - UNITED STATES FORM 2. S-218C - CENTRAL PACIFIC BASE COMMAND FORM 3. S-218I - CHINA-BURMA-INDIA FORM 
Q.1. WHAT IS YOUR RANK OR GRADE*  1. PRIVATE 2. PRIVATE FIRST CLASS 3. CORPORAL OR TECHNICIAN 5TH GRADE 4. SERGEANT (ANY GRADE) OR TECHNICIAN 3RD OR 4TH GRADE 0. NO ANSWER 
"Q.2. HOW LONG HAVE YOU BEEN IN THE ARMY* E. IF YOU HAVE SERVED PREVIOUSLY IN THE ARMY, GIVE THE LENGTH OF TIME SINCE YOU ENTERED THIS LAST TIME. IF YOU WERE A NATIONAL GUARDSMAN GIVE THE LENGTH OF TIME SINCE YOUR OUTFIT ENTERED THE ARMY.  ANP (ACTUAL NUMBER MONTHS) 08. 8 MONTHS . . . 99. 99 MONTHS OR MORE 00. NO ANSWER "
"Q.3. HAVE YOU BEEN IN ACTUAL COMBAT IN THIS WAR*  1. YES, I HAVE BEEN IN ACTUAL COMBAT 2. YES, I HAVE BEEN UNDER ENEMY FIRE, BUT NOT IN ACTUAL COMBAT 3. NO 0. NO ANSWER "
"Q.4. ARE YOU ENTITLED TO WEAR ANY CAMPAIGN STARS* IF YES, HOW MANY*  01. YES, ONE STAR 02. YES, TWO STARS 03. YES, THREE STARS 04. YES, FOUR STARS 05. YES, FIVE STARS 06. YES, SIX STARS 07. YES, SEVEN STARS 08. YES, EIGHT STARS 09. YES, NINE OR MORE STARS 10. YES, NO ANSWER 11. NO 00. NO ANSWER "
"Q.5. WHICH OF THE FOLLOWING DECORATIONS OR AWARDS DO YOU HAVE* (DISTINGUISHED-SERVICE CROSS, LEGION OF MERIT, SILVER STAR, DISTINGUISHED-FLYING CROSS, SOLDIER,S MEDAL, BRONZE STAR MEDAL (NOT CAMPAIGN STAR), AIR MEDAL, PURPLE HEART) Z. COUNT EACH STAR, AWARD AND OAK LEAF CLUSTER SEPARATELY AND CODE THE TOTAL.  ANP (TOTAL NUMBER) 01. TOTAL OF ONE . . . 08. TOTAL OF EIGHT 99.I DON,T HAVE ANY AWARDS OR DECORATIONS 00. NO ANSWER "
"Q.6. ARE YOU:  1. SINGLE 2. MARRIED 3. WIDOWED, DIVORCED, OR SEPARATED 0. NO ANSWER "
"Q.7. HAVE YOU ANY CHILDREN UNDER 18 YEARS OF AGE* IF YES, HOW MANY*  1. YES, ONE CHILD 2. YES, TWO CHILDREN 3. YES, THREE CHILDREN 4. YES, FOUR OR MORE CHILDREN 5. YES, NO ANSWER 6. NO 0. NO ANSWER "
