CARD.,DECK.,BALLOT.,FORM.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24A.,Q.24B.,Q.25.,Q.26A.,Q.26B.,Q.26C.,Q.26D.,Q.26E.,Q.26F.,Q.26G.,Q.26H.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38A.,Q.38B.,Q.38C.,Q.38D.,Q.38E.,Q.38F.,Q.39.,Q.40.,Q.41.,Q.42.,Q.43A.,Q.43B.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48A.,Q.48B.,Q.48C.,Q.48D.,Q.48E.,V.49.,V.50.,CARD..1,DECK..1,BALLOT..1,FORM..1,V.51.,V.52.
1,219,1,2,3,5,1,8,2,1,3,6,2,2,2,2,5,2,2,2,3,5,1,2,3,1,0,5,5,3,3,3,1,3,1,3,1,2,5,6,2,3,3,4,1,2,1,5,1,1,1,2,1,1,4,2,2,3,1,2,2,1,6,2,1,2,2,3,2,2,5,2,219,1,2,1,704
1,219,2,2,1,4,3,6,1,6,1,12,1,2,3,3,4,2,1,3,3,4,1,2,4,1,2,5,4,2,3,1,1,3,1,3,1,3,2,5,4,1,3,3,2,4,2,2,1,2,1,1,1,1,5,2,4,5,2,4,2,1,3,2,3,2,2,3,2,2,3,2,219,2,2,2,718
1,219,3,2,1,4,3,7,1,6,2,13,1,1,3,4,6,2,1,3,3,4,2,2,3,1,2,4,2,2,1,1,1,3,1,2,1,3,2,5,2,2,2,3,3,2,1,1,1,2,2,1,2,2,5,2,3,4,3,2,2,1,5,1,3,2,2,1,2,2,3,2,219,3,2,1,607
1,219,4,2,1,4,3,7,1,6,1,12,1,2,4,4,4,1,1,2,2,3,2,2,3,1,2,5,4,3,3,1,1,3,1,2,1,3,2,5,4,2,2,3,4,2,1,1,1,2,2,1,1,2,4,3,1,5,3,4,1,1,2,1,2,2,2,2,2,2,3,2,219,4,2,2,739
1,219,5,2,2,4,3,7,1,6,2,12,1,2,3,3,5,1,1,2,2,3,2,2,3,1,2,3,2,2,1,1,1,1,1,2,1,1,2,5,6,2,4,3,3,3,3,3,2,1,1,1,1,1,5,3,3,4,2,1,1,1,2,1,1,2,2,1,2,2,3,2,219,5,2,0,727
1,219,6,2,2,4,3,7,2,1,4,12,1,1,2,4,5,2,3,3,4,4,2,2,3,2,2,5,2,3,1,2,2,2,1,2,1,2,2,5,4,2,2,3,3,2,2,1,1,2,2,1,2,2,5,3,2,4,2,2,2,1,3,1,3,2,2,1,2,2,3,2,219,6,2,2,705
1,219,7,2,1,3,3,5,2,1,4,12,2,2,3,3,4,1,2,3,2,4,2,3,4,2,2,4,4,3,1,1,1,3,1,2,1,3,2,5,3,2,2,4,2,2,2,5,1,1,1,2,1,1,4,2,2,6,1,4,2,1,3,1,1,2,2,1,2,2,3,2,219,7,2,2,733
1,219,8,2,1,2,3,6,1,6,2,12,1,2,3,3,4,3,3,3,4,5,2,3,3,3,2,4,4,3,1,1,1,2,1,1,1,2,4,5,4,2,3,3,3,4,2,2,1,2,2,2,2,2,4,3,3,4,4,3,2,1,5,1,1,2,2,1,2,2,3,2,219,8,2,0,711
1,219,9,2,4,5,1,8,2,2,4,3,3,4,2,3,5,2,1,2,5,5,2,3,3,1,2,5,5,4,3,3,1,1,1,2,1,2,4,9,4,5,4,4,3,4,2,5,1,2,2,1,1,1,5,3,1,5,3,3,1,1,5,2,1,2,2,3,2,2,1,2,219,9,2,0,918
1,219,10,2,2,4,3,8,1,6,2,13,1,3,2,2,4,1,1,3,4,5,2,3,4,2,2,4,4,3,1,2,1,1,1,2,1,1,3,9,5,4,3,4,3,3,2,2,1,2,2,1,2,2,5,3,1,5,2,2,2,1,2,1,2,2,2,2,2,2,3,2,219,10,2,2,502
1,219,11,2,4,5,3,8,2,1,3,12,2,2,3,3,4,2,1,3,3,5,1,2,3,1,2,4,3,3,3,1,3,2,1,3,1,3,2,9,6,3,3,3,3,2,1,2,1,2,2,1,1,1,2,3,4,3,2,4,2,1,5,1,2,2,2,2,2,2,3,2,219,11,2,0,704
1,219,12,2,2,5,2,6,1,6,3,4,1,4,1,3,6,1,3,2,3,5,1,3,2,2,2,5,3,3,1,3,1,2,1,2,2,2,4,9,4,4,3,4,2,2,4,2,1,1,1,2,1,1,2,2,4,4,3,2,3,1,6,2,1,1,2,2,1,2,5,2,219,12,2,0,104
1,219,13,2,2,6,3,6,1,6,3,10,2,3,2,2,4,2,1,3,3,3,2,3,3,2,2,4,4,3,3,3,1,1,1,3,1,1,2,9,1,2,3,3,2,1,1,2,1,2,2,1,1,1,2,2,4,3,3,4,2,1,2,1,3,2,2,2,2,2,5,2,219,13,2,1,818
1,219,14,2,3,5,1,7,1,6,3,4,2,5,3,3,4,2,2,2,2,3,2,1,3,1,2,3,2,2,2,1,1,1,1,2,1,2,2,9,2,4,5,3,3,1,1,1,1,2,1,1,2,2,1,2,2,5,4,2,1,1,5,1,1,1,2,2,2,2,5,2,219,14,2,1,208
