CARD.,DECK.,BALLOT.,,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22A.,Q.22B.,Q.23.,Q.24A.,Q.24B.,Q.24C.,Q.24D.,Q.24E.,Q.24F.,Q.24G.,Q.24H.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36A.,Q.36B.,Q.36C.,Q.36D.,Q.36E.,Q.36F.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41A.,Q.41B.,Q.42.,Q.44A.,Q.44B.,Q.44C.,Q.44D.,V.45.,V.46.,V.47.,V.48.
1,219,1,3,3,5,2,8,2,2,5,6,2,2,3,3,4,2,2,3,3,5,2,1,2,4,4,2,1,1,1,1,1,3,1,2,5,8,1,4,3,4,3,2,2,2,2,2,2,1,2,2,5,2,3,3,2,2,2,1,2,3,2,3,5,8,724
1,219,2,3,3,7,1,5,2,1,5,6,2,1,4,4,7,3,1,3,2,3,2,1,2,3,1,2,1,1,1,2,1,2,1,1,1,8,2,1,5,2,3,2,1,1,1,1,1,2,1,2,4,3,4,1,2,2,1,1,1,5,3,3,5,8,44
1,219,3,3,2,6,1,6,2,1,3,8,1,4,1,3,4,1,1,3,3,4,1,3,2,5,5,3,1,1,1,1,1,1,1,2,5,8,1,4,5,4,1,2,1,3,1,1,1,1,1,1,1,3,2,4,1,2,1,2,1,1,1,3,5,3,4
1,219,4,3,3,5,2,8,1,6,6,6,2,6,1,3,4,1,2,2,3,3,1,3,1,4,3,3,1,1,1,1,1,1,1,2,2,9,1,3,2,3,3,1,1,1,1,2,2,1,2,2,4,3,2,4,1,1,2,2,1,1,1,3,5,8,704
1,219,5,3,3,5,2,7,1,6,3,8,1,3,3,3,5,2,1,3,3,4,1,1,1,5,2,3,1,1,1,1,1,3,1,2,2,6,4,2,3,4,3,3,2,1,1,2,1,1,2,2,4,2,2,4,1,2,2,2,1,3,1,3,5,3,404
1,219,6,3,3,5,3,7,1,6,3,8,1,4,2,3,4,1,1,2,3,5,1,1,1,4,2,2,1,1,1,1,1,2,1,2,2,7,4,2,3,4,2,2,2,1,1,2,1,1,2,2,4,3,2,4,2,2,1,2,1,1,2,3,5,3,414
1,219,7,3,3,6,1,8,2,1,5,6,2,2,3,4,6,3,1,3,3,7,2,2,2,5,5,3,1,1,3,3,1,3,1,3,2,7,4,4,2,4,1,1,2,2,1,1,1,2,1,1,4,1,5,1,2,3,3,2,2,1,1,3,5,8,24
1,219,8,3,3,5,1,8,2,1,4,6,2,3,1,4,4,2,1,3,3,5,1,2,1,5,4,3,1,1,1,1,1,3,1,2,2,7,1,4,2,4,2,2,1,2,1,1,1,1,2,2,2,3,2,5,2,2,2,2,2,1,1,3,5,8,324
1,219,9,3,4,5,1,8,2,2,6,6,0,6,1,2,2,1,2,2,2,2,2,2,2,5,5,4,3,2,1,3,3,3,3,2,5,6,6,3,1,5,3,3,3,4,2,2,1,1,1,1,2,3,4,1,3,4,2,2,1,1,1,3,5,8,34
1,219,10,3,4,5,3,8,2,1,5,6,2,6,1,2,3,1,1,2,4,5,1,1,2,5,4,3,1,1,1,1,1,2,1,2,3,11,2,4,2,4,2,2,5,2,1,2,1,2,1,1,5,2,2,6,4,2,2,2,1,2,2,3,5,8,314
1,219,11,3,3,2,1,8,1,6,3,6,2,1,3,4,5,1,3,3,3,5,1,1,1,5,4,3,3,1,1,1,1,3,1,3,5,2,7,3,3,0,3,2,1,5,1,2,2,2,2,2,3,3,4,2,5,4,2,2,3,3,2,3,5,8,44
1,219,12,3,3,3,1,8,2,6,3,6,2,3,3,4,4,3,1,3,2,3,2,2,2,4,2,3,2,2,1,2,1,2,1,2,3,3,5,4,3,3,3,3,3,2,1,2,2,1,2,2,4,3,2,4,1,4,3,2,1,6,1,3,5,8,304
1,219,13,3,3,5,1,8,2,6,5,6,0,3,3,3,5,1,1,2,3,5,1,1,1,3,3,3,1,2,3,2,1,2,1,2,5,4,2,2,4,3,3,1,2,1,1,2,1,3,1,1,2,3,2,5,3,2,2,1,1,3,2,3,5,8,14
1,219,14,3,1,4,1,6,2,1,3,6,1,1,3,3,4,2,1,2,2,3,2,1,1,3,2,2,1,1,3,3,1,2,1,2,2,5,2,2,2,4,2,2,1,1,2,2,1,1,1,2,5,1,2,4,2,2,1,1,2,3,2,3,5,8,8
1,219,15,3,2,4,1,7,2,6,2,8,1,3,3,3,5,2,1,3,3,5,2,1,1,4,2,3,1,1,1,1,1,1,1,2,2,5,3,2,2,3,3,2,2,2,1,2,1,1,2,2,2,2,3,3,1,2,2,1,1,3,1,3,5,3,408
1,219,16,3,1,5,1,7,1,6,3,5,2,3,3,4,7,3,3,3,4,6,2,1,1,1,4,3,3,2,1,3,2,2,1,3,2,6,1,5,2,1,1,2,2,4,2,1,1,1,1,1,3,2,4,1,4,4,3,1,1,3,2,3,5,9,26
1,219,17,3,2,4,3,7,1,6,2,6,1,3,2,3,6,2,1,3,4,8,2,2,2,5,5,3,1,1,3,3,1,3,3,3,5,6,6,2,3,3,2,3,2,2,1,1,1,2,2,1,5,2,1,5,1,2,2,2,2,3,2,3,3,1,796
1,219,18,3,4,6,2,8,2,6,6,6,2,1,3,3,4,2,1,3,3,5,2,2,1,3,2,2,1,1,1,3,1,2,1,3,1,7,2,2,3,3,3,1,1,2,1,2,2,1,2,2,4,3,3,3,1,2,3,1,1,3,2,3,5,8,706
1,219,19,3,3,4,3,8,2,1,5,6,2,4,1,4,4,2,2,2,3,3,1,3,2,5,5,4,2,2,2,1,2,2,2,2,2,7,5,4,2,5,4,2,2,4,1,1,1,2,2,2,5,4,5,1,1,2,1,2,1,1,1,3,5,8,726
1,219,20,3,4,6,1,8,2,1,3,5,2,1,2,2,4,1,1,2,2,3,1,1,2,5,4,3,1,1,1,1,1,1,1,2,5,7,1,5,3,5,3,2,1,2,1,2,2,1,1,1,1,3,3,3,4,3,2,2,2,1,1,3,5,9,416
1,219,21,3,4,6,2,8,2,3,5,6,2,4,2,2,3,1,1,2,3,5,1,1,2,5,4,3,1,1,1,1,1,1,1,2,5,12,2,2,5,3,3,1,2,1,1,2,1,1,1,2,4,3,2,4,2,4,2,2,1,2,1,3,5,9,406
1,219,22,3,3,5,1,8,2,2,3,6,2,1,3,4,5,1,1,3,3,5,2,2,2,5,3,3,1,3,1,1,1,1,1,3,5,5,2,3,3,3,3,2,5,1,1,2,1,1,2,2,5,3,3,3,2,2,2,2,1,6,1,3,5,8,36
1,219,23,3,2,5,1,8,1,6,5,6,2,1,3,4,5,1,1,2,3,4,1,1,1,5,5,4,1,1,3,3,1,3,1,3,5,5,7,6,0,0,3,1,5,1,1,2,2,1,2,2,4,3,3,5,2,4,3,2,2,3,1,3,5,8,46
1,219,24,3,3,3,2,8,1,6,3,6,2,4,1,4,6,1,1,3,5,7,2,2,2,4,3,3,1,1,3,1,1,3,1,2,5,5,2,4,2,5,3,2,2,3,1,1,1,2,2,2,5,3,4,2,1,3,2,2,1,1,1,3,3,4,406
