,CARD,DECK,BALLOT,FORM,S101E.Q1,S101E.Q2,S101E.Q3,S101E.Q4,S101E.Q5.1,S101E.Q5.2,S101E.Q6A.n,S101E.Q6B,S101E.Q6C.n,S101E.Q6D.n,S101E.Q7,S101E.Q8,S101E.Q9A,S101E.Q9B,S101E.Q9C,S101E.Q9D,S101E.Q10.n,S101E.Q11,S101E.Q12,S101E.Q13,S101E.Q14,S101E.Q15,S101E.Q16,S101E.Q17,S101E.Q18,S101E.Q19,S101E.Q20,S101E.Q21A,S101E.Q21B,S101E.Q22,S101E.Q23,S101E.Q24,S101E.Q25,S101E.Q26A,S101E.Q26B,S101E.Q27,S101E.Q28,S101E.Q29,S101E.Q30A,S101E.Q30B,S101E.Q30C,S101E.Q30D,S101E.Q31A,S101E.Q31B,S101E.Q31C,S101E.Q31D,S101E.Q31E,S101E.Q31F,S101E.Q31G,S101E.Q31H,S101E.Q31I,S101E.Q31J,S101E.Q31K,S101E.Q31L,S101E.Q31M,S101E.Q31N,S101E.Q31O,S101E.Q31P,S101E.Q31Q,S101E.Q31R,S101E.Q31S,S101E.Q31T,S101E.Q32,S101E.Q33,S101E.Q34,S101E.Q35A,S101E.Q35B,S101E.Q36A,S101E.Q36B,S101E.Q36C,CARD..1,DECK..1,BALLOT..1,FORM..1,S101E.Q36D,S101E.Q36E,S101E.Q36F,S101E.Q36G,S101E.Q36H,S101E.Q36I,S101E.Q37A,S101E.Q37B,S101E.Q38,S101E.Q39,S101E.Q40A,S101E.Q40B,S101E.Q41.n,S101E.Q42,S101E.Q43A,S101E.Q43B,S101E.Q43C,S101E.Q43D,S101E.Q43E,S101E.Q43F,S101E.Q43G,S101E.Q43H,S101E.Q43I,S101E.Q43J,S101E.Q44,S101E.Q45A.n,S101E.Q45B.n,S101E.Q46.n,S101E.Q47A,S101E.Q47B,S101E.Q47C,S101E.Q47D,S101E.Q47E,S101E.Q48A.n,S101E.Q48B.n,S101E.Q49,S101E.Q50A,S101E.Q50B,S101E.Q50C,S101E.Q50D,S101E.Q51A,S101E.Q51B,S101E.Q52.n,S101E.Q53A,S101E.Q53B,S101E.Q54A,S101E.Q54B,S101E.Q54C,S101E.Q54D,S101E.Q54E,S101E.Q55A,S101E.Q55B,S101E.Q56,S101E.Q57,S101E.Q58.1,S101E.Q58.2,S101E.Q58.3,S101E.Q58.4,S101E.Q58.5,S101E.Q58.6,S101E.Q58.7,S101E.Q58.8,S101E.Q58.9,S101E.Q58.10,S101E.Q58.11,S101E.Q58.12,S101E.Q58.13,S101E.Q59,S101E.Q60A,S101E.Q60B,S101E.Q61A.1,S101E.Q61A.2,S101E.Q61B,S101E.Q62.n
0,1.0,101.0,1.0,4.0,2.0,2.0,1.0,3.0,1.0,4.0,,30.0,,,4.0,11.0,0.0,3.0,1.0,1.0,,1.0,2.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,4.0,4.0,2.0,3.0,3.0,0.0,1.0,1.0,1.0,2.0,101.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,1.0,,,,5.0,5.0,1.0,1.0,1.0,,,4.0,1.0,1.0,1.0,1.0,3.0,1.0,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,6.0,3.0,4.0,3.0,5.0,
1,1.0,101.0,2.0,4.0,3.0,2.0,1.0,4.0,0.0,0.0,,35.0,,,4.0,4.0,1.0,2.0,1.0,1.0,,3.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,8.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0,1.0,4.0,4.0,4.0,1.0,4.0,4.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,2.0,1.0,2.0,101.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,,2.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,3.0,1.0,3.0,1.0,3.0,2.0,1.0,,1.0,1.0,20.0,60.0,20.0,0.0,0.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,5.0,1.0,
2,1.0,101.0,3.0,4.0,3.0,2.0,2.0,3.0,5.0,1.0,,83.0,,,4.0,7.0,1.0,3.0,1.0,1.0,,3.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,8.0,1.0,1.0,4.0,3.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,3.0,2.0,3.0,4.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,4.0,3.0,3.0,1.0,1.0,3.0,2.0,101.0,3.0,4.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,3.0,,3.0,1.0,1.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,,,,5.0,1.0,1.0,1.0,5.0,,,2.0,2.0,4.0,2.0,3.0,1.0,1.0,,1.0,2.0,0.0,5.0,90.0,5.0,0.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,4.0,3.0,
3,1.0,101.0,4.0,4.0,2.0,5.0,1.0,4.0,6.0,3.0,,1.0,,,4.0,9.0,1.0,2.0,1.0,1.0,,3.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,8.0,1.0,2.0,4.0,3.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,4.0,4.0,1.0,4.0,4.0,1.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,2.0,101.0,4.0,4.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,4.0,1.0,2.0,2.0,2.0,,1.0,1.0,2.0,4.0,0.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,,,,2.0,2.0,1.0,3.0,5.0,,,2.0,3.0,3.0,2.0,3.0,1.0,1.0,,2.0,1.0,2.0,50.0,48.0,0.0,0.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,1.0,
4,1.0,101.0,5.0,4.0,1.0,5.0,3.0,4.0,2.0,2.0,,31.0,,,4.0,4.0,1.0,2.0,1.0,1.0,,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,8.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,3.0,1.0,1.0,2.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,4.0,2.0,4.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,101.0,5.0,4.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,,2.0,1.0,1.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,1.0,,,,2.0,2.0,2.0,3.0,1.0,,,2.0,1.0,2.0,1.0,2.0,2.0,1.0,,1.0,2.0,10.0,20.0,60.0,10.0,0.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,4.0,
5,1.0,101.0,6.0,4.0,2.0,3.0,1.0,4.0,9.0,3.0,,58.0,,,4.0,4.0,1.0,2.0,1.0,1.0,,1.0,2.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,4.0,3.0,0.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,101.0,6.0,4.0,3.0,0.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,,3.0,1.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,,,,4.0,1.0,4.0,1.0,2.0,,,2.0,1.0,4.0,1.0,3.0,1.0,2.0,,1.0,1.0,0.0,10.0,50.0,10.0,30.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0,3.0,3.0,4.0,0.0,4.0,
6,1.0,101.0,7.0,4.0,2.0,5.0,2.0,4.0,9.0,3.0,,52.0,,,4.0,9.0,1.0,2.0,1.0,1.0,,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,8.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,6.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,2.0,2.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,101.0,7.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,1.0,2.0,4.0,4.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,,,,1.0,1.0,2.0,1.0,1.0,,,2.0,1.0,3.0,1.0,3.0,1.0,2.0,,1.0,2.0,3.0,25.0,70.0,2.0,0.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,5.0,2.0,3.0,
7,1.0,101.0,8.0,4.0,1.0,1.0,3.0,4.0,2.0,3.0,,30.0,,,4.0,4.0,1.0,2.0,1.0,1.0,,3.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,8.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,101.0,8.0,4.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,,,,2.0,1.0,1.0,1.0,5.0,,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,1.0,1.0,10.0,20.0,50.0,10.0,10.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,4.0,4.0,
8,1.0,101.0,9.0,4.0,2.0,2.0,1.0,3.0,6.0,3.0,,15.0,,,4.0,4.0,1.0,2.0,1.0,2.0,,3.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,3.0,2.0,1.0,1.0,4.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,101.0,9.0,4.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,,1.0,2.0,1.0,4.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,1.0,,,,3.0,1.0,5.0,1.0,1.0,,,2.0,2.0,2.0,1.0,2.0,2.0,1.0,,1.0,2.0,1.0,25.0,73.0,1.0,0.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,3.0,5.0,4.0,3.0,1.0,
9,1.0,101.0,10.0,4.0,2.0,2.0,1.0,4.0,9.0,3.0,,3.0,,,4.0,9.0,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,101.0,10.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,1.0,1.0,1.0,1.0,,1.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,,,,1.0,1.0,1.0,2.0,1.0,,,2.0,1.0,3.0,1.0,3.0,1.0,1.0,,1.0,2.0,0.0,60.0,35.0,5.0,0.0,2.0,4.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,6.0,4.0,3.0,4.0,
