,CARD,DECK,BALLOT,FORM,S205I.Q1,S205I.Q2,S205I.Q3,S205I.Q4,S205I.Q5,S205I.Q6,S205I.Q7,S205I.Q8,S205I.Q9,S205I.Q10,S205I.Q11,S205I.Q12,S205I.Q13.x,S205I.Q15,S205I.Q16,S205I.Q17,S205I.Q18,S205I.Q19,S205I.Q20,S205I.Q21,S205I.Q22,S205I.Q23A,S205I.Q23B,S205I.Q23C,S205I.Q23D,S205I.Q23E,S205I.Q23F,S205I.Q23G,S205I.Q23H,S205I.Q23I,S205I.Q23J,S205I.Q23K,S205I.Q24,S205I.Q25,S205I.Q26,S205I.Q27A,S205I.Q27B,S205I.Q27C,S205I.Q27D,S205I.Q27E,S205I.Q27F,S205I.Q27G,S205I.Q28,S205I.Q29,S205I.Q30A,S205I.Q30B,S205I.Q31,S205I.Q32,S205I.Q33,S205I.Q34,S205I.Q35,S205I.Q36,S205I.Q37,S205I.Q38,S205I.Q39,S205I.Q40,S205I.Q41,S205I.Q42,S205I.Q43,S205I.Q44,S205I.Q45.1,S205I.Q45.2,S205I.Q45.3,CARD..1,DECK..1,BALLOT..1,FORM..1,S205I.Q45.4,S205I.Q45.5,S205I.Q45.6,S205I.Q45.7,S205I.Q45.8,S205I.Q45.9,S205I.Q46,S205I.Q47,S205I.Q48,S205I.Q49,S205I.Q50,S205I.Q51,S205I.Q52,S205I.Q53,S205I.Q54,S205I.Q55,S205I.Q56,S205I.Q57,S205I.Q58,S205I.Q59,S205I.Q60,S205I.Q61,S205I.Q62,S205I.Q63,S205I.Q64,S205I.V65,S205I.V66,S205I.V67,S205I.V68,S205I.V69
0,1.0,205.0,1.0,4.0,4.0,38.0,0.0,11.0,99.0,0.0,6.0,3.0,2.0,3.0,2.0,1.0,4.0,0.0,2.0,2.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,205.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,3.0,339.0
1,1.0,205.0,2.0,4.0,3.0,33.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,3.0,5.0,5.0,4.0,15.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,205.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,9.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,111.0
2,1.0,205.0,3.0,4.0,3.0,29.0,2.0,1.0,1.0,1.0,6.0,3.0,2.0,4.0,2.0,3.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,4.0,5.0,3.0,19.0,7.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,205.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,11.0,13.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,4.0,3.0,2.0,2.0,2.0,5.0,2.0,3.0,1.0,1.0,3.0,361.0
3,1.0,205.0,4.0,4.0,3.0,31.0,3.0,1.0,1.0,1.0,6.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,1.0,3.0,5.0,2.0,23.0,6.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,205.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,11.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,331.0
4,1.0,205.0,5.0,4.0,1.0,19.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,5.0,4.0,3.0,4.0,3.0,3.0,3.0,1.0,9.0,0.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,205.0,5.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,5.0,2.0,3.0,2.0,1.0,2.0,1.0,4.0,4.0,2.0,3.0,1.0,1.0,3.0,331.0
5,1.0,205.0,6.0,4.0,3.0,24.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,1.0,1.0,3.0,1.0,2.0,3.0,4.0,8.0,3.0,15.0,7.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,205.0,6.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,5.0,4.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,131.0
6,1.0,205.0,7.0,4.0,4.0,17.0,2.0,1.0,1.0,2.0,6.0,1.0,1.0,2.0,2.0,3.0,4.0,5.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,8.0,4.0,17.0,8.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,205.0,7.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,121.0
7,1.0,205.0,8.0,4.0,2.0,18.0,2.0,2.0,2.0,1.0,6.0,1.0,0.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,5.0,2.0,3.0,5.0,3.0,16.0,7.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,205.0,8.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,9.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,4.0,1.0,4.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,151.0
8,1.0,205.0,9.0,4.0,3.0,28.0,3.0,10.0,99.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,205.0,9.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,301.0
9,1.0,205.0,10.0,4.0,3.0,36.0,3.0,11.0,99.0,1.0,6.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,1.0,3.0,1.0,4.0,3.0,3.0,2.0,3.0,24.0,6.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,205.0,10.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,0.0,0.0,2.0,2.0,3.0,0.0,1.0,3.0,0.0,4.0,3.0,5.0,0.0,2.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,311.0
