,CARD,DECK,BALLOT,FORM,S203B.Qi1,S203B.Qi2,S203B.Qi3,S203B.Qi4,S203B.Qi5,S203B.Qi6,S203B.Qi7,S203B.Qi8,S203B.Qi9,S203B.Qi10,S203B.Qi11,S203B.Qi12A,S203B.Qi12B,S203B.Qi12C,S203B.Qi12D,S203B.Qi12E,S203B.Qi12F,S203B.Qi12G,S203B.Qi12H,S203B.Qi12I,S203B.Qi12J,S203B.Qi13,S203B.Qi14,S203B.Qi15,S203B.Qi16,S203B.Qi17A1,S203B.Qi17A2,S203B.Qi17A3,S203B.Qi17A4,S203B.Qi17A5,S203B.Qi17B,S203B.Qi17C,S203B.Qi18A,S203B.Qi18B,S203B.Qii1,S203B.Qii2,S203B.Qii3,S203B.Qii4,S203B.Qii5,S203B.Qii6,S203B.Qii7A1,S203B.Qii7A2,S203B.Qii7A3,S203B.Qii7A4,S203B.Qii7A5,S203B.Qii7A6,S203B.Qii7A7,S203B.Qii7B,S203B.Qii7C,S203B.Qii8A,S203B.Qii8B,S203B.Qii9,S203B.Qii10A,S203B.Qii10B,S203B.Qii10C,S203B.Qii10D,S203B.Qii10E,S203B.Qii10F,S203B.Qii11,S203B.Qii12A,S203B.Qii13A,S203B.Qii13B,S203B.Qiii1,S203B.Qiii2,S203B.Qiii3A,S203B.Qiii3B,S203B.Qiii3C,S203B.Qiii4,S203B.Qiii5.n,S203B.Qiii6,CARD..1,DECK..1,BALLOT..1,FORM..1,S203B.Qiii7,S203B.Viii8,S203B.Viii9.1,S203B.Viii9.2
0,1.0,203.0,1.0,2.0,5.0,4.0,9.0,6.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,1.0,3.0,2.0,2.0,4.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,2.0,4.0,1.0,4.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,4.0,4.0,2.0,4.0,3.0,2.0,2.0,3.0,,2.0,2.0,203.0,1.0,2.0,13.0,5.0,82.0,198.0
1,1.0,203.0,2.0,2.0,3.0,1.0,2.0,7.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,1.0,2.0,4.0,2.0,4.0,2.0,3.0,,2.0,2.0,203.0,2.0,2.0,13.0,5.0,82.0,143.0
2,1.0,203.0,3.0,2.0,4.0,6.0,9.0,6.0,1.0,2.0,2.0,4.0,2.0,2.0,3.0,4.0,2.0,2.0,0.0,2.0,0.0,4.0,2.0,2.0,2.0,3.0,4.0,1.0,3.0,2.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,5.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,4.0,3.0,5.0,0.0,4.0,,2.0,2.0,203.0,3.0,2.0,13.0,5.0,81.0,170.0
3,1.0,203.0,4.0,2.0,5.0,6.0,9.0,6.0,3.0,2.0,1.0,4.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,0.0,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,3.0,4.0,5.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,4.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,5.0,0.0,0.0,,3.0,2.0,203.0,4.0,2.0,13.0,5.0,81.0,125.0
4,1.0,203.0,5.0,2.0,3.0,1.0,9.0,7.0,7.0,4.0,4.0,5.0,5.0,5.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,1.0,1.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,,1.0,2.0,203.0,5.0,2.0,13.0,5.0,82.0,228.0
5,1.0,203.0,6.0,2.0,3.0,2.0,5.0,5.0,4.0,3.0,1.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,1.0,1.0,2.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,3.0,0.0,1.0,1.0,1.0,1.0,,1.0,2.0,203.0,6.0,2.0,13.0,5.0,82.0,227.0
6,1.0,203.0,7.0,2.0,3.0,6.0,2.0,7.0,4.0,1.0,3.0,4.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,0.0,0.0,2.0,4.0,3.0,4.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,3.0,1.0,4.0,3.0,3.0,2.0,1.0,2.0,3.0,0.0,1.0,4.0,1.0,2.0,4.0,3.0,2.0,2.0,4.0,,2.0,2.0,203.0,7.0,2.0,13.0,5.0,81.0,120.0
7,1.0,203.0,8.0,2.0,2.0,4.0,4.0,5.0,0.0,1.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,5.0,3.0,4.0,4.0,2.0,4.0,4.0,0.0,2.0,3.0,1.0,2.0,2.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,,2.0,2.0,203.0,8.0,2.0,13.0,5.0,82.0,137.0
8,1.0,203.0,9.0,2.0,2.0,4.0,7.0,7.0,5.0,5.0,1.0,5.0,4.0,4.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,,2.0,2.0,203.0,9.0,2.0,13.0,5.0,82.0,234.0
9,1.0,203.0,10.0,2.0,2.0,4.0,7.0,6.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,5.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,0.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,,2.0,2.0,203.0,10.0,2.0,13.0,5.0,82.0,191.0
