identifier,question_id,label,position
S106EE.Q21:0.0,S106EE.Q21,No answer P. In the questions above we asked you about the kind of work you expect to do. Here are some questions about your plans for a specific job. be sure to give some answer to every question.,0
S106EH.Q28A.9:1.0,S106EH.Q28A.9,"Trade, transportation, constructions, manufacturing other than radio and aviations (one mention - not listed elsewhere)",1
S133A.V116:8.0,S133A.V116,"Aleutians - Ft. Glenn, Subpost (a small post with principally port activities, reached by a two-hour boat trip from Umnak)",8
S157E.Q28B.1:1.0,S157E.Q28B.1,"I want to get into this fight; I've been in the States long enough; I want to soldier (repeats code ""1"" category Q.28a)",1
S157E.Q31B.1:1.0,S157E.Q31B.1,"I want to get into this fight; I've been in the States long enough; I want to soldier (repeats code ""1"" category Q.31a)",1
S157O.Q24B.1:1.0,S157O.Q24B.1,"I want to get into this fight; I've been in the States long enough; I want to soldier (repeats code ""1"" category Q.24a)",1
S157O.Q27B.1:1.0,S157O.Q27B.1,"I want to get into this fight; I've been in the States long enough; I want to soldier (repeats code ""1"" category Q.27a)",1
S194.Q15B:20.0,S194.Q15B,"Managers or owners, wholesale and retail trade, includes insurance and real estate, (buyers and department store heads)",20
S214.Q64A:3.0,S214.Q64A,Fewer soldiers who were famous athletes should be given Army jobs of coaching or demonstrating sports to other soldiers,3
S32N.Q51A:11.0,S32N.Q51A,"About the same: an historical answer (nothing changed after the last war, haven't seen any sign of change so far, etc.)",11
S40E.Q11:1.0,S40E.Q11,"About the same: an historical answer (nothing changed after the last war, haven't seen any sign of change so far, etc.)",1
S44T.Q50X.1:1.0,S44T.Q50X.1,"Unpleasant duties; dirtiest jobs; dislikes the duties (including specific duties, such as marching, caring for wounded)",1
S44X.Q50A.1:1.0,S44X.Q50A.1,"Unpleasant duties; dirtiest jobs; dislikes the duties (including specific duties, such as marching, caring for wounded)",1
