,CARD,DECK,BALLOT,FORM,S203A.Qi1,S203A.Qi2,S203A.Qi3,S203A.Qi4,S203A.Qi5,S203A.Qi6A,S203A.Qi6B,S203A.Qi7A,S203A.Qi7B,S203A.Qi7C,S203A.Qi8,S203A.Qi9A1,S203A.Qi9A2,S203A.Qi9A3,S203A.Qi9A4,S203A.Qi9A5,S203A.Qi9A6,S203A.Qi9A7,S203A.Qi9A8,S203A.Qi9A9,S203A.Qi9A10,S203A.Qi9B,S203A.Qi10A.1,S203A.Qi10A.2,S203A.Qi10A.3,S203A.Qi10A.4,S203A.Qi10A.5,S203A.Qi10A.6,S203A.Qi10A.7,S203A.Qi10A.8,S203A.Qi10B.1,S203A.Qi10B.2,S203A.Qi10B.3,S203A.Qi10B.4,S203A.Qi10B.5,S203A.Qi10B.6,S203A.Qi10B.7,S203A.Qi10B.8,S203A.Qi10C,S203A.Qi11,S203A.Qi12A,S203A.Qi12B,S203A.Qi13,S203A.Qi14A,S203A.Qi14B,S203A.Qi14C,S203A.Qi15,S203A.Qi16,S203A.Qi17A,S203A.Qi17B,S203A.Qi18,S203A.Qi19,S203A.Qi20,S203A.Qi21,S203A.Qi22,S203A.Qi23A,S203A.Qi24,S203A.Qii1,S203A.Qii2,S203A.Qii3A,S203A.Qii3B,S203A.Qii3C,S203A.Qii4,S203A.Qiii1,S203A.Qiii2,S203A.Qiii3,S203A.Qiii4,S203A.Qiii5,S203A.Qiii6,CARD..1,DECK..1,BALLOT..1,FORM..1,S203A.Qiii7,S203A.Qiii8,S203A.Qiii9,S203A.Qiii10,S203A.Qiii11A1,S203A.Qiii11A2,S203A.Qiii11A3,S203A.Qiii11A4,S203A.Qiii11A5,S203A.Qiii11A6,S203A.Qiii11A7,S203A.Qiii11A8,S203A.Qiii11B,S203A.Qiii11C,S203A.Qiii12,S203A.Qiii13A,S203A.Qiii13B,S203A.Qiii14,S203A.Qiii15,S203A.Viii16,S203A.Viii17,S203A.Viii18
0,1.0,203.0,1.0,1.0,4.0,4.0,9.0,9.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,0.0,3.0,2.0,3.0,1.0,4.0,4.0,0.0,3.0,4.0,0.0,3.0,1.0,1.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,203.0,1.0,1.0,3.0,0.0,1.0,0.0,2.0,2.0,5.0,5.0,5.0,3.0,3.0,3.0,4.0,2.0,6.0,1.0,1.0,2.0,9.0,7.0,17.0,9.0
1,1.0,203.0,2.0,1.0,1.0,3.0,5.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,5.0,2.0,2.0,2.0,1.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,3.0,4.0,2.0,3.0,4.0,5.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,1.0,2.0,203.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,9.0,5.0,81.0,34.0
2,1.0,203.0,3.0,1.0,3.0,4.0,10.0,6.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,4.0,3.0,3.0,2.0,0.0,3.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,203.0,3.0,1.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,4.0,1.0,2.0,9.0,1.0,17.0,47.0
3,1.0,203.0,4.0,1.0,2.0,3.0,5.0,6.0,3.0,0.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0,4.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,4.0,3.0,3.0,4.0,3.0,1.0,4.0,1.0,5.0,3.0,4.0,4.0,4.0,5.0,2.0,203.0,4.0,1.0,3.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,4.0,5.0,0.0,1.0,1.0,2.0,9.0,2.0,17.0,31.0
4,1.0,203.0,5.0,1.0,3.0,4.0,10.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,4.0,2.0,1.0,1.0,1.0,4.0,3.0,4.0,4.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,4.0,3.0,1.0,3.0,3.0,2.0,1.0,3.0,4.0,2.0,5.0,2.0,203.0,5.0,1.0,3.0,4.0,1.0,1.0,4.0,2.0,4.0,2.0,2.0,4.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,9.0,7.0,17.0,42.0
5,1.0,203.0,6.0,1.0,3.0,4.0,9.0,5.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,4.0,1.0,1.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,1.0,3.0,2.0,4.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,203.0,6.0,1.0,3.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,4.0,2.0,3.0,4.0,1.0,2.0,9.0,5.0,17.0,36.0
6,1.0,203.0,7.0,1.0,4.0,4.0,11.0,5.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,3.0,6.0,1.0,1.0,3.0,3.0,1.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,4.0,0.0,4.0,5.0,2.0,203.0,7.0,1.0,3.0,4.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,1.0,2.0,6.0,2.0,1.0,2.0,9.0,4.0,17.0,37.0
7,1.0,203.0,8.0,1.0,4.0,3.0,11.0,4.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,3.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,4.0,2.0,1.0,1.0,1.0,0.0,3.0,0.0,4.0,5.0,0.0,2.0,203.0,8.0,1.0,4.0,0.0,4.0,4.0,5.0,2.0,4.0,4.0,1.0,2.0,2.0,4.0,1.0,5.0,0.0,0.0,5.0,2.0,9.0,1.0,17.0,19.0
8,1.0,203.0,9.0,1.0,4.0,4.0,9.0,5.0,1.0,2.0,3.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,4.0,4.0,0.0,3.0,4.0,3.0,3.0,3.0,1.0,1.0,4.0,3.0,1.0,4.0,3.0,1.0,1.0,2.0,6.0,3.0,4.0,4.0,4.0,5.0,2.0,203.0,9.0,1.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,5.0,2.0,9.0,1.0,17.0,25.0
9,1.0,203.0,10.0,1.0,3.0,4.0,3.0,6.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,3.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,3.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,6.0,4.0,3.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,4.0,0.0,2.0,2.0,3.0,4.0,4.0,5.0,2.0,203.0,10.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,4.0,3.0,4.0,1.0,3.0,2.0,5.0,2.0,2.0,9.0,8.0,17.0,39.0
